GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:1990498	0.00223882313217313	70.8421052631579	0.0828316879364315	2	3	mitotic spindle microtubule	Cep295;Hnrnpu	0.044018073619367
2	GO:0000786	0.0106422154185099	7.60431503979891	0.469379564973112	3	17	nucleosome	H1f2;H1f4;H4c8	0.044018073619367
3	GO:0005697	0.0106422154185099	7.60431503979891	0.469379564973112	3	17	telomerase holoenzyme complex	Hnrnpc;Hnrnpu;Tep1	0.044018073619367
4	GO:0000788	0.0145617090511859	14.1637426900585	0.19327393851834	2	7	nuclear nucleosome	H1f4;H4c8	0.044018073619367
5	GO:0043240	0.0145617090511859	14.1637426900585	0.19327393851834	2	7	Fanconi anaemia nuclear complex	Fancc;Fancg	0.044018073619367
6	GO:0046581	0.0145617090511859	14.1637426900585	0.19327393851834	2	7	intercellular canaliculus	Mtdh;Tjp1	0.044018073619367
7	GO:0031931	0.0190643161045214	11.8021442495127	0.220884501163817	2	8	TORC1 complex	Mtor;Smg1	0.044018073619367
8	GO:0005868	0.0274896808182801	5.06661080854629	0.662653503491452	3	24	cytoplasmic dynein complex	Dync1i2;Dync1li2;Tctex1d2	0.044018073619367
9	GO:0044815	0.0274896808182801	5.06661080854629	0.662653503491452	3	24	DNA packaging complex	H1f2;H1f4;H4c8	0.044018073619367
10	GO:0005713	0.0276105626454771	Inf	0.0276105626454772	1	1	recombination nodule	Mlh1	0.044018073619367
11	GO:0005715	0.0276105626454771	Inf	0.0276105626454772	1	1	late recombination nodule	Mlh1	0.044018073619367
12	GO:0031308	0.0276105626454771	Inf	0.0276105626454772	1	1	intrinsic component of nuclear outer membrane	Syne4	0.044018073619367
13	GO:0031309	0.0276105626454771	Inf	0.0276105626454772	1	1	integral component of nuclear outer membrane	Syne4	0.044018073619367
14	GO:0031511	0.0276105626454771	Inf	0.0276105626454772	1	1	Mis6-Sim4 complex	Cenpo	0.044018073619367
15	GO:0031673	0.0276105626454771	Inf	0.0276105626454772	1	1	H zone	Dst	0.044018073619367
16	GO:0098577	0.0276105626454771	Inf	0.0276105626454772	1	1	inactive sex chromosome	Hnrnpu	0.044018073619367
17	GO:1990826	0.0276105626454771	Inf	0.0276105626454772	1	1	nucleoplasmic periphery of the nuclear pore complex	Hnrnpc	0.044018073619367
18	GO:1990876	0.0276105626454771	Inf	0.0276105626454772	1	1	cytoplasmic side of nuclear pore	Nup214	0.044018073619367
19	GO:0000812	0.0295442057037388	8.85014619883041	0.276105626454772	2	10	Swr1 complex	Dmap1;Ep400	0.044018073619367
20	GO:0071006	0.0295442057037388	8.85014619883041	0.276105626454772	2	10	U2-type catalytic step 1 spliceosome	Prpf8;Snrnp200	0.044018073619367
21	GO:0071012	0.0295442057037388	8.85014619883041	0.276105626454772	2	10	catalytic step 1 spliceosome	Prpf8;Snrnp200	0.044018073619367
22	GO:0008023	0.0302624256133148	3.64283559577677	1.18725419375552	4	43	transcription elongation factor complex	Aff1;Ccnt1;Ercc6;Ice1	0.044018073619367
23	GO:0016607	0.0380249719463002	1.8049720133961	7.48246247692431	13	271	nuclear speck	Ddx42;Ep400;Epor;Fbxl4;Hif3a;Hnrnpu;Jade1;Maml1;Noc3l;Sgk1;Usp36;Ylpm1;Zc3h13	0.0461134785162586
24	GO:0005802	0.038154225877148	1.98519627411843	5.24600690264066	10	190	trans-Golgi network	Ap4b1;Atp7a;Atp8b2;Birc6;Dop1b;Myo1b;Slc9a7;Stx6;Tbc1d23;Tmem230	0.0461134785162586
25	GO:0098791	0.0395171072801549	1.84321836703035	6.76458784814191	12	245	Golgi apparatus subcompartment	Ap4b1;Atp7a;Atp8b2;Birc6;Dop1b;Glg1;Gpr89;Myo1b;Slc9a7;Stx6;Tbc1d23;Tmem230	0.0461134785162586
26	GO:0030173	0.0401803095703041	3.30287277701778	1.29769644433743	4	47	integral component of Golgi membrane	Acer2;Cux1;Fktn;Slc35b4	0.0461134785162586
27	GO:0080008	0.0410598038490326	4.25454545454545	0.773095754073361	3	28	Cul4-RING E3 ubiquitin ligase complex	Dcaf1;Dcaf4;Ddb2	0.0461134785162586
28	GO:0031932	0.0417903399053593	7.07894736842105	0.331326751745726	2	12	TORC2 complex	Mtor;Smg1	0.0461134785162586
29	GO:0032009	0.0417903399053593	7.07894736842105	0.331326751745726	2	12	early phagosome	Snx3;Unc93b1	0.0461134785162586
30	GO:0031228	0.0457533303206583	3.15555555555556	1.35291756962838	4	49	intrinsic component of Golgi membrane	Acer2;Cux1;Fktn;Slc35b4	0.0488035523420355
31	GO:0019908	0.0485055194651484	6.43487506645401	0.358937314391203	2	13	nuclear cyclin-dependent protein kinase holoenzyme complex	Ccnh;Ccnt1	0.0494427993173599
32	GO:0000775	0.0494427993173599	2.06642512077295	4.03114214623967	8	146	chromosome, centromeric region	Cenpo;Ctcf;Dync1li2;Hnrnpu;Ikzf1;Itgb3bp;Kdm4d;Trappc12	0.0494427993173599
