GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005840	2.59704866424088e-06	10.7630735212825	0.891652579892136	8	209	ribosome	Mrpl33;Ndufa7;Rack1;Rpl37;Rpl38;Rplp1;Rps18;Rps20	0.000115378821258233
2	GO:0022626	4.43764697147049e-06	16.3218085106383	0.435160589229655	6	102	cytosolic ribosome	Rack1;Rpl37;Rpl38;Rplp1;Rps18;Rps20	0.000115378821258233
3	GO:0044391	9.38918610838654e-06	10.920716112532	0.755131610722048	7	177	ribosomal subunit	Mrpl33;Rack1;Rpl37;Rpl38;Rplp1;Rps18;Rps20	0.000162745892545367
4	GO:0005739	2.32404232384948e-05	3.82521925550575	6.33115994526282	18	1484	mitochondrion	1810058I24Rik;Bola1;Coq7;Hddc2;Idi1;Mmp2;Mrpl33;Ndufa7;Ndufs7;Ptrh2;Rack1;Ripk1;Scp2;Siva1;Surf1;Timm22;Ucp3;Uqcrb	0.000302125502100432
5	GO:0022627	0.000916767062489406	17.6114285714286	0.191982612895436	3	45	cytosolic small ribosomal subunit	Rack1;Rps18;Rps20	0.00590258719283819
6	GO:0031967	0.000989714694324026	3.48348472336912	3.73726153103115	11	876	organelle envelope	1810058I24Rik;Chmp4b;Coq7;Ebp;Ndufa7;Ndufs7;Scp2;Timm22;Tor3a;Ucp3;Uqcrb	0.00590258719283819
7	GO:0031975	0.000989714694324026	3.48348472336912	3.73726153103115	11	876	envelope	1810058I24Rik;Chmp4b;Coq7;Ebp;Ndufa7;Ndufs7;Scp2;Timm22;Tor3a;Ucp3;Uqcrb	0.00590258719283819
8	GO:0098800	0.000990545475398412	10.0163265306122	0.443693149802785	4	104	inner mitochondrial membrane protein complex	Ndufa7;Ndufs7;Timm22;Uqcrb	0.00590258719283819
9	GO:0015934	0.00114007352824207	9.62794348508634	0.460758270949046	4	108	large ribosomal subunit	Mrpl33;Rpl37;Rpl38;Rplp1	0.00590258719283819
10	GO:0031966	0.00126228765620211	4.23810798750558	2.15873782500201	8	506	mitochondrial membrane	1810058I24Rik;Coq7;Ndufa7;Ndufs7;Scp2;Timm22;Ucp3;Uqcrb	0.00590258719283819
11	GO:1990904	0.0013373888374016	3.83090474119182	2.71335426225549	9	636	ribonucleoprotein complex	Ddx58;Mrpl33;Rack1;Rpl37;Rpl38;Rplp1;Rps18;Rps20;Zfp830	0.00590258719283819
12	GO:0022625	0.0013980889969777	15.0869387755102	0.221846574901393	3	52	cytosolic large ribosomal subunit	Rpl37;Rpl38;Rplp1	0.00590258719283819
13	GO:0043229	0.00147564679820955	3.56979039591882	38.6738307977139	48	9065	intracellular organelle	1810058I24Rik;Ano1;Bach2;Bola1;Borcs6;Ccdc96;Chmp4b;Coq7;Cyp7b1;Ddx58;Def6;Ebp;Erh;Hddc2;Idi1;Kin;Lamtor2;Lmbr1l;Lysmd3;Mmp2;Mrpl33;Ndufa7;Ndufs7;Ostc;Pcbp1;Pdgfrb;Pmf1;Ptrh2;Rack1;Rdm1;Ripk1;Rpl37;Rpl38;Rplp1;Rps18;Rps20;Scp2;Siva1;Surf1;Swi5;Timm22;Toe1;Tor3a;Tpt1;Ucp3;Uqcrb;Zfp830;Znhit1	0.00590258719283819
14	GO:0005737	0.00199395115547674	2.86776821677041	35.1456170007245	45	8238	cytoplasm	1810058I24Rik;Ano1;Bach2;Bola1;Borcs6;Ccdc96;Chmp4b;Coq7;Cyp7b1;Ddx58;Def6;Ebp;Erh;Hddc2;Idi1;Kin;Lamtor2;Lmbr1l;Lysmd3;Mmp2;Mrpl33;Ndufa7;Ndufs7;Ostc;Pcbp1;Pdgfrb;Pmf1;Ptrh2;Rack1;Rdm1;Ripk1;Rpl37;Rpl38;Rplp1;Rps18;Rps20;Scp2;Siva1;Surf1;Timm22;Toe1;Tor3a;Tpt1;Ucp3;Uqcrb	0.00677873942383245
15	GO:0005740	0.00204419393191284	3.90978934324659	2.32938903646462	8	546	mitochondrial envelope	1810058I24Rik;Coq7;Ndufa7;Ndufs7;Scp2;Timm22;Ucp3;Uqcrb	0.00677873942383245
16	GO:0098803	0.00211346576277639	12.9610526315789	0.255976817193915	3	60	respiratory chain complex	Ndufa7;Ndufs7;Uqcrb	0.00677873942383245
17	GO:0005746	0.00221612635009907	12.7365517241379	0.26024309748048	3	61	mitochondrial respirasome	Ndufa7;Ndufs7;Uqcrb	0.00677873942383245
18	GO:0070469	0.00277580479114468	11.7209523809524	0.281574498913306	3	66	respirasome	Ndufa7;Ndufs7;Uqcrb	0.00793826664507559
19	GO:0098798	0.00290052050493147	5.62268518518519	0.981244465910006	5	230	mitochondrial protein complex	Mrpl33;Ndufa7;Ndufs7;Timm22;Uqcrb	0.00793826664507559
20	GO:0043226	0.0032738695926818	3.27424111014744	39.5569508170329	48	9272	organelle	1810058I24Rik;Ano1;Bach2;Bola1;Borcs6;Ccdc96;Chmp4b;Coq7;Cyp7b1;Ddx58;Def6;Ebp;Erh;Hddc2;Idi1;Kin;Lamtor2;Lmbr1l;Lysmd3;Mmp2;Mrpl33;Ndufa7;Ndufs7;Ostc;Pcbp1;Pdgfrb;Pmf1;Ptrh2;Rack1;Rdm1;Ripk1;Rpl37;Rpl38;Rplp1;Rps18;Rps20;Scp2;Siva1;Surf1;Swi5;Timm22;Toe1;Tor3a;Tpt1;Ucp3;Uqcrb;Zfp830;Znhit1	0.00851206094097267
21	GO:0015935	0.00383913472814268	10.3935211267606	0.315704741205828	3	74	small ribosomal subunit	Rack1;Rps18;Rps20	0.00924360728755907
22	GO:0005743	0.0041354100162603	4.33321312657771	1.53586090316349	6	360	mitochondrial inner membrane	Coq7;Ndufa7;Ndufs7;Timm22;Ucp3;Uqcrb	0.00924360728755907
23	GO:0033291	0.00426628028656573	Inf	0.00426628028656524	1	1	eukaryotic 80S initiation complex	Rpl38	0.00924360728755907
24	GO:0070992	0.00426628028656573	Inf	0.00426628028656524	1	1	translation initiation complex	Rpl38	0.00924360728755907
25	GO:1990204	0.00566025500270742	8.99121951219512	0.362633824358046	3	85	oxidoreductase complex	Ndufa7;Ndufs7;Uqcrb	0.0117733304056314
26	GO:0019866	0.00646664075325899	3.93184925887436	1.68518071319327	6	395	organelle inner membrane	Coq7;Ndufa7;Ndufs7;Timm22;Ucp3;Uqcrb	0.012933281506518
27	GO:0032798	0.00851470140593513	237.865384615385	0.00853256057313048	1	2	Swi5-Sfr1 complex	Swi5	0.0158130168967367
28	GO:1990630	0.00851470140593513	237.865384615385	0.00853256057313048	1	2	IRE1-RACK1-PP2A complex	Rack1	0.0158130168967367
