GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005848	0.00426628028656573	Inf	0.00426628028656524	1	1	mRNA cleavage stimulating factor complex	Cstf1	0.0361874809752243
2	GO:0030687	0.00503139691529012	21.0520034100597	0.106657007164131	2	25	preribosome, large subunit precursor	Fbxw9;Mrto4	0.0361874809752243
3	GO:0008537	0.00851470140593513	237.865384615385	0.00853256057313048	1	2	proteasome activator complex	Psme3	0.0361874809752243
4	GO:0032473	0.00851470140593513	237.865384615385	0.00853256057313048	1	2	cytoplasmic side of mitochondrial outer membrane	Cisd1	0.0361874809752243
5	GO:0042719	0.0169582591632456	79.275641025641	0.017065121146261	1	4	mitochondrial intermembrane space protein transporter complex	Timm10	0.0418678781023033
6	GO:0048237	0.0211535415744175	59.4519230769231	0.0213314014328262	1	5	rough endoplasmic reticulum lumen	Vtn	0.0418678781023033
7	GO:0099078	0.0211535415744175	59.4519230769231	0.0213314014328262	1	5	BORC complex	Borcs7	0.0418678781023033
8	GO:0000502	0.0253512065752766	8.62324929971989	0.247444256620784	2	58	proteasome complex	Psme3;Zfand2b	0.0418678781023033
9	GO:0016272	0.0294914756965331	39.6282051282051	0.0298639620059567	1	7	prefoldin complex	Pfdn6	0.0418678781023033
10	GO:1905369	0.0304225368698049	7.78494623655914	0.273041938340175	2	64	endopeptidase complex	Psme3;Zfand2b	0.0418678781023033
11	GO:0031371	0.033634271426888	33.9642857142857	0.0341302422925219	1	8	ubiquitin conjugating enzyme complex	Stub1	0.0418678781023033
12	GO:1990909	0.033634271426888	33.9642857142857	0.0341302422925219	1	8	Wnt signalosome	Dvl1	0.0418678781023033
13	GO:0005750	0.0377597151332409	29.7163461538462	0.0383965225790872	1	9	mitochondrial respiratory chain complex III	Uqcc3	0.0418678781023033
14	GO:0045275	0.0377597151332409	29.7163461538462	0.0383965225790872	1	9	respiratory chain complex III	Uqcc3	0.0418678781023033
15	GO:0030684	0.0406564741970353	6.60596293311845	0.319971021492393	2	75	preribosome	Fbxw9;Mrto4	0.0418678781023033
16	GO:0031588	0.0418678781023033	26.4123931623932	0.0426628028656524	1	10	nucleotide-activated protein kinase complex	Prkab1	0.0418678781023033
17	GO:0042405	0.0418678781023033	26.4123931623932	0.0426628028656524	1	10	nuclear inclusion body	Stub1	0.0418678781023033
