GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0030123	9.89569345835667e-06	98.656914893617	0.0442727199549223	3	11	AP-3 adaptor complex	Ap3b2;Ap3d1;Ap3s2	0.000316662190667414
2	GO:0030119	0.000545787492575016	21.2811960897067	0.16099170892699	3	40	AP-type membrane coat adaptor complex	Ap3b2;Ap3d1;Ap3s2	0.00873259988120026
3	GO:0098791	0.00289272532025188	5.64109716410972	0.982049424454641	5	244	Golgi apparatus subcompartment	Ap3b2;Ap3d1;Ap3s2;B4galt1;Gsap	0.0238652412929101
4	GO:0031984	0.00425073671095917	5.13613231552163	1.07461965708766	5	267	organelle subcompartment	Ap3b2;Ap3d1;Ap3s2;B4galt1;Gsap	0.0238652412929101
5	GO:0080008	0.00522560377362321	20.58	0.108669403525718	2	27	Cul4-RING E3 ubiquitin ligase complex	Dcaf8;Ercc8	0.0238652412929101
6	GO:0030117	0.0056365163132496	9.01393983859134	0.362231345085728	3	90	membrane coat	Ap3b2;Ap3d1;Ap3s2	0.0238652412929101
7	GO:0048475	0.0056365163132496	9.01393983859134	0.362231345085728	3	90	coated membrane	Ap3b2;Ap3d1;Ap3s2	0.0238652412929101
8	GO:0005802	0.00692699545121183	5.72878965922444	0.760685824680029	4	189	trans-Golgi network	Ap3b2;Ap3d1;Ap3s2;Gsap	0.0238652412929101
9	GO:0097196	0.00803370919104196	252.489795918367	0.00804958544634951	1	2	Shu complex	Swsap1	0.0238652412929101
10	GO:1990077	0.00803370919104196	252.489795918367	0.00804958544634951	1	2	primosome complex	Prim2	0.0238652412929101
11	GO:1990391	0.00820367669443783	16.0690104166667	0.136842952587942	2	34	DNA repair complex	Ercc8;Swsap1	0.0238652412929101
12	GO:0098830	0.0120268107561691	126.234693877551	0.0120743781695243	1	3	presynaptic endosome	Ap3d1	0.0320714953497842
13	GO:0005658	0.0160041585389545	84.1496598639456	0.016099170892699	1	4	alpha DNA polymerase:primase complex	Prim2	0.0365809338033247
14	GO:0097543	0.0160041585389545	84.1496598639456	0.016099170892699	1	4	ciliary inversin compartment	Anks6	0.0365809338033247
15	GO:0005663	0.0199658134284824	63.1071428571429	0.0201239636158738	1	5	DNA replication factor C complex	Rfc2	0.036912175803646
16	GO:0070695	0.0199658134284824	63.1071428571429	0.0201239636158738	1	5	FHF complex	Hook2	0.036912175803646
17	GO:0005833	0.0239118360833848	50.4816326530612	0.0241487563390485	1	6	hemoglobin complex	Hbq1a	0.036912175803646
18	GO:0031390	0.0239118360833848	50.4816326530612	0.0241487563390485	1	6	Ctf18 RFC-like complex	Rfc2	0.036912175803646
19	GO:0031838	0.0239118360833848	50.4816326530612	0.0241487563390485	1	6	haptoglobin-hemoglobin complex	Hbq1a	0.036912175803646
20	GO:0032280	0.0239118360833848	50.4816326530612	0.0241487563390485	1	6	symmetric synapse	Ntsr1	0.036912175803646
21	GO:0005657	0.0242236153711427	8.84698275862069	0.241487563390485	2	60	replication fork	Prim2;Rfc2	0.036912175803646
22	GO:0016281	0.0278422869326906	42.0646258503401	0.0281735490622233	1	7	eukaryotic translation initiation factor 4F complex	Eif4g1	0.0404978719020955
23	GO:0043195	0.031381959333464	7.65298507462687	0.277710697899058	2	69	terminal bouton	Ap3d1;Ntsr1	0.0407728442064999
24	GO:0045121	0.0315189986361274	3.57261165335699	1.19938823150608	4	298	membrane raft	Adcy8;Cd48;Ntsr1;Plscr1	0.0407728442064999
25	GO:0098857	0.0318537845363281	3.56020633750921	1.20341302422925	4	299	membrane microdomain	Adcy8;Cd48;Ntsr1;Plscr1	0.0407728442064999
26	GO:0098589	0.0353179621839565	3.44062722736992	1.243660951461	4	309	membrane region	Adcy8;Cd48;Ntsr1;Plscr1	0.0412786532486216
27	GO:0031464	0.0356567137877278	31.5433673469388	0.0362231345085728	1	9	Cul4A-RING E3 ubiquitin ligase complex	Ercc8	0.0412786532486216
28	GO:0098805	0.0361188215925439	2.29032581453634	3.85575142880142	8	958	whole membrane	Adcy8;Ap3d1;Bid;Bri3bp;Cd48;Ntsr1;Osbpl6;Plscr1	0.0412786532486216
29	GO:0000138	0.0434095728660595	25.230612244898	0.0442727199549223	1	11	Golgi trans cisterna	B4galt1	0.0463035443904635
30	GO:0030897	0.0434095728660595	25.230612244898	0.0442727199549223	1	11	HOPS complex	Hook2	0.0463035443904635
31	GO:0009897	0.0452446496615831	3.98625204582651	0.796908959188602	3	198	external side of plasma membrane	B4galt1;Cd48;Flt3	0.0467041544893761
32	GO:0030057	0.0472630631461676	22.9350649350649	0.0482975126780971	1	12	desmosome	B4galt1	0.0472630631461676
