GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005832	6.59731924071349e-06	38.2053742802303	0.337395766516998	5	8	chaperonin-containing T-complex	Cct2;Cct4;Cct5;Cct7;Cct8	0.000442020389127804
2	GO:0002199	1.43285279821909e-05	28.6516314779271	0.379570237331623	5	9	zona pellucida receptor complex	Cct2;Cct4;Cct5;Cct7;Cct8	0.000480005687403395
3	GO:0101031	2.23709140138021e-05	10.7279383429672	0.927838357921745	7	22	chaperone complex	Cct2;Cct4;Cct5;Cct7;Cct8;Ptges3;Stip1	0.000499617079641581
4	GO:0035985	0.00177544681081533	Inf	0.0843489416292495	2	2	senescence-associated heterochromatin focus	Cbx3;Hmga1	0.021092759025636
5	GO:1990221	0.00177544681081533	Inf	0.0843489416292495	2	2	L-cysteine desulfurase complex	Fxn;Lyrm4	0.021092759025636
6	GO:0030176	0.00188890379334054	2.75195378865104	5.14528543938422	13	122	integral component of endoplasmic reticulum membrane	Acer3;Dhcr7;Emc9;Fitm2;Gpaa1;H2-D1;H2-K1;Hacd3;Sacm1l;Sec62;Tap2;Tecr;Tmem33	0.021092759025636
7	GO:0031227	0.00289694717755013	2.60705144503771	5.39833226427197	13	128	intrinsic component of endoplasmic reticulum membrane	Acer3;Dhcr7;Emc9;Fitm2;Gpaa1;H2-D1;H2-K1;Hacd3;Sacm1l;Sec62;Tap2;Tecr;Tmem33	0.0277279229851227
8	GO:0005952	0.00356329266779157	13.6990439770554	0.337395766516998	3	8	cAMP-dependent protein kinase complex	Prkaca;Prkar1a;Prkar2a	0.0298425760927544
9	GO:0005689	0.00412541377065031	5.44968467233342	1.09653624118024	5	26	U12-type spliceosomal complex	Pdcd7;Sf3b6;Snrpd1;Snrpf;Zcrb1	0.0307114136259523
10	GO:0044297	0.00460688894302837	1.58126925133009	29.3534316869788	44	696	cell body	Adra2a;Akap12;Ascl1;Atxn10;Cacybp;Camk2d;Cct2;Cct4;Cct5;Cct7;Cct8;Cd200;Crh;Dner;Eif4b;Fadd;Fkbp4;Golga2;Grik1;Grin3a;Grip1;Kcnd3;Kcnip1;Map2;Mul1;Naxe;Nefh;Ntrk2;Optn;Pacrg;Polr2m;Ppt1;Ptges3;Rbm8a;Rdh5;Resp18;Ric3;Serpinf1;Slc38a1;Sv2a;Tgfb2;Trpc5;Unc5c;Whrn	0.0308661559182901
11	GO:0005789	0.00508363863879817	1.73688011555128	18.2193713919179	30	432	endoplasmic reticulum membrane	Acer3;Agpat5;Alg12;Dhcr7;Emc9;Erap1;Fitm2;Gdpd1;Gpaa1;H2-D1;H2-K1;Hacd3;Kdelr2;Pyurf;Rdh5;Rpn1;Rtcb;Sacm1l;Sec62;Selenon;Slc16a11;Slc9a6;Srprb;Stard3nl;Tap2;Tecr;Tmem33;Tmem41b;Tmx2;Vapb	0.0309639807999525
12	GO:0005687	0.00716825317243822	9.78339251570609	0.421744708146248	3	10	U4 snRNP	Snrpd1;Snrpe;Snrpf	0.0343052116109543
13	GO:0031588	0.00716825317243822	9.78339251570609	0.421744708146248	3	10	nucleotide-activated protein kinase complex	Prkaca;Prkar1a;Prkar2a	0.0343052116109543
14	GO:0042824	0.00716825317243822	9.78339251570609	0.421744708146248	3	10	MHC class I peptide loading complex	H2-D1;H2-K1;Tap2	0.0343052116109543
15	GO:0042175	0.00944515801368943	1.6516969882281	19.0628608082104	30	452	nuclear outer membrane-endoplasmic reticulum membrane network	Acer3;Agpat5;Alg12;Dhcr7;Emc9;Erap1;Fitm2;Gdpd1;Gpaa1;H2-D1;H2-K1;Hacd3;Kdelr2;Pyurf;Rdh5;Rpn1;Rtcb;Sacm1l;Sec62;Selenon;Slc16a11;Slc9a6;Srprb;Stard3nl;Tap2;Tecr;Tmem33;Tmem41b;Tmx2;Vapb	0.0421481187628805
16	GO:0035517	0.0100652223911356	22.793893129771	0.168697883258499	2	4	PR-DUB complex	Asxl1;Asxl3	0.0421481187628805
17	GO:0034388	0.0163087673689299	15.1946564885496	0.210872354073124	2	5	Pwp2p-containing subcomplex of 90S preribosome	Utp6;Wdr3	0.044852214993331
18	GO:0034715	0.0163087673689299	15.1946564885496	0.210872354073124	2	5	pICln-Sm protein complex	Snrpd1;Snrpf	0.044852214993331
19	GO:0071011	0.0164240453578215	3.19400715563506	2.06654906991661	6	49	precatalytic spliceosome	Ik;Mfap1b;Sf3b6;Snrpd1;Snrpe;Snrpf	0.044852214993331
20	GO:0044232	0.0169839010739308	4.56934865900383	1.01218729955099	4	24	organelle membrane contact site	Mboat7;Stard3nl;Tmem41b;Tmx2	0.044852214993331
21	GO:0097729	0.017951822852708	2.58306596334765	3.33178319435536	8	79	9+2 motile cilium	Pacrg;Prkaca;Prkar1a;Ran;Rsph9;Scnn1a;Sqstm1;Tekt5	0.044852214993331
22	GO:0044233	0.0191798147729121	6.22370936902486	0.590442591404747	3	14	mitochondria-associated endoplasmic reticulum membrane	Mboat7;Tmem41b;Tmx2	0.044852214993331
23	GO:0008328	0.0215245639701976	2.98494983277592	2.19307248236049	6	52	ionotropic glutamate receptor complex	Eps8;Grik1;Grin3a;Sacm1l;Shisa6;Vwc2	0.044852214993331
24	GO:0071007	0.0223684665046282	4.15325670498084	1.09653624118024	4	26	U2-type catalytic step 2 spliceosome	Bcas2;Ppie;Snrpd1;Snrpf	0.044852214993331
25	GO:0098878	0.0234380767373643	2.92119476268412	2.23524695317511	6	53	neurotransmitter receptor complex	Eps8;Grik1;Grin3a;Sacm1l;Shisa6;Vwc2	0.044852214993331
26	GO:0042612	0.023785170841076	11.3950381679389	0.253046824887749	2	6	MHC class I protein complex	H2-D1;H2-K1	0.044852214993331
