GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005818	0.000275358638989444	32.7352941176471	0.137470857785996	3	9	aster	Dynlt3;Mapre1;Tpx2	0.0167968769783561
2	GO:0000315	0.00147809735607701	6.59405405405405	0.840099686469973	5	55	organellar large ribosomal subunit	Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50	0.0300546462402325
3	GO:0005762	0.00147809735607701	6.59405405405405	0.840099686469973	5	55	mitochondrial large ribosomal subunit	Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50	0.0300546462402325
4	GO:0061673	0.00225164086695066	43.4255319148936	0.0763726987699976	2	5	mitotic spindle astral microtubule	Dynlt3;Mapre1	0.0339927500395073
5	GO:0005759	0.00318772723452105	2.98239087301587	3.57424230243589	10	234	mitochondrial matrix	Glrx2;Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50;Mterf1a;Sod2;Suclg2;Vdac2	0.0339927500395073
6	GO:0005850	0.00334354918421383	32.5664893617021	0.0916472385239971	2	6	eukaryotic translation initiation factor 2 complex	Eif2s2;Eif2s3x	0.0339927500395073
7	GO:0072686	0.00426806419659375	4.21658186864015	1.52745397539995	6	100	mitotic spindle	Dynlt3;Ikbkg;Mapre1;Nexmif;Smc6;Tpx2	0.0353344498219751
8	GO:1904115	0.00463402620616066	26.0510638297872	0.106921778277997	2	7	axon cytoplasm	Ranbp1;Zc3h14	0.0353344498219751
9	GO:0000235	0.00611681530682856	21.7074468085106	0.122196318031996	2	8	astral microtubule	Dynlt3;Mapre1	0.0414584148573936
10	GO:0005622	0.00829576624521131	1.71274362818591	155.387892917437	168	10173	intracellular	4921507P07Rik;Acp1;Agmo;Akirin1;Akr7a5;Aldh3b2;Alkbh8;Appbp2;Arcn1;Arhgap5;Arl4a;Atad1;Atg4d;Atg5;Atp6v1g1;Atpaf2;Bag4;Bcl2l1;Brcc3;Brd7;Ccdc50;Ccser2;Cdv3;Cep76;Cetn2;Cfap36;Chchd4;Cmpk2;Commd8;Cptp;Crot;Cstf2t;Dctn4;Ddx3x;Ddx52;Dnajb14;Dynlt3;Efl1;Eif2s2;Eif2s3x;Eif3e;Eif4a2;Eif5;Erp44;Fbxo11;Fem1b;Fiz1;Fkbp7;Frg1;Gchfr;Ggps1;Glmn;Glrx2;Golph3l;Grb2;Hcrt;Hps3;Ikbkg;Impa1;Jkamp;Klf8;Mapre1;Mis12;Mospd1;Mphosph8;Mplkip;Mrln;Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50;Mterf1a;Naa50;Nab1;Nae1;Nat1;Ncs1;Necap1;Nexmif;Nhlrc1;Nkrf;Nrp1;Nudt21;Nudt9;Ociad1;Os9;Oxnad1;Paics;Paip1;Pawr;Pcnp;Pdia3;Pex13;Pfdn4;Pkia;Polr1c;Polr2k;Ppp2r2d;Prmt6;Psmd10;Psmd12;Rab22a;Rab4a;Rab5a;Rab9;Ranbp1;Rbbp9;Rbmx2;Rbpms2;Rfc4;Rnf113a1;Rnf168;Rnf181;Rnf182;Rufy3;Samd4b;Sat2;Sco1;Scoc;Sdcbp;Senp6;Shld3;Slc16a13;Slc33a1;Slc35e3;Slc49a4;Slc4a1ap;Smc6;Snx24;Sod2;Spata5;Ssb;Stam;Stau1;Stk4;Strap;Suclg2;Taf11;Tamm41;Tbca;Terf2;Thap12;Thoc6;Tmem129;Tmf1;Tomm5;Tpx2;Trnt1;Tubgcp4;Ube2d2a;Ube2d3;Ube2v2;Ublcp1;Ubxn2a;Vdac2;Wac;Xbp1;Yipf4;Ythdf2;Zbtb33;Zc3h14;Zfp37;Zfp426;Zfp729b;Zfp870;Zranb1;Zrsr2	0.0458830013072646
11	GO:0000313	0.00966150419109199	4.11114864864865	1.29833587908996	5	85	organellar ribosome	Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50	0.0458830013072646
12	GO:0005761	0.00966150419109199	4.11114864864865	1.29833587908996	5	85	mitochondrial ribosome	Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50	0.0458830013072646
13	GO:0005895	0.0152745397539995	Inf	0.0152745397539995	1	1	interleukin-5 receptor complex	Sdcbp	0.0458830013072646
14	GO:0055120	0.0152745397539995	Inf	0.0152745397539995	1	1	striated muscle dense body	Frg1	0.0458830013072646
15	GO:0005736	0.016206315292477	11.8355899419729	0.198569016801994	2	13	RNA polymerase I complex	Polr1c;Polr2k	0.0458830013072646
16	GO:0009295	0.0214261852838443	5.44251336898396	0.595707050405981	3	39	nucleoid	Mterf1a;Sod2;Vdac2	0.0458830013072646
17	GO:0042645	0.0214261852838443	5.44251336898396	0.595707050405981	3	39	mitochondrial nucleoid	Mterf1a;Sod2;Vdac2	0.0458830013072646
18	GO:0043232	0.02237603167657	1.38531857612923	52.0556314816304	65	3408	intracellular non-membrane-bounded organelle	4921507P07Rik;Aldh3b2;Appbp2;Arl4a;Atg5;Bcl2l1;Brcc3;Brd7;Ccdc50;Ccser2;Cep76;Cetn2;Cfap36;Dctn4;Ddx3x;Dynlt3;Fbxo11;Frg1;Grb2;Ikbkg;Klf8;Mapre1;Mis12;Mphosph8;Mplkip;Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50;Mterf1a;Nexmif;Nkrf;Nrp1;Nudt21;Pawr;Polr1c;Polr2k;Prmt6;Psmd10;Rab22a;Rab5a;Ranbp1;Rfc4;Rnf168;Samd4b;Sco1;Sdcbp;Shld3;Smc6;Sod2;Stau1;Tbca;Terf2;Thoc6;Tpx2;Tubgcp4;Ublcp1;Vdac2;Ythdf2;Zbtb33;Zc3h14;Zfp37;Zfp729b;Zrsr2	0.0458830013072646
19	GO:0005852	0.0241974766381784	9.29711246200608	0.244392636063992	2	16	eukaryotic translation initiation factor 3 complex	Ddx3x;Eif3e	0.0458830013072646
20	GO:0043228	0.0247991899682451	1.37567857142857	52.3152986574483	65	3425	non-membrane-bounded organelle	4921507P07Rik;Aldh3b2;Appbp2;Arl4a;Atg5;Bcl2l1;Brcc3;Brd7;Ccdc50;Ccser2;Cep76;Cetn2;Cfap36;Dctn4;Ddx3x;Dynlt3;Fbxo11;Frg1;Grb2;Ikbkg;Klf8;Mapre1;Mis12;Mphosph8;Mplkip;Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50;Mterf1a;Nexmif;Nkrf;Nrp1;Nudt21;Pawr;Polr1c;Polr2k;Prmt6;Psmd10;Rab22a;Rab5a;Ranbp1;Rfc4;Rnf168;Samd4b;Sco1;Sdcbp;Shld3;Smc6;Sod2;Stau1;Tbca;Terf2;Thoc6;Tpx2;Tubgcp4;Ublcp1;Vdac2;Ythdf2;Zbtb33;Zc3h14;Zfp37;Zfp729b;Zrsr2	0.0458830013072646
21	GO:0015934	0.0248630518620679	3.18709000262398	1.64965029343195	5	108	large ribosomal subunit	Mrpl3;Mrpl35;Mrpl40;Mrpl45;Mrpl50	0.0458830013072646
