GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0031974	0.000322919567032995	2.12978208232446	26.2301440412006	42	3582	membrane-enclosed lumen	0610010K14Rik;Abcb4;Adprhl2;Agrn;Akap8l;Arnt;Atg2a;Brat1;Clk2;Colgalt1;Dcaf11;Lrrc45;Man2c1;Map1s;Med27;Mier2;Mknk1;Mterf1b;Mysm1;Mzf1;Noc2l;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Pwp2;Rcor1;Setdb2;Slc35c2;Sppl2b;Sptbn4;Taf1c;Tefm;Ttc5;Ubp1;Usp28;Xrcc1;Zc3h18;Zfat;Zfp12;Zfp746	0.00387503480439594
2	GO:0043233	0.000322919567032995	2.12978208232446	26.2301440412006	42	3582	organelle lumen	0610010K14Rik;Abcb4;Adprhl2;Agrn;Akap8l;Arnt;Atg2a;Brat1;Clk2;Colgalt1;Dcaf11;Lrrc45;Man2c1;Map1s;Med27;Mier2;Mknk1;Mterf1b;Mysm1;Mzf1;Noc2l;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Pwp2;Rcor1;Setdb2;Slc35c2;Sppl2b;Sptbn4;Taf1c;Tefm;Ttc5;Ubp1;Usp28;Xrcc1;Zc3h18;Zfat;Zfp12;Zfp746	0.00387503480439594
3	GO:0070013	0.000322919567032995	2.12978208232446	26.2301440412006	42	3582	intracellular organelle lumen	0610010K14Rik;Abcb4;Adprhl2;Agrn;Akap8l;Arnt;Atg2a;Brat1;Clk2;Colgalt1;Dcaf11;Lrrc45;Man2c1;Map1s;Med27;Mier2;Mknk1;Mterf1b;Mysm1;Mzf1;Noc2l;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Pwp2;Rcor1;Setdb2;Slc35c2;Sppl2b;Sptbn4;Taf1c;Tefm;Ttc5;Ubp1;Usp28;Xrcc1;Zc3h18;Zfat;Zfp12;Zfp746	0.00387503480439594
4	GO:0031981	0.00156691364531146	1.95950957215037	23.6744990745956	37	3233	nuclear lumen	0610010K14Rik;Abcb4;Adprhl2;Akap8l;Arnt;Atg2a;Brat1;Clk2;Dcaf11;Lrrc45;Man2c1;Map1s;Med27;Mier2;Mknk1;Mysm1;Mzf1;Noc2l;Orc4;Pcgf2;Polb;Prdm10;Pwp2;Rcor1;Setdb2;Slc35c2;Sppl2b;Sptbn4;Taf1c;Ttc5;Ubp1;Usp28;Xrcc1;Zc3h18;Zfat;Zfp12;Zfp746	0.0141022228078031
5	GO:0005654	0.0023260115678783	1.95695915615127	19.8373702422145	32	2709	nucleoplasm	0610010K14Rik;Abcb4;Adprhl2;Akap8l;Arnt;Atg2a;Brat1;Clk2;Dcaf11;Lrrc45;Man2c1;Map1s;Med27;Mier2;Mknk1;Mysm1;Mzf1;Noc2l;Orc4;Pcgf2;Rcor1;Setdb2;Slc35c2;Sppl2b;Sptbn4;Taf1c;Ttc5;Ubp1;Usp28;Xrcc1;Zc3h18;Zfp12	0.0147550619379558
6	GO:0009295	0.00286903982126917	11.6477272727273	0.285587832944395	3	39	nucleoid	Mterf1b;Polrmt;Tefm	0.0147550619379558
7	GO:0042645	0.00286903982126917	11.6477272727273	0.285587832944395	3	39	mitochondrial nucleoid	Mterf1b;Polrmt;Tefm	0.0147550619379558
8	GO:0030691	0.00732276494729212	Inf	0.00732276494729219	1	1	Noc2p-Noc3p complex	Noc2l	0.0263619538102516
9	GO:0034245	0.00732276494729212	Inf	0.00732276494729219	1	1	mitochondrial DNA-directed RNA polymerase complex	Polrmt	0.0263619538102516
10	GO:0036266	0.00732276494729212	Inf	0.00732276494729219	1	1	Cdc48p-Npl4p-Vms1p AAA ATPase complex	Ankzf1	0.0263619538102516
