GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005602	0.00691763191763195	Inf	0.00691763191763192	1	1	complement component C1 complex	C1qb	0.0445119683432252
2	GO:1990026	0.00691763191763195	Inf	0.00691763191763192	1	1	hippocampal mossy fiber expansion	Mical1	0.0445119683432252
3	GO:0000790	0.00755121525687662	2.82209643716772	3.45881595881596	9	500	nuclear chromatin	Dffb;Eed;Ipo4;Klf3;Mbd3;Men1;Pax6;Rcc1;Zfp57	0.0445119683432252
4	GO:0032991	0.0103485802979706	1.70223283305813	28.2585263835264	39	4085	protein-containing complex	Ap1g2;Aup1;Axl;C1qb;C1qtnf6;Card9;Cdc20;Cgnl1;Chmp7;Cir1;Cnih2;Dcaf15;Dffb;Dgcr8;Eed;Eif3b;Ftsj3;Ints14;Ipo4;Kdm2b;Mbd3;Men1;Mrpl4;Nxt1;Pax6;Phkg2;Psmd3;Rad52;Rcc1;Rps2;Sharpin;Slc9a3r1;Sugp1;Supv3l1;Tfdp1;Timm9;Wdr34;Yju2;Zfp335	0.0445119683432252
5	GO:0005743	0.0124007171625638	3.00164485446614	2.49726512226512	7	361	mitochondrial inner membrane	Coq6;Eral1;Pisd;Rcc1l;Slc25a3;Slc25a34;Timm9	0.0445119683432252
6	GO:0035097	0.0125384541162865	6.62416831505125	0.484234234234234	3	70	histone methyltransferase complex	Eed;Men1;Zfp335	0.0445119683432252
7	GO:0000785	0.0126759904323527	2.4469507101086	4.42728442728443	10	640	chromatin	Chmp7;Dffb;Eed;Ipo4;Klf3;Mbd3;Men1;Pax6;Rcc1;Zfp57	0.0445119683432252
8	GO:0045025	0.013787962836712	145.235294117647	0.0138352638352638	1	2	mitochondrial degradosome	Supv3l1	0.0445119683432252
9	GO:0070877	0.013787962836712	145.235294117647	0.0138352638352638	1	2	microprocessor complex	Dgcr8	0.0445119683432252
10	GO:1903095	0.013787962836712	145.235294117647	0.0138352638352638	1	2	ribonuclease III complex	Dgcr8	0.0445119683432252
11	GO:0000792	0.0161881650479199	5.99413871703028	0.532657657657658	3	77	heterochromatin	Eed;Mbd3;Zfp57	0.0445119683432252
12	GO:0019866	0.0196575016203241	2.72360157495688	2.73938223938224	7	396	organelle inner membrane	Coq6;Eral1;Pisd;Rcc1l;Slc25a3;Slc25a34;Timm9	0.0445119683432252
