GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005583	0.00148545653838879	43.4753521126761	0.0587383327969102	2	10	fibrillar collagen trimer	Col3a1;Col5a2	0.0154433942702894
2	GO:0098643	0.00148545653838879	43.4753521126761	0.0587383327969102	2	10	banded collagen fibril	Col3a1;Col5a2	0.0154433942702894
3	GO:0005576	0.00222841830602451	2.58413609031783	6.69029610556807	15	1139	extracellular region	Adck1;Aebp1;B2m;Cfh;Col3a1;Col5a2;Colec12;Crlf1;Gfod2;Iglon5;Kdr;Pkdcc;Pla2g6;Serping1;Vwf	0.0154433942702894
4	GO:0098644	0.00254558975831843	31.6107554417414	0.0763598326359833	2	13	complex of collagen trimers	Col3a1;Col5a2	0.0154433942702894
5	GO:0005581	0.0027823795283669	11.7238095238095	0.281943997425169	3	48	collagen trimer	Col3a1;Col5a2;Colec12	0.0154433942702894
6	GO:0005586	0.00587383327969104	Inf	0.00587383327969102	1	1	collagen type III trimer	Col3a1	0.0154433942702894
7	GO:0033644	0.00587383327969104	Inf	0.00587383327969102	1	1	host cell membrane	Pi4k2a	0.0154433942702894
8	GO:0035838	0.00587383327969104	Inf	0.00587383327969102	1	1	growing cell tip	Pi4k2a	0.0154433942702894
9	GO:0044221	0.00587383327969104	Inf	0.00587383327969102	1	1	host cell synapse	Pi4k2a	0.0154433942702894
10	GO:0044231	0.00587383327969104	Inf	0.00587383327969102	1	1	host cell presynaptic membrane	Pi4k2a	0.0154433942702894
11	GO:0097058	0.00587383327969104	Inf	0.00587383327969102	1	1	CRLF-CLCF1 complex	Crlf1	0.0154433942702894
12	GO:0009897	0.00597808810462815	4.65801164215686	1.15714515609913	5	197	external side of plasma membrane	B2m;Cdh5;Crlf1;Kdr;Vwf	0.0154433942702894
13	GO:0005674	0.0117136345326549	171.583333333333	0.011747666559382	1	2	transcription factor TFIIF complex	Gtf2f2	0.0259373336080217
14	GO:0034677	0.0117136345326549	171.583333333333	0.011747666559382	1	2	integrin alpha7-beta1 complex	Itga7	0.0259373336080217
15	GO:0031012	0.0131949110911459	3.30436773189268	1.95011264885742	6	332	extracellular matrix	Col3a1;Col5a2;Colec12;Gfod2;Serping1;Vwf	0.0272694829217015
16	GO:0005927	0.0175195982119658	85.7847222222222	0.0176214998390731	1	3	muscle tendon junction	Itga7	0.0339442215356837
17	GO:0062023	0.0196635353589992	3.42053167420814	1.55656581911812	5	265	collagen-containing extracellular matrix	Col3a1;Col5a2;Colec12;Serping1;Vwf	0.0358570350664104
18	GO:0005615	0.0214299560231235	2.36286473342939	4.12930479562279	9	703	extracellular space	Aebp1;B2m;Cfh;Col3a1;Col5a2;Crlf1;Pla2g6;Serping1;Vwf	0.03610247239654
19	GO:0005588	0.0232919176751871	57.1851851851852	0.0234953331187641	1	4	collagen type V trimer	Col5a2	0.03610247239654
20	GO:0033093	0.0232919176751871	57.1851851851852	0.0234953331187641	1	4	Weibel-Palade body	Vwf	0.03610247239654
21	GO:0097443	0.0290307851904567	42.8854166666667	0.0293691663984551	1	5	sorting endosome	Kdr	0.0409070154956435
22	GO:1990712	0.0290307851904567	42.8854166666667	0.0293691663984551	1	5	HFE-transferrin receptor complex	B2m	0.0409070154956435
23	GO:0030176	0.0342087523092749	4.44443099273608	0.710733826842613	3	121	integral component of endoplasmic reticulum membrane	B2m;Preb;Zfyve27	0.0414164673161027
24	GO:0016272	0.0347363919425377	34.3055555555556	0.0352429996781461	1	6	prefoldin complex	Pfdn1	0.0414164673161027
25	GO:0032584	0.0347363919425377	34.3055555555556	0.0352429996781461	1	6	growth cone membrane	Zfyve27	0.0414164673161027
26	GO:0042612	0.0347363919425377	34.3055555555556	0.0352429996781461	1	6	MHC class I protein complex	B2m	0.0414164673161027
27	GO:0009986	0.0371520462846058	2.37571740128558	3.1425008046347	7	535	cell surface	B2m;Cdh5;Crlf1;Itga7;Kdr;Notch4;Vwf	0.0426560531415844
28	GO:0031227	0.0386361471866512	4.22730414746544	0.74597682652076	3	127	intrinsic component of endoplasmic reticulum membrane	B2m;Preb;Zfyve27	0.0427757343852209
29	GO:1990316	0.0404089280388339	28.5856481481481	0.0411168329578371	1	7	Atg1/ULK1 kinase complex	Sesn2	0.0431957506622017
30	GO:0051286	0.0460485825153786	24.5	0.0469906662375282	1	8	cell tip	Pi4k2a	0.0460485825153786
31	GO:0097550	0.0460485825153786	24.5	0.0469906662375282	1	8	transcription preinitiation complex	Gtf2f2	0.0460485825153786
