GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0043229	0.00194150864230264	2.23322577055747	71.5171359613837	84	9071	intracellular organelle	2310057M21Rik;Acaca;Acad8;Akr1e1;Ankrd42;Appl1;Arrdc1;Astn1;Astn2;Atp8a2;Atxn2;Bcap29;Brinp3;Cc2d2a;Ccdc91;Cdk18;Cds2;Chga;Chil1;Copa;Cpeb3;Cramp1l;Dcun1d4;Erbb4;Fen1;Fgf22;Flt1;Foxred2;Golga3;Hdgfl3;Hsf4;Hspa4;Ifit3;Ifit3b;Ift81;Il1r1;Il4ra;Insig1;Intu;Itpkc;Kat5;Katnal1;Kif1a;Kif3a;Klhl42;Larp7;Map1b;Map7d2;Mapk8ip3;Moxd1;Mrpl55;Msh2;Mtmr9;Myl6b;N4bp3;Nsd2;Nsun4;Nudt2;Parm1;Pef1;Pitrm1;Plcb4;Plekha7;Plk3;Prkg1;Rassf2;Relt;Senp5;Sez6l2;Smarcc2;Snrpc;Snu13;Stn1;Syne2;Tcp11l1;Thoc5;Trim66;Tspyl1;Ttc3;Usp13;Wwox;Zc3h10;Zfp607b;Zfp655	0.0463914013801981
2	GO:0043226	0.00567579044292794	2.04785729823798	73.1491552695093	84	9278	organelle	2310057M21Rik;Acaca;Acad8;Akr1e1;Ankrd42;Appl1;Arrdc1;Astn1;Astn2;Atp8a2;Atxn2;Bcap29;Brinp3;Cc2d2a;Ccdc91;Cdk18;Cds2;Chga;Chil1;Copa;Cpeb3;Cramp1l;Dcun1d4;Erbb4;Fen1;Fgf22;Flt1;Foxred2;Golga3;Hdgfl3;Hsf4;Hspa4;Ifit3;Ifit3b;Ift81;Il1r1;Il4ra;Insig1;Intu;Itpkc;Kat5;Katnal1;Kif1a;Kif3a;Klhl42;Larp7;Map1b;Map7d2;Mapk8ip3;Moxd1;Mrpl55;Msh2;Mtmr9;Myl6b;N4bp3;Nsd2;Nsun4;Nudt2;Parm1;Pef1;Pitrm1;Plcb4;Plekha7;Plk3;Prkg1;Rassf2;Relt;Senp5;Sez6l2;Smarcc2;Snrpc;Snu13;Stn1;Syne2;Tcp11l1;Thoc5;Trim66;Tspyl1;Ttc3;Usp13;Wwox;Zc3h10;Zfp607b;Zfp655	0.0463914013801981
3	GO:0098992	0.00604274138894796	19.7419871794872	0.118262268704747	2	15	neuronal dense core vesicle	Chga;Kif1a	0.0463914013801981
4	GO:0005730	0.00910331397554691	2.35068825093393	5.54255832662912	12	703	nucleolus	Acaca;Fen1;Fgf22;Golga3;Kat5;Plk3;Senp5;Snu13;Stn1;Tspyl1;Ttc3;Zfp655	0.0463914013801981
5	GO:0043232	0.00916803085101125	1.6870073281838	26.8376508447305	38	3404	intracellular non-membrane-bounded organelle	Acaca;Atxn2;Cc2d2a;Fen1;Fgf22;Flt1;Golga3;Hsf4;Hspa4;Ift81;Il4ra;Intu;Kat5;Katnal1;Kif1a;Kif3a;Klhl42;Map1b;Map7d2;Mrpl55;Msh2;Myl6b;Nsd2;Nsun4;Plekha7;Plk3;Rassf2;Senp5;Smarcc2;Snu13;Stn1;Syne2;Tcp11l1;Thoc5;Trim66;Tspyl1;Ttc3;Zfp655	0.0463914013801981
6	GO:0043228	0.00997871901673423	1.67534732485959	26.9716814159292	38	3421	non-membrane-bounded organelle	Acaca;Atxn2;Cc2d2a;Fen1;Fgf22;Flt1;Golga3;Hsf4;Hspa4;Ift81;Il4ra;Intu;Kat5;Katnal1;Kif1a;Kif3a;Klhl42;Map1b;Map7d2;Mrpl55;Msh2;Myl6b;Nsd2;Nsun4;Plekha7;Plk3;Rassf2;Senp5;Smarcc2;Snu13;Stn1;Syne2;Tcp11l1;Thoc5;Trim66;Tspyl1;Ttc3;Zfp655	0.0463914013801981
7	GO:0030673	0.0106582772331082	14.2523148148148	0.157683024939662	2	20	axolemma	Kcnc1;Mapk8ip3	0.0463914013801981
8	GO:0098889	0.0107582968929382	4.95521783181358	0.859372485921158	4	109	intrinsic component of presynaptic membrane	Cntn6;Erbb4;Kcna3;Kcnc1	0.0463914013801981
9	GO:0000784	0.0122935737829396	6.68275862068965	0.480933226065969	3	61	nuclear chromosome, telomeric region	Fen1;Stn1;Thoc5	0.0463914013801981
10	GO:0005690	0.0157067719870105	127.123711340206	0.0157683024939662	1	2	U4atac snRNP	Snu13	0.0463914013801981
11	GO:0032301	0.0157067719870105	127.123711340206	0.0157683024939662	1	2	MutSalpha complex	Msh2	0.0463914013801981
12	GO:0032302	0.0157067719870105	127.123711340206	0.0157683024939662	1	2	MutSbeta complex	Msh2	0.0463914013801981
13	GO:0042995	0.0170626520027389	1.7320086152991	15.5238938053097	24	1969	cell projection	Appl1;Atp8a2;Brinp3;Cc2d2a;Cntn6;Copa;Cpeb3;Ift81;Il1r1;Intu;Kcna3;Kcnc1;Kif1a;Kif3a;Map1b;Mapk8ip3;Mtmr9;N4bp3;Pcdh9;Plcb4;Plk3;Syne2;Tmem266;Wwox	0.0463914013801981
14	GO:0044305	0.0176818549700713	10.6840277777778	0.204987932421561	2	26	calyx of Held	Kcna3;Kcnc1	0.0463914013801981
15	GO:0044304	0.0191493300400705	5.61235697940503	0.567658889782784	3	72	main axon	Kcnc1;Map1b;Mapk8ip3	0.0463914013801981
