GOCCID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0000788	2.13670030885396e-05	83.1775280898876	0.0591877764374749	3	8	nuclear nucleosome	H3c15;H4c12;H4c9	0.000512808074124951
2	GO:0000786	0.000247216916408452	29.6845906902087	0.125774024929634	3	17	nucleosome	H3c15;H4c12;H4c9	0.00296660299690142
3	GO:0044815	0.000708756049699626	19.7784911717496	0.177563329312425	3	24	DNA packaging complex	H3c15;H4c12;H4c9	0.00567004839759701
4	GO:0032993	0.00663598064621858	5.73851921274602	0.74724567752312	4	101	protein-DNA complex	H3c15;H4c12;H4c9;Helb	0.025366189901773
5	GO:0032997	0.0073984720546838	Inf	0.00739847205468436	1	1	Fc receptor complex	Fcer1g	0.025366189901773
6	GO:0032998	0.0073984720546838	Inf	0.00739847205468436	1	1	Fc-epsilon receptor I complex	Fcer1g	0.025366189901773
7	GO:0044599	0.0073984720546838	Inf	0.00739847205468436	1	1	AP-5 adaptor complex	Ap5z1	0.025366189901773
8	GO:0005862	0.0147427973378571	135.626373626374	0.0147969441093687	1	2	muscle thin filament tropomyosin	Tpm2	0.035382713610857
9	GO:0005965	0.0147427973378571	135.626373626374	0.0147969441093687	1	2	protein farnesyltransferase complex	Fntb	0.035382713610857
10	GO:0019008	0.0147427973378571	135.626373626374	0.0147969441093687	1	2	molybdopterin synthase complex	Mocs1	0.035382713610857
11	GO:0032807	0.022033367807166	67.8076923076923	0.0221954161640531	1	3	DNA ligase IV complex	Nhej1	0.0406769867209219
12	GO:0036128	0.022033367807166	67.8076923076923	0.0221954161640531	1	3	CatSper complex	Catspere2	0.0406769867209219
13	GO:0097124	0.022033367807166	67.8076923076923	0.0221954161640531	1	3	cyclin A2-CDK2 complex	Ccno	0.0406769867209219
14	GO:0071953	0.0292705726142558	45.2014652014652	0.0295938882187374	1	4	elastic fiber	Fbln5	0.0465344383585024
15	GO:0000307	0.0304936193277745	7.81460317460317	0.273743466023321	2	37	cyclin-dependent protein kinase holoenzyme complex	Ccnb2;Ccno	0.0465344383585024
16	GO:0030119	0.0352090021939903	7.19590643274854	0.295938882187374	2	40	AP-type membrane coat adaptor complex	Ap3b1;Ap5z1	0.0465344383585024
17	GO:0005655	0.0364547981246321	33.8983516483516	0.0369923602734218	1	5	nucleolar ribonuclease P complex	Pop1	0.0465344383585024
18	GO:0005826	0.0364547981246321	33.8983516483516	0.0369923602734218	1	5	actomyosin contractile ring	Rtkn	0.0465344383585024
19	GO:0032153	0.0368397637004811	7.01082621082621	0.303337354242059	2	41	cell division site	Rhob;Rtkn	0.0465344383585024
20	GO:0072669	0.043586427937386	27.1164835164835	0.0443908323281062	1	6	tRNA-splicing ligase complex	Zbtb8os	0.0497966957730081
21	GO:0071005	0.0436441211879617	6.35658914728682	0.332931242460796	2	45	U2-type precatalytic spliceosome	Cwc22;Prpf38a	0.0497966957730081
22	GO:0000228	0.0487615738545393	1.99596499204365	4.77201447527141	9	645	nuclear chromosome	H3c15;H4c12;H4c9;Helb;Plag1;Spi1;Zfp949;Zgrf1;Zscan25	0.0497966957730081
23	GO:0071011	0.0490290057900512	5.94057971014493	0.355126658624849	2	48	precatalytic spliceosome	Cwc22;Prpf38a	0.0497966957730081
24	GO:0016607	0.0497966957730081	2.61938841899805	1.99758745476478	5	270	nuclear speck	Ap5z1;Cwc22;Plag1;Rbm15;Tut1	0.0497966957730081
