GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0008135	3.52043703747219e-05	6.29469339622641	1.63950819672131	9	73	translation factor activity, RNA binding	Eif1ad;Eif1b;Eif2b1;Eif2b2;Eif2b5;Eif4a1;Eif4g2;Hbs1l;Tsfm	0.00301968717150038
2	GO:0036402	4.40830244014654e-05	132.011070110701	0.0898360655737705	3	4	proteasome-activating ATPase activity	Psmc1;Psmc2;Psmc4	0.00301968717150038
3	GO:0003743	6.75130883361606e-05	7.9908767886296	1.03311475409836	7	46	translation initiation factor activity	Eif1ad;Eif1b;Eif2b1;Eif2b2;Eif2b5;Eif4a1;Eif4g2	0.00308309770068467
4	GO:0090079	0.000199953689219266	4.90547630004602	2.04377049180328	9	91	translation regulator activity, nucleic acid binding	Eif1ad;Eif1b;Eif2b1;Eif2b2;Eif2b5;Eif4a1;Eif4g2;Hbs1l;Tsfm	0.00684841385575986
5	GO:0045182	0.000320010404919328	4.1449214365881	2.65016393442623	10	118	translation regulator activity	Eif1ad;Eif1b;Eif2b1;Eif2b2;Eif2b5;Eif4a1;Eif4g2;Hbs1l;Rps14;Tsfm	0.00876828509478959
6	GO:0009055	0.0011504149347397	5.65846300412829	1.19032786885246	6	53	electron transfer activity	Cox7c;Cycs;Dld;Glrx;Sdhb;Uqcrq	0.0234095289015281
7	GO:0070181	0.00119610731613647	18.8492356352135	0.224590163934426	3	10	small ribosomal subunit rRNA binding	Mrps18a;Mrps18c;Rps14	0.0234095289015281
8	GO:0017025	0.00217020182196741	8.39858906525573	0.561475409836066	4	25	TBP-class protein binding	Drap1;Gtf2b;Psmc1;Psmc2	0.0371647062011918
9	GO:0030246	0.0026119872456105	3.07758620689655	3.48114754098361	10	155	carbohydrate binding	Bsg;Cd248;Cd93;Clec2d;Egln2;Eng;Mgat2;Prps1;Pygm;Tinagl1	0.0397602502942931
10	GO:0140296	0.00322991478333977	5.52323420074349	1.01065573770492	5	45	general transcription initiation factor binding	Drap1;Fbl;Gtf2b;Psmc1;Psmc2	0.0411482920214891
11	GO:0032550	0.00437458817456518	2.36032388663968	6.28852459016393	14	280	purine ribonucleoside binding	Cdc42;Eif2b1;Eif2b2;Gbp9;Hbs1l;Hsp90ab1;Prps1;Rab2a;Rab5c;Rac3;Ralb;Tuba1b;Tubb2a;Tubb3	0.0411482920214891
12	GO:0001883	0.00480249811530425	2.33340005719188	6.35590163934426	14	283	purine nucleoside binding	Cdc42;Eif2b1;Eif2b2;Gbp9;Hbs1l;Hsp90ab1;Prps1;Rab2a;Rab5c;Rac3;Ralb;Tuba1b;Tubb2a;Tubb3	0.0411482920214891
13	GO:0032549	0.00480249811530425	2.33340005719188	6.35590163934426	14	283	ribonucleoside binding	Cdc42;Eif2b1;Eif2b2;Gbp9;Hbs1l;Hsp90ab1;Prps1;Rab2a;Rab5c;Rac3;Ralb;Tuba1b;Tubb2a;Tubb3	0.0411482920214891
14	GO:0004738	0.00480563994411552	29.2230392156863	0.112295081967213	2	5	pyruvate dehydrogenase activity	Dld;Pdhx	0.0411482920214891
15	GO:0034603	0.00480563994411552	29.2230392156863	0.112295081967213	2	5	pyruvate dehydrogenase [NAD(P)+] activity	Dld;Pdhx	0.0411482920214891
16	GO:0034604	0.00480563994411552	29.2230392156863	0.112295081967213	2	5	pyruvate dehydrogenase (NAD+) activity	Dld;Pdhx	0.0411482920214891
17	GO:0019001	0.00542512394066231	2.29842209072978	6.44573770491803	14	287	guanyl nucleotide binding	Cdc42;Eif2b1;Eif2b2;Gbp9;Hbs1l;Hsp90ab1;Prps1;Rab2a;Rab5c;Rac3;Ralb;Tuba1b;Tubb2a;Tubb3	0.0412912211039298
18	GO:0032561	0.00542512394066231	2.29842209072978	6.44573770491803	14	287	guanyl ribonucleotide binding	Cdc42;Eif2b1;Eif2b2;Gbp9;Hbs1l;Hsp90ab1;Prps1;Rab2a;Rab5c;Rac3;Ralb;Tuba1b;Tubb2a;Tubb3	0.0412912211039298
19	GO:0004175	0.00601288518117274	2.44839485517097	5.18803278688525	12	231	endopeptidase activity	Ace2;Afg3l2;Asprv1;Cops5;Ctla2a;Htra1;Htra2;Ide;Psen2;Psma4;Psmb7;Psmd14	0.0417313291962808
20	GO:0001882	0.00629324579105766	2.25611510791367	6.55803278688525	14	292	nucleoside binding	Cdc42;Eif2b1;Eif2b2;Gbp9;Hbs1l;Hsp90ab1;Prps1;Rab2a;Rab5c;Rac3;Ralb;Tuba1b;Tubb2a;Tubb3	0.0417313291962808
21	GO:0005198	0.00650539860226707	2.02082683915212	9.41032786885246	18	419	structural molecule activity	Aspn;Cldn5;Eln;Fbln1;Mrpl12;Mrpl34;Mrpl49;Mrps12;Mrps18a;Mrps18c;Mrps7;Nefm;Nup62;Rps14;Tinagl1;Tuba1b;Tubb2a;Tubb3	0.0417313291962808
22	GO:0051082	0.00670138133078961	3.84717715768981	1.6844262295082	6	75	unfolded protein binding	Dnaja1;Dnajb11;Grpel2;Hsp90ab1;Hspa2;Mkks	0.0417313291962808
23	GO:0019784	0.00710188895938697	21.9154411764706	0.134754098360656	2	6	NEDD8-specific protease activity	Cops5;Otub1	0.0423025559754789
