GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0016783	1.44873084676489e-05	40.14405360134	0.166502624671916	4	10	sulfurtransferase activity	Ctu2;Lias;Mocs2;Tst	0.00123142121975016
2	GO:0004298	0.000190118022305264	17.1931083991385	0.299704724409449	4	18	threonine-type endopeptidase activity	Psma1;Psma2;Psma3;Psmb3	0.00808001594797373
3	GO:0070003	0.000357572231523221	14.1554832988472	0.349655511811024	4	21	threonine-type peptidase activity	Psma1;Psma2;Psma3;Psmb3	0.0101312132264913
4	GO:0071987	0.0016191603152573	59.636815920398	0.0666010498687664	2	4	WD40-repeat domain binding	Cct6a;Cdc5l	0.0344071566992177
5	GO:0008201	0.00557517164832493	3.98214982986557	1.61507545931759	6	97	heparin binding	Ccl7;Clec3b;Col23a1;Fgfrl1;Lgr4;Pdcd5	0.0382536242090517
6	GO:0016782	0.00761018504735218	5.58420007011803	0.782562335958005	4	47	transferase activity, transferring sulfur-containing groups	Ctu2;Lias;Mocs2;Tst	0.0382536242090517
7	GO:0005125	0.00819546128121821	4.29978354978355	1.24876968503937	5	75	cytokine activity	Ccl7;Cxcl14;Nampt;Ndp;Spp1	0.0382536242090517
8	GO:0030020	0.00891835289108598	7.80391304347826	0.432906824146982	3	26	extracellular matrix structural constituent conferring tensile strength	Col23a1;Col4a1;Col4a2	0.0382536242090517
9	GO:0043995	0.00919533528589609	17.0319829424307	0.149852362204724	2	9	histone acetyltransferase activity (H4-K5 specific)	Kansl2;Kat8	0.0382536242090517
10	GO:0043996	0.00919533528589609	17.0319829424307	0.149852362204724	2	9	histone acetyltransferase activity (H4-K8 specific)	Kansl2;Kat8	0.0382536242090517
11	GO:0008514	0.0103372328240293	3.08967674661105	2.39763779527559	7	144	organic anion transmembrane transporter activity	Slc16a1;Slc25a24;Slc2a1;Slc35b1;Slc38a3;Slc39a8;Slc52a3	0.0382536242090517
12	GO:0046972	0.0113690019090692	14.9017412935323	0.166502624671916	2	10	histone acetyltransferase activity (H4-K16 specific)	Kansl2;Kat8	0.0382536242090517
13	GO:0001571	0.0166502624671916	Inf	0.0166502624671916	1	1	non-tyrosine kinase fibroblast growth factor receptor activity	Fgfrl1	0.0382536242090517
14	GO:0004122	0.0166502624671916	Inf	0.0166502624671916	1	1	cystathionine beta-synthase activity	Cbs	0.0382536242090517
15	GO:0004149	0.0166502624671916	Inf	0.0166502624671916	1	1	dihydrolipoyllysine-residue succinyltransferase activity	Dlst	0.0382536242090517
16	GO:0004514	0.0166502624671916	Inf	0.0166502624671916	1	1	nicotinate-nucleotide diphosphorylase (carboxylating) activity	Nampt	0.0382536242090517
