GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0004129	1.47022716858595e-06	35	0.211424819435325	5	16	cytochrome-c oxidase activity	Cox4i1;Cox6c;Cox7a2;Cox7b;Ndufa4	4.41068150575784e-05
2	GO:0015002	1.47022716858595e-06	35	0.211424819435325	5	16	heme-copper terminal oxidase activity	Cox4i1;Cox6c;Cox7a2;Cox7b;Ndufa4	4.41068150575784e-05
3	GO:0016676	1.47022716858595e-06	35	0.211424819435325	5	16	oxidoreductase activity, acting on a heme group of donors, oxygen as acceptor	Cox4i1;Cox6c;Cox7a2;Cox7b;Ndufa4	4.41068150575784e-05
4	GO:0016675	2.06064870733905e-06	32.0806623931624	0.224638870650033	5	17	oxidoreductase activity, acting on a heme group of donors	Cox4i1;Cox6c;Cox7a2;Cox7b;Ndufa4	4.63645959151286e-05
5	GO:0005201	5.97986348679896e-05	6.63551661799472	1.3478332239002	8	102	extracellular matrix structural constituent	Bgn;Col1a1;Col1a2;Dcn;Emilin1;Igfbp7;Matn2;Ogn	0.00099951322410273
6	GO:0009055	6.6634214940182e-05	9.86355525051476	0.700344714379514	6	53	electron transfer activity	Cox4i1;Cox6c;Cox7a2;Cox7b;Ndufa4;Uqcr11	0.00099951322410273
7	GO:0030021	0.000253860561627622	32.5931283905967	0.132140512147078	3	10	extracellular matrix structural constituent conferring compression resistance	Bgn;Dcn;Ogn	0.00326392150664085
8	GO:0050840	0.000451509895980868	8.72596153846154	0.647488509520683	5	49	extracellular matrix binding	Adam9;Bgn;Clec14a;Dcn;Olfml2a	0.00507948632978477
9	GO:0071208	0.000516092428970147	151.220125786164	0.0396421536441234	2	3	histone pre-mRNA DCP binding	Snrpb;Snrpd3	0.00516092428970146
10	GO:0015078	0.000650652765553193	6.25056669572799	1.05712409717663	6	80	proton transmembrane transporter activity	Atp5d;Cox4i1;Cox6c;Cox7a2;Cox7b;Ndufa4	0.00585587488997874
