GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0046975	0.0015872879391898	45.5622641509434	0.0620333141872487	2	7	histone methyltransferase activity (H3-K36 specific)	Setd2;Setd3	0.0339079837076792
2	GO:0050660	0.00275722262300074	7.45471464019851	0.584885533765488	4	66	flavin adenine dinucleotide binding	Agps;D2hgdh;Fmo1;Kdm1b	0.0339079837076792
3	GO:0046983	0.00417956369170147	2.41739763863174	6.33625994912612	14	715	protein dimerization activity	Cdh13;Csf1r;Ece1;Gabbr1;Hpgds;Ikzf3;Kyat3;Macroh2a2;Mxd1;Pde2a;Plek;Rnf8;Srm;Zbed4	0.0339079837076792
4	GO:0004115	0.00484629436143634	22.7716981132075	0.106342824320998	2	12	3',5'-cyclic-AMP phosphodiesterase activity	Pde2a;Pde4b	0.0339079837076792
5	GO:0008395	0.00569444600281504	20.6998284734134	0.115204726347748	2	13	steroid hydroxylase activity	Cyp27a1;Cyp2u1	0.0339079837076792
6	GO:0046914	0.00684498256549989	2.34874554808073	6.00836957413637	13	678	transition metal ion binding	Aplp1;Cyp27a1;Cyp2u1;Ece1;Fhit;Kdm1b;Nanos1;Pde2a;Ppm1b;Rnf145;Rnf8;Zfp638;Zmym2	0.0339079837076792
7	GO:0004497	0.00688594774449983	8.38885017421603	0.389923689176992	3	44	monooxygenase activity	Cyp27a1;Cyp2u1;Fmo1	0.0339079837076792
8	GO:0004454	0.00886190202674997	Inf	0.00886190202674982	1	1	ketohexokinase activity	Khk	0.0339079837076792
9	GO:0004766	0.00886190202674997	Inf	0.00886190202674982	1	1	spermidine synthase activity	Srm	0.0339079837076792
10	GO:0005011	0.00886190202674997	Inf	0.00886190202674982	1	1	macrophage colony-stimulating factor receptor activity	Csf1r	0.0339079837076792
11	GO:0005365	0.00886190202674997	Inf	0.00886190202674982	1	1	myo-inositol transmembrane transporter activity	Slc2a13	0.0339079837076792
12	GO:0005366	0.00886190202674997	Inf	0.00886190202674982	1	1	myo-inositol:proton symporter activity	Slc2a13	0.0339079837076792
13	GO:0008609	0.00886190202674997	Inf	0.00886190202674982	1	1	alkylglycerone-phosphate synthase activity	Agps	0.0339079837076792
14	GO:0008747	0.00886190202674997	Inf	0.00886190202674982	1	1	N-acetylneuraminate lyase activity	Npl	0.0339079837076792
15	GO:0030343	0.00886190202674997	Inf	0.00886190202674982	1	1	vitamin D3 25-hydroxylase activity	Cyp27a1	0.0339079837076792
16	GO:0031073	0.00886190202674997	Inf	0.00886190202674982	1	1	cholesterol 26-hydroxylase activity	Cyp27a1	0.0339079837076792
17	GO:0031695	0.00886190202674997	Inf	0.00886190202674982	1	1	alpha-2B adrenergic receptor binding	Aplp1	0.0339079837076792
18	GO:0044736	0.00886190202674997	Inf	0.00886190202674982	1	1	acid-sensing ion channel activity	Asic1	0.0339079837076792
19	GO:0047315	0.00886190202674997	Inf	0.00886190202674982	1	1	kynurenine-glyoxylate transaminase activity	Kyat3	0.0339079837076792
20	GO:0047749	0.00886190202674997	Inf	0.00886190202674982	1	1	cholestanetriol 26-monooxygenase activity	Cyp27a1	0.0339079837076792
21	GO:0047804	0.00886190202674997	Inf	0.00886190202674982	1	1	cysteine-S-conjugate beta-lyase activity	Kyat3	0.0339079837076792
22	GO:0047805	0.00886190202674997	Inf	0.00886190202674982	1	1	cytidylate cyclase activity	Gucy1a1	0.0339079837076792
23	GO:0051990	0.00886190202674997	Inf	0.00886190202674982	1	1	(R)-2-hydroxyglutarate dehydrogenase activity	D2hgdh	0.0339079837076792
24	GO:0052869	0.00886190202674997	Inf	0.00886190202674982	1	1	arachidonic acid omega-hydroxylase activity	Cyp2u1	0.0339079837076792
25	GO:0070643	0.00886190202674997	Inf	0.00886190202674982	1	1	vitamin D 25-hydroxylase activity	Cyp27a1	0.0339079837076792
26	GO:1901618	0.00970235325491185	15.1748427672956	0.150652334454747	2	17	organic hydroxy compound transmembrane transporter activity	Slc2a13;Slco2b1	0.0339079837076792
27	GO:0016705	0.0107604760319237	4.95698924731183	0.859604496594732	4	97	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	Cyp27a1;Cyp2u1;Fmo1;Kdm1b	0.0339079837076792
28	GO:0030552	0.0108524862651866	14.2252358490566	0.159514236481497	2	18	cAMP binding	Pde2a;Pde4b	0.0339079837076792
29	GO:0050839	0.0113767088085368	3.39034837235865	1.87872322967096	6	212	cell adhesion molecule binding	Cd47;Cdh13;Cdh19;Itga5;Ppp1ca;Utrn	0.0339079837076792
30	GO:0016765	0.0115010661176158	6.87371428571429	0.46968080741774	3	53	transferase activity, transferring alkyl or aryl (other than methyl) groups	Agps;Hpgds;Srm	0.0339079837076792
31	GO:0004114	0.0120596664242841	13.3873473917869	0.168376138508246	2	19	3',5'-cyclic-nucleotide phosphodiesterase activity	Pde2a;Pde4b	0.0339079837076792
32	GO:0045296	0.0127174263058426	6.60824175824176	0.48740461147124	3	55	cadherin binding	Cdh13;Cdh19;Ppp1ca	0.0339079837076792
33	GO:0016709	0.0133228117165884	12.6425576519916	0.177238040534996	2	20	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen	Cyp27a1;Fmo1	0.0339079837076792
34	GO:0004722	0.0133521810317988	6.48301886792453	0.49626651349799	3	56	protein serine/threonine phosphatase activity	Ppm1b;Ppm1d;Ppp1ca	0.0339079837076792
35	GO:0019001	0.014297289975887	2.8993399339934	2.5610896857307	7	289	guanyl nucleotide binding	Atl2;Cplane2;Gucy1a1;Pde2a;Rab37;Rab42;Rac2	0.0339079837076792
36	GO:0032561	0.014297289975887	2.8993399339934	2.5610896857307	7	289	guanyl ribonucleotide binding	Atl2;Cplane2;Gucy1a1;Pde2a;Rab37;Rab42;Rac2	0.0339079837076792
37	GO:0004112	0.0146408545131505	11.9761668321748	0.186099942561746	2	21	cyclic-nucleotide phosphodiesterase activity	Pde2a;Pde4b	0.0339079837076792
38	GO:0003924	0.0151986044084255	3.17085561497326	2.00278985804546	6	226	GTPase activity	Atl2;Cplane2;Gnb4;Rab37;Rab42;Rac2	0.0339079837076792
39	GO:0042803	0.0170882520285951	2.30999640560725	4.61705095593665	10	521	protein homodimerization activity	Cdh13;Csf1r;Ece1;Hpgds;Ikzf3;Kyat3;Pde2a;Plek;Rnf8;Srm	0.0339079837076792
