GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0030165	1.43851460360836e-05	6.17744955273559	1.8326359832636	10	102	PDZ domain binding	Adgrb1;Adgrl2;Atp2b2;Cxadr;Dlg2;Dlg4;Dlgap3;Grik5;Kcnj4;Nlgn1	0.00231600851180946
2	GO:0098772	6.03058621619621e-05	1.83731348426893	42.0787595372877	66	2342	molecular function regulator	Agap2;Arhgap10;Arhgap20;Arhgef2;Arhgef3;C1qtnf4;Ccnd2;Cited4;Cx3cl1;Ddn;Dock3;Dpf1;Egr1;Egr2;Egr3;Egr4;Erf;Foxo3;Grm3;Hlf;Itpr1;Junb;Kctd1;Klf9;Med13l;Mrtfb;Mxi1;Ngef;Npas2;Nr1d1;Nr4a1;Nr4a2;Nr6a1;Nrip1;Pcbp3;Plcb1;Pml;Ppp1r1a;Ppp1r9b;Prkcb;Prkcz;Psd;Psme4;Rapgef4;Rasgef1a;Rasgef1b;Rasgrp1;Rgs4;Rin1;Rps6ka3;Sema3a;Sipa1l1;Skil;Smad3;Smarcd1;Spred1;Spry2;Stat6;Tdg;Tiam2;Vti1b;Zbtb17;Zbtb7a;Zfp239;Zfp46;Znfx1	0.00485462190403795
3	GO:0004674	0.000222875779566061	2.90508858007462	6.36032488309131	17	354	protein serine/threonine kinase activity	Akt2;Alpk1;Camk4;Fastk;Map2k6;Mapk1;Mapk4;Mark2;Plk2;Prkcb;Prkci;Prkcz;Rps6ka3;Speg;Srpk1;Stk32c;Stk38l	0.0092104152002885
4	GO:0038023	0.000286037739139394	2.5278511253615	9.03741078021167	21	503	signaling receptor activity	Abhd2;Ackr2;Adgrb1;Adgrl2;Cry2;Fcrls;Gabra4;Gabrd;Grik5;Grin1;Grm3;Hrh3;Mertk;Nlgn1;Nr1d1;Nr4a1;Nr4a2;Nr6a1;Oprd1;Plxna2;Plxnd1	0.0092104152002885
5	GO:0060089	0.000286037739139394	2.5278511253615	9.03741078021167	21	503	molecular transducer activity	Abhd2;Ackr2;Adgrb1;Adgrl2;Cry2;Fcrls;Gabra4;Gabrd;Grik5;Grin1;Grm3;Hrh3;Mertk;Nlgn1;Nr1d1;Nr4a1;Nr4a2;Nr6a1;Oprd1;Plxna2;Plxnd1	0.0092104152002885
6	GO:0035259	0.000391801269838444	13.9	0.359340388875215	4	20	glucocorticoid receptor binding	Nr4a1;Nr4a2;Nrip1;Smad3	0.0105133340739983
7	GO:0003707	0.000553808953318289	8.45157179269329	0.682746738862909	5	38	steroid hormone receptor activity	Abhd2;Nr1d1;Nr4a1;Nr4a2;Nr6a1	0.0121648303407799
8	GO:0004672	0.000604463619417634	2.49531890660592	8.22889490524243	19	458	protein kinase activity	Akt2;Alpk1;Camk4;Fastk;Map2k6;Mapk1;Mapk4;Mark2;Mertk;Plk2;Ppp1r9b;Prkcb;Prkci;Prkcz;Rps6ka3;Speg;Srpk1;Stk32c;Stk38l	0.0121648303407799
9	GO:0005088	0.00072120113969427	4.50047393364929	1.94043809992616	8	108	Ras guanyl-nucleotide exchange factor activity	Arhgef2;Arhgef3;Ngef;Rapgef4;Rasgef1a;Rasgef1b;Rasgrp1;Tiam2	0.0122605304420358
10	GO:0022836	0.000761523629940112	3.19983670136763	4.04257937484617	12	225	gated channel activity	Cacna1i;Cacnb1;Gabra4;Gabrd;Grik5;Grin1;Itpr1;Kcng1;Kcnj4;Kcnq3;Kcnq5;Kcns2	0.0122605304420358
11	GO:0022843	0.000864045200970342	4.36828785717572	1.99433915825745	8	111	voltage-gated cation channel activity	Cacna1i;Cacnb1;Grin1;Kcng1;Kcnj4;Kcnq3;Kcnq5;Kcns2	0.0126464797596568
12	GO:0001228	0.00116835020972097	2.65138408304498	6.07285257199114	15	338	DNA-binding transcription activator activity, RNA polymerase II-specific	Egr1;Egr2;Egr3;Egr4;Foxo3;Hlf;Junb;Klf9;Nr4a1;Nr4a2;Nr6a1;Smad3;Smarcd1;Stat6;Zbtb17	0.0132263067341221
13	GO:0046873	0.0011961557931989	2.75054667788057	5.46197391090327	14	304	metal ion transmembrane transporter activity	Atp2a2;Atp2b2;Cacna1i;Cacnb1;Grik5;Grin1;Itpr1;Kcng1;Kcnj4;Kcnq3;Kcnq5;Kcns2;Slc9b2;Trpc1	0.0132263067341221
14	GO:0001216	0.00127587460505139	2.62630819198845	6.12675363032242	15	341	DNA-binding transcription activator activity	Egr1;Egr2;Egr3;Egr4;Foxo3;Hlf;Junb;Klf9;Nr4a1;Nr4a2;Nr6a1;Smad3;Smarcd1;Stat6;Zbtb17	0.0132263067341221
15	GO:0005085	0.00129369164665699	3.40231740358563	3.1621954221019	10	176	guanyl-nucleotide exchange factor activity	Arhgef2;Arhgef3;Dock3;Ngef;Psd;Rapgef4;Rasgef1a;Rasgef1b;Rasgrp1;Tiam2	0.0132263067341221
16	GO:0019900	0.0015650756524739	2.07577497129736	12.46911149397	24	694	kinase binding	Add2;Agap2;Akt2;Ccnd2;Cry2;Dlg2;Dlg4;Foxo3;Kcnq3;Map2k6;Mapk1;Mapk4;Phyhip;Pja2;Ppp1r9b;Prkcb;Prkcz;Rab11fip2;Rps6ka3;Sipa1l1;Smad3;Spred1;Spry2;Tdg	0.0132263067341221
17	GO:0005200	0.00163370095939729	6.48065637904803	0.862416933300517	5	48	structural constituent of cytoskeleton	Actr2;Add2;Plec;Sptbn1;Tpm1	0.0132263067341221
18	GO:0098960	0.00179316026145294	6.33283772302464	0.880383952744278	5	49	postsynaptic neurotransmitter receptor activity	Gabra4;Gabrd;Grik5;Grin1;Hrh3	0.0132263067341221
19	GO:0015085	0.00179595103197606	4.35849056603774	1.74280088604479	7	97	calcium ion transmembrane transporter activity	Atp2a2;Atp2b2;Cacna1i;Cacnb1;Grin1;Itpr1;Trpc1	0.0132263067341221
