GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005267	0.00033083643083494	5.90134972793442	1.30783750512926	7	96	potassium channel activity	Grik3;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Tmem175	0.0231585501584458
2	GO:0015079	0.00125790613965244	4.63861523904937	1.63479688141157	7	120	potassium ion transmembrane transporter activity	Grik3;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Tmem175	0.0371983233827723
3	GO:0046873	0.00298167176659462	2.84016294175933	4.14148543290931	11	304	metal ion transmembrane transporter activity	Atp2b1;Cnr1;Grik3;Kcna1;Kcng3;Kcnh4;Kcnj8;Kcnk6;Nipa1;Slc25a37;Tmem175	0.0371983233827723
4	GO:0046976	0.00370393014931922	29.3024390243902	0.095363151415675	2	7	histone methyltransferase activity (H3-K27 specific)	Ezh1;Nsd3	0.0371983233827723
5	GO:0046975	0.00489449181773033	24.4166666666667	0.108986458760771	2	8	histone methyltransferase activity (H3-K36 specific)	Ash1l;Nsd3	0.0371983233827723
6	GO:0070878	0.00489449181773033	24.4166666666667	0.108986458760771	2	8	primary miRNA binding	Drosha;Srf	0.0371983233827723
7	GO:0022841	0.00772657513647237	18.3094512195122	0.136233073450964	2	10	potassium ion leak channel activity	Kcnk6;Tmem175	0.0371983233827723
8	GO:0022840	0.0111316744124557	14.6451219512195	0.163479688141157	2	12	leak channel activity	Kcnk6;Tmem175	0.0371983233827723
9	GO:0022842	0.0111316744124557	14.6451219512195	0.163479688141157	2	12	narrow pore channel activity	Kcnk6;Tmem175	0.0371983233827723
10	GO:0048185	0.0130388298340216	13.3126385809313	0.177102995486254	2	13	activin binding	Acvr1c;Fst	0.0371983233827723
11	GO:0004744	0.0136233073450964	Inf	0.0136233073450964	1	1	retinal isomerase activity	Rpe65	0.0371983233827723
12	GO:0004949	0.0136233073450964	Inf	0.0136233073450964	1	1	cannabinoid receptor activity	Cnr1	0.0371983233827723
13	GO:0008109	0.0136233073450964	Inf	0.0136233073450964	1	1	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity	Gcnt2	0.0371983233827723
14	GO:0010736	0.0136233073450964	Inf	0.0136233073450964	1	1	serum response element binding	Srf	0.0371983233827723
15	GO:0036219	0.0136233073450964	Inf	0.0136233073450964	1	1	GTP diphosphatase activity	Nudt1	0.0371983233827723
16	GO:0045029	0.0136233073450964	Inf	0.0136233073450964	1	1	G protein-coupled UDP receptor activity	P2ry6	0.0371983233827723
