GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0004842	6.68315496122769e-05	5.15003061849357	2.20842572062084	10	332	ubiquitin-protein transferase activity	Arih1;Cul1;Cul3;Med7;Rnf152;Rnf26;Siah3;Ube2a;Ube2j1;Ube2n	0.00247709751948121
2	GO:0140096	7.8312314221088e-05	2.80035953260761	10.6762749445676	24	1605	catalytic activity, acting on a protein	Arih1;Cul1;Cul3;Epha5;Fkbp3;Med7;Mindy2;Mtmr6;Pdik1l;Phlpp2;Pik3ca;Ppp6c;Ptpra;Rnf152;Rnf26;Siah3;Spast;Tpp2;Ube2a;Ube2j1;Ube2n;Uhmk1;Uspl1;Vcpip1	0.00247709751948121
3	GO:0019787	9.65102929668005e-05	4.91453170058929	2.30820399113082	10	347	ubiquitin-like protein transferase activity	Arih1;Cul1;Cul3;Med7;Rnf152;Rnf26;Siah3;Ube2a;Ube2j1;Ube2n	0.00247709751948121
4	GO:0031625	0.000397748380480755	4.98883034773446	1.78270509977827	8	268	ubiquitin protein ligase binding	Arih1;Cul1;Cul3;Ggn;Ppargc1a;Ube2a;Ube2j1;Ube2n	0.00765665632425454
5	GO:0044389	0.000570795054613617	4.71073474470735	1.88248337028825	8	283	ubiquitin-like protein ligase binding	Arih1;Cul1;Cul3;Ggn;Ppargc1a;Ube2a;Ube2j1;Ube2n	0.00879024384104971
6	GO:0061630	0.000919704499404663	4.94600547684248	1.55654101995565	7	234	ubiquitin protein ligase activity	Arih1;Cul1;Cul3;Med7;Rnf152;Rnf26;Siah3	0.0118028744090265
7	GO:0061659	0.00111873924460045	4.77441058079356	1.60975609756098	7	242	ubiquitin-like protein ligase activity	Arih1;Cul1;Cul3;Med7;Rnf152;Rnf26;Siah3	0.012306131690605
8	GO:0061631	0.00187193073642333	13.6447963800905	0.246119733924612	3	37	ubiquitin conjugating enzyme activity	Ube2a;Ube2j1;Ube2n	0.0180173333380746
9	GO:0061650	0.00234643175507693	12.535343035343	0.266075388026608	3	40	ubiquitin-like protein conjugating enzyme activity	Ube2a;Ube2j1;Ube2n	0.0200750272378804
10	GO:0008555	0.00665188470066513	Inf	0.00665188470066519	1	1	ATPase-coupled chloride transmembrane transporter activity	Pcyox1	0.0318936881731934
11	GO:0031870	0.00665188470066513	Inf	0.00665188470066519	1	1	thromboxane A2 receptor binding	Rpgrip1l	0.0318936881731934
12	GO:0043225	0.00665188470066513	Inf	0.00665188470066519	1	1	ATPase-coupled inorganic anion transmembrane transporter activity	Pcyox1	0.0318936881731934
13	GO:0047801	0.00665188470066513	Inf	0.00665188470066519	1	1	L-cysteine:2-oxoglutarate aminotransferase activity	Got1	0.0318936881731934
14	GO:0048244	0.00665188470066513	Inf	0.00665188470066519	1	1	phytanoyl-CoA dioxygenase activity	Phyh	0.0318936881731934
15	GO:0071795	0.00665188470066513	Inf	0.00665188470066519	1	1	K11-linked polyubiquitin modification-dependent protein binding	Mindy2	0.0318936881731934
16	GO:0035250	0.00694454556371306	17.98808637379	0.126385809312639	2	19	UDP-galactosyltransferase activity	B3galt1;B4galt6	0.0318936881731934
17	GO:0008378	0.011873536107272	13.2889378095762	0.16629711751663	2	25	galactosyltransferase activity	B3galt1;B4galt6	0.0318936881731934
18	GO:0001735	0.0132600645084219	151.1875	0.0133037694013304	1	2	prenylcysteine oxidase activity	Pcyox1	0.0318936881731934
19	GO:0003918	0.0132600645084219	151.1875	0.0133037694013304	1	2	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	Top2b	0.0318936881731934
20	GO:0004069	0.0132600645084219	151.1875	0.0133037694013304	1	2	L-aspartate:2-oxoglutarate aminotransferase activity	Got1	0.0318936881731934
21	GO:0004609	0.0132600645084219	151.1875	0.0133037694013304	1	2	phosphatidylserine decarboxylase activity	Got1	0.0318936881731934
22	GO:0005093	0.0132600645084219	151.1875	0.0133037694013304	1	2	Rab GDP-dissociation inhibitor activity	Gdi2	0.0318936881731934
23	GO:0008793	0.0132600645084219	151.1875	0.0133037694013304	1	2	aromatic-amino-acid:2-oxoglutarate aminotransferase activity	Got1	0.0318936881731934
24	GO:0016807	0.0132600645084219	151.1875	0.0133037694013304	1	2	cysteine-type carboxypeptidase activity	Mindy2	0.0318936881731934
25	GO:0031849	0.0132600645084219	151.1875	0.0133037694013304	1	2	olfactory receptor binding	Reep1	0.0318936881731934
26	GO:0031862	0.0132600645084219	151.1875	0.0133037694013304	1	2	prostanoid receptor binding	Rpgrip1l	0.0318936881731934
27	GO:0047275	0.0132600645084219	151.1875	0.0133037694013304	1	2	glucosaminylgalactosylglucosylceramide beta-galactosyltransferase activity	B3galt1	0.0318936881731934
28	GO:0070004	0.0132600645084219	151.1875	0.0133037694013304	1	2	cysteine-type exopeptidase activity	Mindy2	0.0318936881731934
29	GO:0070546	0.0132600645084219	151.1875	0.0133037694013304	1	2	L-phenylalanine aminotransferase activity	Got1	0.0318936881731934
30	GO:0071207	0.0132600645084219	151.1875	0.0133037694013304	1	2	histone pre-mRNA stem-loop binding	Slbp	0.0318936881731934
31	GO:0071796	0.0132600645084219	151.1875	0.0133037694013304	1	2	K6-linked polyubiquitin modification-dependent protein binding	Mindy2	0.0318936881731934
32	GO:0080130	0.0132600645084219	151.1875	0.0133037694013304	1	2	L-phenylalanine:2-oxoglutarate aminotransferase activity	Got1	0.0318936881731934
33	GO:0015631	0.0136687235027972	3.26837370242215	1.96230598669623	6	295	tubulin binding	Camsap2;Ppargc1a;Rab11fip5;Reep1;Spast;Vapa	0.0318936881731934
34	GO:0005524	0.0150282714086674	2.078395353549	7.44345898004435	14	1119	ATP binding	Clcn3;Ddx10;Dnaja2;Epha5;Magi3;Pdik1l;Pik3ca;Spast;Top2b;Ube2a;Ube2j1;Ube2n;Uhmk1;Vps4a	0.0340170211752218
35	GO:0004721	0.0154622823523736	4.43636363636364	0.957871396895787	4	144	phosphoprotein phosphatase activity	Mtmr6;Phlpp2;Ppp6c;Ptpra	0.0340170211752218
36	GO:0031624	0.0168519312130643	10.9113924050633	0.199556541019956	2	30	ubiquitin conjugating enzyme binding	Arih1;Siah3	0.0353001072583198
37	GO:0035639	0.0169623892020498	1.95612198452435	9.09977827050998	16	1368	purine ribonucleoside triphosphate binding	Clcn3;Ddx10;Dnaja2;Epha5;Magi3;Pdik1l;Pik3ca;Rragc;Sar1a;Spast;Top2b;Ube2a;Ube2j1;Ube2n;Uhmk1;Vps4a	0.0353001072583198
38	GO:0008240	0.0198248230114868	75.5875	0.0199556541019956	1	3	tripeptidyl-peptidase activity	Tpp2	0.0363455088543925
39	GO:0008489	0.0198248230114868	75.5875	0.0199556541019956	1	3	UDP-galactose:glucosylceramide beta-1,4-galactosyltransferase activity	B4galt6	0.0363455088543925
40	GO:0031208	0.0198248230114868	75.5875	0.0199556541019956	1	3	POZ domain binding	Cul3	0.0363455088543925
41	GO:0033149	0.0198248230114868	75.5875	0.0199556541019956	1	3	FFAT motif binding	Vapa	0.0363455088543925
42	GO:0070009	0.0198248230114868	75.5875	0.0199556541019956	1	3	serine-type aminopeptidase activity	Tpp2	0.0363455088543925
