GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0030594	0.00230621327687339	12.5697916666667	0.26406108875934	3	67	neurotransmitter receptor activity	Chrna7;Gria2;Htr6	0.0434596972159536
2	GO:0005231	0.00276207805001198	29.2584541062802	0.0788242055998029	2	20	excitatory extracellular ligand-gated ion channel activity	Chrna7;Gria2	0.0434596972159536
3	GO:0004489	0.00394121027999017	Inf	0.00394121027999015	1	1	methylenetetrahydrofolate reductase (NAD(P)H) activity	Mthfr	0.0434596972159536
4	GO:0005020	0.00394121027999017	Inf	0.00394121027999015	1	1	stem cell factor receptor activity	Kit	0.0434596972159536
5	GO:0035642	0.00394121027999017	Inf	0.00394121027999015	1	1	histone methyltransferase activity (H3-R17 specific)	Carm1	0.0434596972159536
6	GO:0022890	0.00434603273692062	4.31215571061329	1.55677806059611	6	395	inorganic cation transmembrane transporter activity	Cacna1c;Chrna7;Cnnm4;Gria2;Kcnq2;Slc39a3	0.0434596972159536
7	GO:0046873	0.00667325473952113	4.60138445982733	1.198127925117	5	304	metal ion transmembrane transporter activity	Cacna1c;Cnnm4;Gria2;Kcnq2;Slc39a3	0.0434596972159536
8	GO:0008324	0.00676143751815206	3.91569086651054	1.70654405123573	6	433	cation transmembrane transporter activity	Cacna1c;Chrna7;Cnnm4;Gria2;Kcnq2;Slc39a3	0.0434596972159536
9	GO:0016432	0.00786720977962552	258.085106382979	0.00788242055998029	1	2	tRNA-uridine aminocarboxypropyltransferase activity	Dtwd1	0.0434596972159536
10	GO:0032093	0.00786720977962552	258.085106382979	0.00788242055998029	1	2	SAM domain binding	Dgkh	0.0434596972159536
11	GO:0035575	0.00786720977962552	258.085106382979	0.00788242055998029	1	2	histone demethylase activity (H4-K20 specific)	Kdm7a	0.0434596972159536
12	GO:0098641	0.00786720977962552	258.085106382979	0.00788242055998029	1	2	cadherin binding involved in cell-cell adhesion	Cdh9	0.0434596972159536
13	GO:1990147	0.00786720977962552	258.085106382979	0.00788242055998029	1	2	talin binding	Coro2b	0.0434596972159536
14	GO:1904315	0.00927821347256463	15.0260869565217	0.145824780359635	2	37	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	Chrna7;Gria2	0.0434596972159536
15	GO:0022824	0.0107852444853063	13.8363844393593	0.157648411199606	2	40	transmitter-gated ion channel activity	Chrna7;Gria2	0.0434596972159536
16	GO:0022835	0.0107852444853063	13.8363844393593	0.157648411199606	2	40	transmitter-gated channel activity	Chrna7;Gria2	0.0434596972159536
17	GO:0099529	0.0107852444853063	13.8363844393593	0.157648411199606	2	40	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	Chrna7;Gria2	0.0434596972159536
18	GO:0022836	0.0116927434677554	4.89921842863019	0.886772312997783	4	225	gated channel activity	Cacna1c;Chrna7;Gria2;Kcnq2	0.0434596972159536
19	GO:0008195	0.0117780559593555	129.031914893617	0.0118236308399704	1	3	phosphatidate phosphatase activity	Plppr4	0.0434596972159536
