GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0022890	2.25597134070065e-08	1.96520016818997	63.4769255768606	106	398	inorganic cation transmembrane transporter activity	Abcc8;Asic2;Atp1a1;Atp1b1;Atp2b4;Atp6ap1;Atp6v0a1;Atp6v0b;Atp6v0c;Atp6v0d1;Atp6v0e2;Atp6v1a;Atp6v1c1;Atp6v1d;Atp6v1e1;Atp6v1f;Atp6v1g2;Atp6v1h;Cacna1a;Cacna1g;Cacna2d1;Cacnb3;Cacnb4;Cacng2;Cacng3;Cacng6;Cacng7;Calhm2;Calhm5;Chrna4;Chrna5;Clcn4;Cox4i2;Cox6a2;Cox8a;Fam155a;Gpm6a;Gria3;Grik4;Grin2a;Grin2b;Hcn1;Hrh1;Itgav;Kcnab3;Kcnb1;Kcnb2;Kcnc2;Kcnc4;Kcnf1;Kcng4;Kcnh1;Kcnh3;Kcnh7;Kcnip3;Kcnip4;Kcnj3;Kcnj6;Kcnj9;Kcnk1;Kcnk12;Kcnk3;Kcnk4;Kcnk9;Kcnma1;Kcnmb2;Kcnmb4;Kcnn1;Kcnq4;Kcns1;Kcns3;Kcnt2;Kcnv1;Lrrc38;Mmgt2;Pex5l;Ryr2;Scn1a;Scn1b;Scn8a;Slc12a6;Slc13a5;Slc17a7;Slc1a2;Slc20a1;Slc30a3;Slc30a4;Slc36a1;Slc39a10;Slc41a2;Slc45a1;Slc45a4;Slc4a10;Slc4a8;Slc6a17;Slc6a7;Slc8a2;Slc9a9;Snap25;Stim2;Tfrc;Tmem38a;Trpc6;Trpv2;Tusc3;Zdhhc13	2.59015804716963e-06
2	GO:0000149	2.35468913379057e-08	3.27238417693013	17.2248943776406	41	108	SNARE binding	Ankrd27;Cacna1a;Cav2;Cplx1;Cplx2;Cplx3;Kcnb1;Napa;Napb;Napg;Nsf;Ptpn2;Sec22b;Septin5;Septin8;Snap25;Snap47;Snap91;Snca;Snph;Sptan1;Stx1a;Stx1b;Stx7;Stx8;Stxbp1;Stxbp5;Syp;Sypl2;Syt1;Syt13;Syt17;Syt5;Syt7;Trim9;Unc13a;Unc13b;Uvrag;Vamp2;Vps50;Vps52	2.59015804716963e-06
3	GO:0015077	7.38195688131478e-08	2.2188264131767	39.8724406889828	73	250	monovalent inorganic cation transmembrane transporter activity	Abcc8;Asic2;Atp1a1;Atp1b1;Atp6ap1;Atp6v0a1;Atp6v0b;Atp6v0c;Atp6v0d1;Atp6v0e2;Atp6v1a;Atp6v1c1;Atp6v1d;Atp6v1e1;Atp6v1f;Atp6v1g2;Atp6v1h;Cacna1g;Clcn4;Cox4i2;Cox6a2;Cox8a;Grik4;Hcn1;Kcnab3;Kcnb1;Kcnb2;Kcnc2;Kcnc4;Kcnf1;Kcng4;Kcnh1;Kcnh3;Kcnh7;Kcnip3;Kcnip4;Kcnj3;Kcnj6;Kcnj9;Kcnk1;Kcnk12;Kcnk3;Kcnk4;Kcnk9;Kcnma1;Kcnmb2;Kcnmb4;Kcnn1;Kcnq4;Kcns1;Kcns3;Kcnt2;Kcnv1;Lrrc38;Scn1a;Scn1b;Scn8a;Slc12a6;Slc13a5;Slc17a7;Slc1a2;Slc20a1;Slc36a1;Slc45a1;Slc45a4;Slc4a10;Slc4a8;Slc6a17;Slc6a7;Slc8a2;Slc9a9;Snap25;Tmem38a	4.65411181545598e-06
4	GO:0008324	8.46202148264724e-08	1.86550305448198	69.6970263243419	112	437	cation transmembrane transporter activity	Abcc8;Abcg2;Asic2;Atp1a1;Atp1b1;Atp2b4;Atp6ap1;Atp6v0a1;Atp6v0b;Atp6v0c;Atp6v0d1;Atp6v0e2;Atp6v1a;Atp6v1c1;Atp6v1d;Atp6v1e1;Atp6v1f;Atp6v1g2;Atp6v1h;Cacna1a;Cacna1g;Cacna2d1;Cacnb3;Cacnb4;Cacng2;Cacng3;Cacng6;Cacng7;Calhm2;Calhm5;Chrna4;Chrna5;Clcn4;Cox4i2;Cox6a2;Cox8a;Fam155a;Gpm6a;Gria3;Grik4;Grin2a;Grin2b;Hcn1;Hrh1;Itgav;Kcnab3;Kcnb1;Kcnb2;Kcnc2;Kcnc4;Kcnf1;Kcng4;Kcnh1;Kcnh3;Kcnh7;Kcnip3;Kcnip4;Kcnj3;Kcnj6;Kcnj9;Kcnk1;Kcnk12;Kcnk3;Kcnk4;Kcnk9;Kcnma1;Kcnmb2;Kcnmb4;Kcnn1;Kcnq4;Kcns1;Kcns3;Kcnt2;Kcnv1;Lrrc38;Mmgt2;Pex5l;Ryr2;Scn1a;Scn1b;Scn8a;Slc12a6;Slc13a5;Slc17a7;Slc1a2;Slc20a1;Slc25a42;Slc30a3;Slc30a4;Slc36a1;Slc38a7;Slc39a10;Slc3a2;Slc41a2;Slc45a1;Slc45a4;Slc47a1;Slc4a10;Slc4a8;Slc6a17;Slc6a7;Slc7a8;Slc8a2;Slc9a9;Snap25;Stim2;Tfrc;Tmem38a;Trpc6;Trpv2;Tusc3;Zdhhc13	4.65411181545598e-06
5	GO:0005267	7.64769271606882e-07	3.06050608802122	15.3110172245694	35	96	potassium channel activity	Abcc8;Grik4;Hcn1;Kcnab3;Kcnb1;Kcnb2;Kcnc2;Kcnc4;Kcnf1;Kcng4;Kcnh1;Kcnh3;Kcnh7;Kcnip3;Kcnip4;Kcnj3;Kcnj6;Kcnj9;Kcnk1;Kcnk12;Kcnk3;Kcnk4;Kcnk9;Kcnma1;Kcnmb2;Kcnmb4;Kcnn1;Kcnq4;Kcns1;Kcns3;Kcnt2;Kcnv1;Lrrc38;Snap25;Tmem38a	3.32757711138839e-05
6	GO:0044769	1.06511560595379e-06	9.84571428571429	3.18979525511862	13	20	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	Atp6ap1;Atp6v0a1;Atp6v0b;Atp6v0c;Atp6v0d1;Atp6v0e2;Atp6v1a;Atp6v1c1;Atp6v1d;Atp6v1e1;Atp6v1f;Atp6v1g2;Atp6v1h	3.32757711138839e-05
7	GO:0046961	1.06511560595379e-06	9.84571428571429	3.18979525511862	13	20	proton-transporting ATPase activity, rotational mechanism	Atp6ap1;Atp6v0a1;Atp6v0b;Atp6v0c;Atp6v0d1;Atp6v0e2;Atp6v1a;Atp6v1c1;Atp6v1d;Atp6v1e1;Atp6v1f;Atp6v1g2;Atp6v1h	3.32757711138839e-05
8	GO:0019905	1.21002804050487e-06	3.43214983339078	11.8022424439389	29	74	syntaxin binding	Cacna1a;Cav2;Cplx1;Cplx2;Cplx3;Napa;Napb;Napg;Nsf;Ptpn2;Sec22b;Septin5;Snap25;Snap47;Snph;Sptan1;Stx7;Stx8;Stxbp1;Stxbp5;Syp;Sypl2;Syt1;Syt17;Syt5;Unc13a;Unc13b;Vamp2;Vps52	3.32757711138839e-05
9	GO:0016247	2.05761570243957e-06	2.7398946998947	17.8628534286643	38	112	channel regulator activity	Amigo1;Atp2b4;Cacnb3;Cacng2;Cacng3;Cacng6;Cacng7;Cnih3;Dpp10;Ensa;Fgf12;Fkbp1b;Fxyd5;Fxyd7;Gpd1l;Grm2;Hpcal4;Kcnab3;Kcnip3;Kcnip4;Kcnmb2;Kcnmb4;Kcns1;Lrrc38;Lynx1;Nrxn1;Nrxn2;Pacsin3;Ptpn3;Scn1b;Stim2;Stoml1;Stx1a;Stx7;Stx8;Tspan13;Wnk2;Ywhah	4.63406685479748e-05
10	GO:0015318	2.10639402490795e-06	1.659295306958	86.2839616509587	127	541	inorganic molecular entity transmembrane transporter activity	Abcc8;Abcg2;Ank;Asic2;Atp1a1;Atp1b1;Atp2b4;Atp6ap1;Atp6v0a1;Atp6v0b;Atp6v0c;Atp6v0d1;Atp6v0e2;Atp6v1a;Atp6v1c1;Atp6v1d;Atp6v1e1;Atp6v1f;Atp6v1g2;Atp6v1h;Cacna1a;Cacna1g;Cacna2d1;Cacnb3;Cacnb4;Cacng2;Cacng3;Cacng6;Cacng7;Calhm2;Calhm5;Chrna4;Chrna5;Clcn2;Clcn4;Cox4i2;Cox6a2;Cox8a;Fam155a;Gabra1;Gabra3;Gabrb2;Glrb;Gpm6a;Gria3;Grik4;Grin2a;Grin2b;Hcn1;Hrh1;Itgav;Kcnab3;Kcnb1;Kcnb2;Kcnc2;Kcnc4;Kcnf1;Kcng4;Kcnh1;Kcnh3;Kcnh7;Kcnip3;Kcnip4;Kcnj3;Kcnj6;Kcnj9;Kcnk1;Kcnk12;Kcnk3;Kcnk4;Kcnk9;Kcnma1;Kcnmb2;Kcnmb4;Kcnn1;Kcnq4;Kcns1;Kcns3;Kcnt2;Kcnv1;Lrrc38;Lrrc8b;Mmgt2;Pex5l;Rbp4;Ryr2;Scn1a;Scn1b;Scn8a;Slc12a6;Slc13a5;Slc16a14;Slc16a7;Slc17a5;Slc17a7;Slc1a2;Slc20a1;Slc25a22;Slc25a32;Slc25a44;Slc26a8;Slc30a3;Slc30a4;Slc36a1;Slc37a4;Slc38a7;Slc39a10;Slc3a2;Slc41a2;Slc45a1;Slc45a4;Slc47a1;Slc4a10;Slc4a8;Slc6a17;Slc6a7;Slc7a8;Slc8a2;Slc9a9;Snap25;Stim2;Tfrc;Tmem38a;Trpc6;Trpv2;Tusc3;Zdhhc13	4.63406685479748e-05
