GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005086	0.00168541093298587	15.2844387755102	0.244792520911924	3	15	ARF guanyl-nucleotide exchange factor activity	Arfgef1;Arfgef3;Iqsec1	0.0342709529276694
2	GO:0004675	0.00204956789009632	14.107535321821	0.261112022306052	3	16	transmembrane receptor protein serine/threonine kinase activity	Acvr1b;Bmpr2;Hjv	0.0342709529276694
3	GO:0098821	0.00380693229529025	30.4340101522843	0.0979170083647696	2	6	BMP receptor activity	Bmpr2;Hjv	0.0342709529276694
4	GO:0120170	0.00380693229529025	30.4340101522843	0.0979170083647696	2	6	intraciliary transport particle B binding	Kif3b;Kifap3	0.0342709529276694
5	GO:0019902	0.00487356903187834	2.99104981705601	3.19862227324914	9	196	phosphatase binding	Fbxl2;Hmgcr;Jak1;Kifap3;Magi2;Ptprt;Sh3yl1;Smg7;Syk	0.0342709529276694
6	GO:0019894	0.00561089249388141	6.13076923076923	0.718058061341643	4	44	kinesin binding	Kcna2;Kifap3;Magi2;Stau2	0.0342709529276694
7	GO:0051393	0.0059602997808915	9.16454081632653	0.37534853206495	3	23	alpha-actinin binding	Magi1;Mypn;Ptprt	0.0342709529276694
8	GO:0045159	0.00695488937369059	20.2859560067682	0.130556011153026	2	8	myosin II binding	Shroom1;Stxbp5l	0.0342709529276694
9	GO:0008092	0.00813134661756879	1.85041343959292	12.6802525832377	22	777	cytoskeletal protein binding	Arc;Arfgef1;Arl8b;Fmn2;Kcna2;Kcnj11;Kif3b;Kifap3;Magi1;Magi2;Myo5a;Mypn;Ppp1r42;Ptpn4;Ptprt;Rflnb;Shroom1;Spag5;Stau2;Stxbp5l;Tmod2;Vill	0.0342709529276694
10	GO:0005509	0.00831743348007489	2.18235847788087	6.78891257995736	14	416	calcium ion binding	C1ra;Cadps;Cdh6;Celsr2;Chp2;Efcab5;Epdr1;Myo5a;Ninl;Pclo;Pitpnm3;Pla2g4e;Reps2;Trpm4	0.0342709529276694
11	GO:0005244	0.0100111864951465	3.10971223021583	2.38264720354273	7	146	voltage-gated ion channel activity	Clic5;Kcna2;Kcnh5;Kcnj11;Kcnj12;Scn2a;Trpm4	0.0342709529276694
12	GO:0022832	0.0100111864951465	3.10971223021583	2.38264720354273	7	146	voltage-gated channel activity	Clic5;Kcna2;Kcnh5;Kcnj11;Kcnj12;Scn2a;Trpm4	0.0342709529276694
13	GO:0019838	0.0100375273527357	3.48685110959038	1.82778415614237	6	112	growth factor binding	Acvr1b;Bmpr2;Ccn4;Col5a1;Dusp1;Kazald1	0.0342709529276694
14	GO:0036122	0.0109400148419716	15.2119289340102	0.163195013941283	2	10	BMP binding	Bmpr2;Hjv	0.0342709529276694
15	GO:0022836	0.0118973883052895	2.57099199611933	3.68820731507299	9	226	gated channel activity	Clic5;Gabrg2;Kcna2;Kcnh5;Kcnj11;Kcnj12;Scn2a;Tmem63c;Trpm4	0.0342709529276694
16	GO:0042805	0.0149969670956529	6.31562280084448	0.522224044612104	3	32	actinin binding	Magi1;Mypn;Ptprt	0.0342709529276694
17	GO:0004420	0.0163195013941283	Inf	0.0163195013941283	1	1	hydroxymethylglutaryl-CoA reductase (NADPH) activity	Hmgcr	0.0342709529276694
18	GO:0004820	0.0163195013941283	Inf	0.0163195013941283	1	1	glycine-tRNA ligase activity	Gars	0.0342709529276694
19	GO:0005148	0.0163195013941283	Inf	0.0163195013941283	1	1	prolactin receptor binding	Hsd17b7	0.0342709529276694
20	GO:0008520	0.0163195013941283	Inf	0.0163195013941283	1	1	L-ascorbate:sodium symporter activity	Slc23a2	0.0342709529276694
21	GO:0015229	0.0163195013941283	Inf	0.0163195013941283	1	1	L-ascorbic acid transmembrane transporter activity	Slc23a2	0.0342709529276694
22	GO:0016170	0.0163195013941283	Inf	0.0163195013941283	1	1	interleukin-15 receptor binding	Syk	0.0342709529276694
23	GO:0017083	0.0163195013941283	Inf	0.0163195013941283	1	1	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase activity	Fut9	0.0342709529276694
24	GO:0019778	0.0163195013941283	Inf	0.0163195013941283	1	1	Atg12 activating enzyme activity	Atg7	0.0342709529276694
25	GO:0019779	0.0163195013941283	Inf	0.0163195013941283	1	1	Atg8 activating enzyme activity	Atg7	0.0342709529276694
26	GO:0031700	0.0163195013941283	Inf	0.0163195013941283	1	1	adrenomedullin receptor binding	Adm	0.0342709529276694
27	GO:0042282	0.0163195013941283	Inf	0.0163195013941283	1	1	hydroxymethylglutaryl-CoA reductase activity	Hmgcr	0.0342709529276694
28	GO:0047017	0.0163195013941283	Inf	0.0163195013941283	1	1	prostaglandin-F synthase activity	Prxl2b	0.0342709529276694
29	GO:0047024	0.0163195013941283	Inf	0.0163195013941283	1	1	5alpha-androstane-3beta,17beta-diol dehydrogenase activity	Hsd17b7	0.0342709529276694
30	GO:0070890	0.0163195013941283	Inf	0.0163195013941283	1	1	sodium-dependent L-ascorbate transmembrane transporter activity	Slc23a2	0.0342709529276694
31	GO:0005216	0.0181940180273693	2.26335302977639	4.63473839593243	10	284	ion channel activity	Clic5;Gabrg2;Kcna2;Kcnh5;Kcnj11;Kcnj12;Scn2a;Slc24a2;Tmem63c;Trpm4	0.0369749398620731
32	GO:0005249	0.0249151315675198	3.82403846153846	1.10972609480072	4	68	voltage-gated potassium channel activity	Kcna2;Kcnh5;Kcnj11;Kcnj12	0.0478702575849401
33	GO:0015267	0.025962360966963	2.12803869161257	4.91216991963261	10	301	channel activity	Clic5;Gabrg2;Kcna2;Kcnh5;Kcnj11;Kcnj12;Scn2a;Slc24a2;Tmem63c;Trpm4	0.0478702575849401
34	GO:0022803	0.025962360966963	2.12803869161257	4.91216991963261	10	301	passive transmembrane transporter activity	Clic5;Gabrg2;Kcna2;Kcnh5;Kcnj11;Kcnj12;Scn2a;Slc24a2;Tmem63c;Trpm4	0.0478702575849401
35	GO:0005227	0.03068303894586	8.1082910321489	0.27743152370018	2	17	calcium activated cation channel activity	Tmem63c;Trpm4	0.0478702575849401
36	GO:0005242	0.03068303894586	8.1082910321489	0.27743152370018	2	17	inward rectifier potassium channel activity	Kcnj11;Kcnj12	0.0478702575849401
37	GO:0004081	0.0323739932519618	60.5757575757576	0.0326390027882565	1	2	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	Gars	0.0478702575849401
38	GO:0004666	0.0323739932519618	60.5757575757576	0.0326390027882565	1	2	prostaglandin-endoperoxide synthase activity	Ptgs1	0.0478702575849401
39	GO:0008113	0.0323739932519618	60.5757575757576	0.0326390027882565	1	2	peptide-methionine (S)-S-oxide reductase activity	Txn2	0.0478702575849401
40	GO:0008796	0.0323739932519618	60.5757575757576	0.0326390027882565	1	2	bis(5'-nucleosyl)-tetraphosphatase activity	Gars	0.0478702575849401
41	GO:0015272	0.0323739932519618	60.5757575757576	0.0326390027882565	1	2	ATP-activated inward rectifier potassium channel activity	Kcnj11	0.0478702575849401
42	GO:0030144	0.0323739932519618	60.5757575757576	0.0326390027882565	1	2	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase activity	Mgat5	0.0478702575849401
43	GO:0046332	0.0326733504151179	3.49450549450549	1.20764310316549	4	74	SMAD binding	Acvr1b;Magi2;Smad1;Zfyve9	0.0478702575849401
44	GO:0004888	0.0360248921610479	1.87470197605032	6.67467607019846	12	409	transmembrane signaling receptor activity	Acvr1b;Adgrd1;Bmpr2;Celsr2;Gabrg2;Gpr3;Hjv;Hrh2;Npsr1;Olfr464;Ptprt;Tmem63c	0.0480896226545079
45	GO:0038023	0.0366887668588722	1.77683397683398	8.22502870264064	14	504	signaling receptor activity	Acvr1b;Adgrd1;Bmpr2;Celsr2;Gabrg2;Gpr3;Hjv;Hrh2;Npsr1;Olfr464;Pgr;Ptprt;Rora;Tmem63c	0.0480896226545079
46	GO:0060089	0.0366887668588722	1.77683397683398	8.22502870264064	14	504	molecular transducer activity	Acvr1b;Adgrd1;Bmpr2;Celsr2;Gabrg2;Gpr3;Hjv;Hrh2;Npsr1;Olfr464;Pgr;Ptprt;Rora;Tmem63c	0.0480896226545079
47	GO:0001222	0.0377695954190557	7.15318005374739	0.310070526488437	2	19	transcription corepressor binding	Pclo;Rora	0.0480896226545079
48	GO:0005520	0.0377695954190557	7.15318005374739	0.310070526488437	2	19	insulin-like growth factor binding	Ccn4;Kazald1	0.0480896226545079
49	GO:0031420	0.0377695954190557	7.15318005374739	0.310070526488437	2	19	alkali metal ion binding	Kcnj11;Scn2a	0.0480896226545079
50	GO:0005261	0.0381663671861174	2.18116109901311	3.81876332622601	8	234	cation channel activity	Kcna2;Kcnh5;Kcnj11;Kcnj12;Scn2a;Slc24a2;Tmem63c;Trpm4	0.0480896226545079
51	GO:0019903	0.0404753387523723	2.48851701442375	2.51320321469575	6	154	protein phosphatase binding	Fbxl2;Hmgcr;Jak1;Kifap3;Ptprt;Smg7	0.0481677576337582
52	GO:0015079	0.0466575738479815	2.66248319139399	1.95834016729539	5	120	potassium ion transmembrane transporter activity	Kcna2;Kcnh5;Kcnj11;Kcnj12;Slc24a2	0.0481677576337582
53	GO:0004725	0.0466853753568432	3.09406037000974	1.35451861571265	4	83	protein tyrosine phosphatase activity	Dusp1;Ptpn21;Ptpn4;Ptprt	0.0481677576337582
54	GO:0004359	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	glutaminase activity	Gls2	0.0481677576337582
55	GO:0004969	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	histamine receptor activity	Hrh2	0.0481677576337582
56	GO:0005000	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	vasopressin receptor activity	Npsr1	0.0481677576337582
57	GO:0008273	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	calcium, potassium:sodium antiporter activity	Slc24a2	0.0481677576337582
58	GO:0016309	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	1-phosphatidylinositol-5-phosphate 4-kinase activity	Pip4k2b	0.0481677576337582
59	GO:0018479	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	benzaldehyde dehydrogenase (NAD+) activity	Aldh3a1	0.0481677576337582
60	GO:0019115	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	benzaldehyde dehydrogenase [NAD(P)+] activity	Aldh3a1	0.0481677576337582
61	GO:0032896	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	palmitoyl-CoA 9-desaturase activity	Scd3	0.0481677576337582
62	GO:0046920	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	alpha-(1->3)-fucosyltransferase activity	Fut9	0.0481677576337582
63	GO:1990760	0.0481677576337582	30.2853535353535	0.0489585041823848	1	3	osmolarity-sensing cation channel activity	Tmem63c	0.0481677576337582
