GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0016231	0.000763350695798722	Inf	0.0553372626064178	2	2	beta-N-acetylglucosaminidase activity	Hexb;Oga	0.0353901098064306
2	GO:0032559	0.00338630394308171	1.58985221674877	32.316961362148	48	1168	adenyl ribonucleotide binding	Abca8a;Abca8b;Atp7a;Atp8b2;Chd9;Chst15;Cul9;Dcaf1;Ddx42;Dync1li2;Entpd1;Ep400;Ercc6;Flad1;Glyctk;Gne;Gsk3b;H1f4;Hcn2;Helz;Hnrnpu;Kif17;Mak;Mlh1;Mmab;Morc2b;Mtor;Myo1b;Myo9a;Nek9;Nubpl;Oplah;Pars2;Pdk3;Pdk4;Pdpk1;Rbks;Sgk1;Sik2;Smg1;Snrnp200;Stard9;Swap70;Taok1;Tep1;Tgfbr1;Tpk1;Vrk3	0.0353901098064306
3	GO:0030554	0.00412705761246137	1.57124405994882	32.6489849377865	48	1180	adenyl nucleotide binding	Abca8a;Abca8b;Atp7a;Atp8b2;Chd9;Chst15;Cul9;Dcaf1;Ddx42;Dync1li2;Entpd1;Ep400;Ercc6;Flad1;Glyctk;Gne;Gsk3b;H1f4;Hcn2;Helz;Hnrnpu;Kif17;Mak;Mlh1;Mmab;Morc2b;Mtor;Myo1b;Myo9a;Nek9;Nubpl;Oplah;Pars2;Pdk3;Pdk4;Pdpk1;Rbks;Sgk1;Sik2;Smg1;Snrnp200;Stard9;Swap70;Taok1;Tep1;Tgfbr1;Tpk1;Vrk3	0.0353901098064306
4	GO:0070063	0.00434880134162296	4.27518072289157	1.5494433529797	6	56	RNA polymerase binding	Ccnt1;Ercc5;Ercc6;Hnrnpu;Scaf8;Uvssa	0.0353901098064306
5	GO:0005524	0.00438409356958408	1.57987687767899	31.0718729535036	46	1123	ATP binding	Abca8a;Abca8b;Atp7a;Atp8b2;Chd9;Cul9;Dcaf1;Ddx42;Dync1li2;Entpd1;Ep400;Ercc6;Flad1;Glyctk;Gne;Gsk3b;H1f4;Helz;Hnrnpu;Kif17;Mak;Mlh1;Mmab;Morc2b;Mtor;Myo1b;Myo9a;Nek9;Nubpl;Oplah;Pars2;Pdk3;Pdk4;Pdpk1;Rbks;Sgk1;Sik2;Smg1;Snrnp200;Stard9;Swap70;Taok1;Tep1;Tgfbr1;Tpk1;Vrk3	0.0353901098064306
6	GO:0004740	0.00441383754516874	35.3452380952381	0.110674525212836	2	4	pyruvate dehydrogenase (acetyl-transferring) kinase activity	Pdk3;Pdk4	0.0353901098064306
7	GO:0004553	0.00611662649256988	3.95716198125837	1.66011787819253	6	60	hydrolase activity, hydrolyzing O-glycosyl compounds	Acer2;Ctbs;Gne;Hexb;Man2b2;Oga	0.0353901098064306
8	GO:0004563	0.00722209742245375	23.5615079365079	0.138343156516045	2	5	beta-N-acetylhexosaminidase activity	Hexb;Oga	0.0353901098064306
9	GO:0070034	0.00745938338038614	8.85522388059701	0.415029469548134	3	15	telomerase RNA binding	Hnrnpc;Hnrnpu;Tep1	0.0353901098064306
10	GO:0031419	0.0106358315599896	17.6696428571429	0.166011787819253	2	6	cobalamin binding	Mmab;Mtr	0.0353901098064306
11	GO:0035014	0.0107018464857712	7.58891257995736	0.470366732154551	3	17	phosphatidylinositol 3-kinase regulator activity	Cish;Socs5;Wdr81	0.0353901098064306
12	GO:0031490	0.0111342017293332	3.44422852701127	1.88146692861821	6	68	chromatin DNA binding	Ctcf;Ep300;H1f2;H1f4;Hnrnpu;Kdm4d	0.0353901098064306
13	GO:0000993	0.0153354759178206	4.57678192003091	0.968402095612312	4	35	RNA polymerase II complex binding	Ercc5;Hnrnpu;Scaf8;Uvssa	0.0353901098064306
14	GO:0046332	0.0164353074526115	3.13873139617293	2.04747871643746	6	74	SMAD binding	Bmp2;Ep300;Pura;Smurf1;Tgfbr1;Usp9x	0.0353901098064306
15	GO:0016887	0.0169566619251473	1.88542918236432	8.88163064833006	16	321	ATPase activity	Abca8a;Abca8b;Btaf1;Chd9;Ddx42;Entpd1;Ep400;Ercc6;Helz;Kif17;Mlh1;Morc2b;Myo1b;Rnf213;Snrnp200;Stard9	0.0353901098064306
16	GO:0050664	0.0191393865966219	11.7777777777778	0.221349050425671	2	8	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor	Fmo5;Ncf1	0.0353901098064306
17	GO:0099122	0.0191393865966219	11.7777777777778	0.221349050425671	2	8	RNA polymerase II C-terminal domain binding	Hnrnpu;Scaf8	0.0353901098064306
18	GO:0032266	0.0202719236259265	4.17189151109546	1.05140798952194	4	38	phosphatidylinositol-3-phosphate binding	Atg2b;Ncf1;Snx19;Snx3	0.0353901098064306
19	GO:0003677	0.0237005061523413	1.36578347419929	44.0761296660118	57	1593	DNA binding	Aplp2;Arid4a;BC024063;Btaf1;Ccnt1;Chd9;Csrnp3;Ctcf;Cux1;Dbp;Ddb2;Ep300;Ep400;Ercc5;Ercc6;Gm14399;Gm14412;Gm4924;Gm5141;H1f2;H1f4;H2ac6;Hif3a;Hmg20a;Hnrnpu;Huwe1;Ikzf1;Kdm4d;Klf15;Kmt2a;Lcor;Mlh1;Mtor;Nr1d2;Per3;Prdm9;Pura;Smg1;Snai3;Spen;Ssbp2;Swap70;Upf2;Zbtb43;Zfp141;Zfp142;Zfp169;Zfp458;Zfp574;Zfp592;Zfp619;Zfp626;Zfp654;Zfp84;Zfp871;Zfp948;Zfp975	0.0353901098064306
20	GO:0043168	0.0239173047245832	1.32569756068423	57.7167648984938	72	2086	anion binding	Abca8a;Abca8b;Acap2;Aplp2;Atg2b;Atp7a;Atp8b2;Bin2;Chd9;Chst15;Cul9;Dcaf1;Ddx42;Dync1li2;Entpd1;Ep400;Ercc6;Etnppl;F3;Fasn;Flad1;Fmo5;Glyctk;Gne;Gpt2;Grem2;Grm7;Gsk3b;H1f4;Hcn2;Helz;Hip1r;Hnrnpu;Hs1bp3;Kif17;L1cam;Lrrtm4;Mak;Mical3;Mlh1;Mmab;Morc2b;Mtor;Mtr;Myo1b;Myo9a;Ncf1;Nek9;Nin;Nubpl;Oplah;Pars2;Pcsk6;Pdk3;Pdk4;Pdpk1;Rbks;Sgk1;Sik2;Sirt5;Smg1;Snrnp200;Snx19;Snx3;Stard9;Swap70;Taok1;Tep1;Tgfbr1;Tpk1;Trpm2;Vrk3	0.0353901098064306
