GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0019798	0.000903237765782293	64.2606382978723	0.0472867580658402	2	6	procollagen-proline dioxygenase activity	P3h2;P4ha2	0.0413643712291122
2	GO:0004715	0.00181705530790436	13.8905529953917	0.244314916673508	3	31	non-membrane spanning protein tyrosine kinase activity	Matk;Ripk2;Tyk2	0.0413643712291122
3	GO:0031543	0.00265454861279199	32.1196808510638	0.0788112634430671	2	10	peptidyl-proline dioxygenase activity	P3h2;P4ha2	0.0413643712291122
4	GO:0019842	0.00552051007030842	6.06622851365015	0.709301370987604	4	90	vitamin binding	Gpt;Mthfsl;P3h2;P4ha2	0.0413643712291122
5	GO:0031418	0.00686436372423664	18.3449848024316	0.126098021508907	2	16	L-ascorbic acid binding	P3h2;P4ha2	0.0413643712291122
6	GO:0005309	0.0078811263443066	Inf	0.00788112634430671	1	1	creatine:sodium symporter activity	Slc6a8	0.0413643712291122
7	GO:0008479	0.0078811263443066	Inf	0.00788112634430671	1	1	queuine tRNA-ribosyltransferase activity	Qtrt1	0.0413643712291122
8	GO:0019797	0.0078811263443066	Inf	0.00788112634430671	1	1	procollagen-proline 3-dioxygenase activity	P3h2	0.0413643712291122
9	GO:0019806	0.0078811263443066	Inf	0.00788112634430671	1	1	bromide peroxidase activity	Pxdn	0.0413643712291122
10	GO:0033229	0.0078811263443066	Inf	0.00788112634430671	1	1	cysteine transmembrane transporter activity	Slc1a1	0.0413643712291122
11	GO:0090560	0.0078811263443066	Inf	0.00788112634430671	1	1	2-(3-amino-3-carboxypropyl)histidine synthase activity	Dph2	0.0413643712291122
12	GO:0097372	0.0078811263443066	Inf	0.00788112634430671	1	1	NAD-dependent histone deacetylase activity (H3-K18 specific)	Sirt7	0.0413643712291122
13	GO:0140010	0.0078811263443066	Inf	0.00788112634430671	1	1	D-aspartate transmembrane transporter activity	Slc1a1	0.0413643712291122
14	GO:1990275	0.0078811263443066	Inf	0.00788112634430671	1	1	preribosome binding	Nvl	0.0413643712291122
15	GO:0005343	0.00963282422663692	15.1038798498123	0.149741400541827	2	19	organic acid:sodium symporter activity	Slc1a1;Slc6a8	0.0413643712291122
16	GO:0003725	0.0151748502022454	6.15565796210957	0.520154338724243	3	66	double-stranded RNA binding	Sidt2;Tarbp2;Zfp346	0.0413643712291122
17	GO:0004021	0.0157007824913468	127.2	0.0157622526886134	1	2	L-alanine:2-oxoglutarate aminotransferase activity	Gpt	0.0413643712291122
18	GO:0004348	0.0157007824913468	127.2	0.0157622526886134	1	2	glucosylceramidase activity	Gba2	0.0413643712291122
19	GO:0004830	0.0157007824913468	127.2	0.0157622526886134	1	2	tryptophan-tRNA ligase activity	Wars2	0.0413643712291122
20	GO:0008384	0.0157007824913468	127.2	0.0157622526886134	1	2	IkappaB kinase activity	Ikbkb	0.0413643712291122
21	GO:0030156	0.0157007824913468	127.2	0.0157622526886134	1	2	benzodiazepine receptor binding	Tspoap1	0.0413643712291122
22	GO:0030272	0.0157007824913468	127.2	0.0157622526886134	1	2	5-formyltetrahydrofolate cyclo-ligase activity	Mthfsl	0.0413643712291122
23	GO:0031544	0.0157007824913468	127.2	0.0157622526886134	1	2	peptidyl-proline 3-dioxygenase activity	P3h2	0.0413643712291122
24	GO:0036055	0.0157007824913468	127.2	0.0157622526886134	1	2	protein-succinyllysine desuccinylase activity	Sirt7	0.0413643712291122
25	GO:0042943	0.0157007824913468	127.2	0.0157622526886134	1	2	D-amino acid transmembrane transporter activity	Slc1a1	0.0413643712291122
26	GO:0047635	0.0157007824913468	127.2	0.0157622526886134	1	2	alanine-oxo-acid transaminase activity	Gpt	0.0413643712291122
27	GO:0050295	0.0157007824913468	127.2	0.0157622526886134	1	2	steryl-beta-glucosidase activity	Gba2	0.0413643712291122
28	GO:0061697	0.0157007824913468	127.2	0.0157622526886134	1	2	protein-glutaryllysine deglutarylase activity	Sirt7	0.0413643712291122
29	GO:0071723	0.0157007824913468	127.2	0.0157622526886134	1	2	lipopeptide binding	Cd14	0.0413643712291122
30	GO:0001968	0.0163904959404665	11.1581868640148	0.197028158607668	2	25	fibronectin binding	Tnc;Vegfa	0.0413643712291122
31	GO:0061980	0.0217353264577288	9.50197005516154	0.228552663984895	2	29	regulatory RNA binding	Tarbp2;Zfp346	0.0413643712291122
32	GO:0000099	0.0234594428806093	63.5947368421053	0.0236433790329201	1	3	sulfur amino acid transmembrane transporter activity	Slc1a1	0.0413643712291122
33	GO:0000995	0.0234594428806093	63.5947368421053	0.0236433790329201	1	3	RNA polymerase III general transcription initiation factor activity	Snapc4	0.0413643712291122
34	GO:0004416	0.0234594428806093	63.5947368421053	0.0236433790329201	1	3	hydroxyacylglutathione hydrolase activity	Haghl	0.0413643712291122
