GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:1901682	8.81367401398053e-05	13.025	0.464868410264819	5	30	sulfur compound transmembrane transporter activity	Abcd1;Slc25a10;Slc25a11;Slc27a1;Slc35b2	0.00890181075412034
2	GO:0000295	0.000405589079046568	27.6520737327189	0.15495613675494	3	10	adenine nucleotide transmembrane transporter activity	Abcd1;Slc25a5;Slc35b2	0.0136548323279011
3	GO:0015216	0.000405589079046568	27.6520737327189	0.15495613675494	3	10	purine nucleotide transmembrane transporter activity	Abcd1;Slc25a5;Slc35b2	0.0136548323279011
4	GO:0015215	0.000934041539846032	19.3516129032258	0.201442977781422	3	13	nucleotide transmembrane transporter activity	Abcd1;Slc25a5;Slc35b2	0.0157565003449872
5	GO:0015932	0.00126665076085572	9.59439439439439	0.480364023940313	4	31	nucleobase-containing compound transmembrane transporter activity	Abcd1;Slc25a5;Slc35a5;Slc35b2	0.0157565003449872
6	GO:0015117	0.00140404458519688	64.2032085561497	0.0619824547019759	2	4	thiosulfate transmembrane transporter activity	Slc25a10;Slc25a11	0.0157565003449872
7	GO:0015131	0.00140404458519688	64.2032085561497	0.0619824547019759	2	4	oxaloacetate transmembrane transporter activity	Slc25a10;Slc25a11	0.0157565003449872
8	GO:0015140	0.00140404458519688	64.2032085561497	0.0619824547019759	2	4	malate transmembrane transporter activity	Slc25a10;Slc25a11	0.0157565003449872
9	GO:0051377	0.00140404458519688	64.2032085561497	0.0619824547019759	2	4	mannose-ethanolamine phosphotransferase activity	Pigf;Pigo	0.0157565003449872
10	GO:0015605	0.0021217151600402	13.8179723502304	0.263425432483398	3	17	organophosphate ester transmembrane transporter activity	Abcd1;Slc25a5;Slc35b2	0.0194812028330963
11	GO:0016780	0.0021217151600402	13.8179723502304	0.263425432483398	3	17	phosphotransferase activity, for other substituted phosphate groups	Gnptg;Pigf;Pigo	0.0194812028330963
12	GO:0015141	0.00343893100011259	32.096256684492	0.0929736820529638	2	6	succinate transmembrane transporter activity	Slc25a10;Slc25a11	0.0248094307865266
13	GO:0043139	0.00343893100011259	32.096256684492	0.0929736820529638	2	6	5'-3' DNA helicase activity	Ruvbl2;Twnk	0.0248094307865266
14	GO:0097199	0.00343893100011259	32.096256684492	0.0929736820529638	2	6	cysteine-type endopeptidase activity involved in apoptotic signaling pathway	Casp2;Casp8	0.0248094307865266
15	GO:0070325	0.00453946418520048	10.1774193548387	0.340903500860867	3	22	lipoprotein particle receptor binding	Apoa2;Clu;Lrpap1	0.0300824008824698
16	GO:0097200	0.00476552885266848	25.6748663101604	0.108469295728458	2	7	cysteine-type endopeptidase activity involved in execution phase of apoptosis	Casp2;Casp8	0.0300824008824698
17	GO:0016641	0.00628948398214069	21.3939393939394	0.123964909403952	2	8	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	Loxl3;Pnpo	0.0373669342468359
18	GO:0003678	0.00687146422421262	5.74798798798799	0.759285070099205	4	49	DNA helicase activity	Chd1l;Mcm7;Ruvbl2;Twnk	0.0384974818208896
19	GO:0003735	0.00737060982720812	3.3082497212932	2.24686398294663	7	145	structural constituent of ribosome	Mrpl47;Mrps10;Mrps15;Mrps16;Rpl10a;Rpl28;Rpl31	0.0384974818208896
20	GO:0005346	0.00800442691325428	18.3361344537815	0.139460523079446	2	9	purine ribonucleotide transmembrane transporter activity	Abcd1;Slc35b2	0.0384974818208896
21	GO:0097153	0.00800442691325428	18.3361344537815	0.139460523079446	2	9	cysteine-type endopeptidase activity involved in apoptotic process	Casp2;Casp8	0.0384974818208896
22	GO:0015116	0.00990413637180621	16.0427807486631	0.15495613675494	2	10	sulfate transmembrane transporter activity	Slc25a10;Slc25a11	0.0401296661852549
23	GO:0019215	0.00990413637180621	16.0427807486631	0.15495613675494	2	10	intermediate filament binding	Sirt1;Vmac	0.0401296661852549
24	GO:1901505	0.0109318738016295	7.15710872162485	0.464868410264819	3	30	carbohydrate derivative transmembrane transporter activity	Abcd1;Slc35a5;Slc35b2	0.0401296661852549
25	GO:0016638	0.0119825362608157	14.2590612002377	0.170451750430434	2	11	oxidoreductase activity, acting on the CH-NH2 group of donors	Loxl3;Pnpo	0.0401296661852549
26	GO:0046915	0.0130574868932271	6.66240266963293	0.495859637615807	3	32	transition metal ion transmembrane transporter activity	Mmgt1;Slc30a6;Slc39a1	0.0401296661852549
27	GO:0015645	0.0142336926940217	12.8320855614973	0.185947364105928	2	12	fatty acid ligase activity	Acsf2;Slc27a1	0.0401296661852549
28	GO:0004733	0.0154956136754945	Inf	0.015495613675494	1	1	pyridoxamine-phosphate oxidase activity	Pnpo	0.0401296661852549
29	GO:0008431	0.0154956136754945	Inf	0.015495613675494	1	1	vitamin E binding	Ttpa	0.0401296661852549
30	GO:0015607	0.0154956136754945	Inf	0.015495613675494	1	1	ATPase-coupled fatty-acyl-CoA transmembrane transporter activity	Abcd1	0.0401296661852549
31	GO:0016495	0.0154956136754945	Inf	0.015495613675494	1	1	C-X3-C chemokine receptor activity	Cx3cr1	0.0401296661852549
32	GO:0016517	0.0154956136754945	Inf	0.015495613675494	1	1	interleukin-12 receptor activity	Il12rb1	0.0401296661852549
33	GO:0032029	0.0154956136754945	Inf	0.015495613675494	1	1	myosin tail binding	Ush1c	0.0401296661852549
34	GO:0042019	0.0154956136754945	Inf	0.015495613675494	1	1	interleukin-23 binding	Il12rb1	0.0401296661852549
35	GO:0042020	0.0154956136754945	Inf	0.015495613675494	1	1	interleukin-23 receptor activity	Il12rb1	0.0401296661852549
36	GO:0045515	0.0154956136754945	Inf	0.015495613675494	1	1	interleukin-18 receptor binding	Il18	0.0401296661852549
37	GO:0047390	0.0154956136754945	Inf	0.015495613675494	1	1	glycerophosphocholine cholinephosphodiesterase activity	Enpp6	0.0401296661852549
38	GO:0070224	0.0154956136754945	Inf	0.015495613675494	1	1	sulfide:quinone oxidoreductase activity	Sqor	0.0401296661852549
39	GO:0070653	0.0154956136754945	Inf	0.015495613675494	1	1	high-density lipoprotein particle receptor binding	Apoa2	0.0401296661852549
