GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0005198	4.43411295632349e-06	6.57674632352941	2.03030551905388	11	419	structural molecule activity	Cope;Dap3;Hmox1;Marveld1;Mmrn2;Mrpl22;Mrpl43;Mrps34;Myl6;Rpl39;Rpl41	0.000270480890335733
2	GO:0003735	6.8923311637623e-05	9.75539568345324	0.702611695137976	6	145	structural constituent of ribosome	Dap3;Mrpl22;Mrpl43;Mrps34;Rpl39;Rpl41	0.0021021610049475
3	GO:0016531	0.000137639357158271	212.543859649123	0.0193823915900131	2	4	copper chaperone activity	Atox1;Park7	0.00279866692888485
4	GO:0016530	0.000341955371305063	106.254385964912	0.0290735873850197	2	6	metallochaperone activity	Atox1;Park7	0.00521481941240221
5	GO:0008656	0.000813044331602064	60.7017543859649	0.0436103810775296	2	9	cysteine-type endopeptidase activator activity involved in apoptotic process	Bad;Ctsh	0.00991914084554518
6	GO:0140104	0.00101314046123391	53.109649122807	0.0484559789750328	2	10	molecular carrier activity	Atox1;Park7	0.0103002613558781
7	GO:0016505	0.00123442784079005	47.2046783625731	0.0533015768725361	2	11	peptidase activator activity involved in apoptotic process	Bad;Ctsh	0.0107571568983133
8	GO:0046933	0.00202341397258531	35.3947368421053	0.067838370565046	2	14	proton-transporting ATP synthase activity, rotational mechanism	Atp5e;Atp5j2	0.015428531540963
9	GO:0015252	0.0029958956268584	28.3087719298246	0.0823751642575559	2	17	proton channel activity	Atp5e;Atp5j2	0.0164211928748722
10	GO:0008466	0.00484559789750327	Inf	0.00484559789750329	1	1	glycogenin glucosyltransferase activity	Gyg	0.0164211928748722
11	GO:0030108	0.00484559789750327	Inf	0.00484559789750329	1	1	HLA-A specific activating MHC class I receptor activity	Ctsh	0.0164211928748722
12	GO:0032397	0.00484559789750327	Inf	0.00484559789750329	1	1	activating MHC class I receptor activity	Ctsh	0.0164211928748722
13	GO:0036470	0.00484559789750327	Inf	0.00484559789750329	1	1	tyrosine 3-monooxygenase activator activity	Park7	0.0164211928748722
14	GO:0036478	0.00484559789750327	Inf	0.00484559789750329	1	1	L-dopa decarboxylase activator activity	Park7	0.0164211928748722
15	GO:0036524	0.00484559789750327	Inf	0.00484559789750329	1	1	protein deglycase activity	Park7	0.0164211928748722
16	GO:0043874	0.00484559789750327	Inf	0.00484559789750329	1	1	acireductone synthase activity	Enoph1	0.0164211928748722
17	GO:0102751	0.00484559789750327	Inf	0.00484559789750329	1	1	UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity	Gyg	0.0164211928748722
18	GO:1990422	0.00484559789750327	Inf	0.00484559789750329	1	1	glyoxalase (glycolic acid-forming) activity	Park7	0.0164211928748722
19	GO:0043028	0.0059490796719515	19.2902711323764	0.116294349540079	2	24	cysteine-type endopeptidase regulator activity involved in apoptotic process	Bad;Ctsh	0.0190996768415285
20	GO:0015078	0.00681684875422143	8.37662337662338	0.387647831800263	3	80	proton transmembrane transporter activity	Atp5e;Atp5j2;Atp5k	0.0207913887003754
21	GO:0016504	0.00861653346884112	15.7115009746589	0.140522339027595	2	29	peptidase activator activity	Bad;Ctsh	0.0235901933854461
22	GO:0004392	0.0096681120432156	208.896551724138	0.00969119579500657	1	2	heme oxygenase (decyclizing) activity	Hmox1	0.0235901933854461
