GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0070300	0.00252090375615001	30.8928571428571	0.0753880266075388	2	18	phosphatidic acid binding	Plcd1;Uqcc3	0.0341969265659774
2	GO:0003944	0.00418822370041838	Inf	0.00418822370041882	1	1	N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase activity	Nagpa	0.0341969265659774
3	GO:0004946	0.00418822370041838	Inf	0.00418822370041882	1	1	bombesin receptor activity	Nmbr	0.0341969265659774
4	GO:0015098	0.00418822370041838	Inf	0.00418822370041882	1	1	molybdate ion transmembrane transporter activity	Mfsd5	0.0341969265659774
5	GO:0047223	0.00418822370041838	Inf	0.00418822370041882	1	1	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase activity	Pomgnt1	0.0341969265659774
6	GO:0051087	0.0057290951118116	8.95982142857143	0.364375461936438	3	87	chaperone binding	Pfdn6;Stub1;Timm10	0.0341969265659774
7	GO:0004067	0.00835924871612781	242.5	0.00837644740083764	1	2	asparaginase activity	Aspg	0.0341969265659774
8	GO:0004920	0.00835924871612781	242.5	0.00837644740083764	1	2	interleukin-10 receptor activity	Il10rb	0.0341969265659774
9	GO:0030226	0.00835924871612781	242.5	0.00837644740083764	1	2	apolipoprotein receptor activity	Abca7	0.0341969265659774
10	GO:0034188	0.00835924871612781	242.5	0.00837644740083764	1	2	apolipoprotein A-I receptor activity	Abca7	0.0341969265659774
11	GO:0090556	0.00835924871612781	242.5	0.00837644740083764	1	2	phosphatidylserine floppase activity	Abca7	0.0341969265659774
12	GO:0038024	0.0109811946676949	13.7074829931973	0.159152500615915	2	38	cargo receptor activity	Abca7;Vtn	0.0402208208538867
13	GO:0004449	0.0125131442656536	121.24	0.0125646711012565	1	3	isocitrate dehydrogenase (NAD+) activity	Idh3g	0.0402208208538867
14	GO:1990760	0.0125131442656536	121.24	0.0125646711012565	1	3	osmolarity-sensing cation channel activity	Tmem63b	0.0402208208538867
15	GO:0004691	0.0166499792946051	80.82	0.0167528948016753	1	4	cAMP-dependent protein kinase activity	Akap13	0.0420369773841987
16	GO:0005034	0.0166499792946051	80.82	0.0167528948016753	1	4	osmosensor activity	Tmem63b	0.0420369773841987
17	GO:0032422	0.0166499792946051	80.82	0.0167528948016753	1	4	purine-rich negative regulatory element binding	Elk3	0.0420369773841987
18	GO:0004448	0.0207698224767272	60.61	0.0209411185020941	1	5	isocitrate dehydrogenase activity	Idh3g	0.0420369773841987
19	GO:0036435	0.0207698224767272	60.61	0.0209411185020941	1	5	K48-linked polyubiquitin modification-dependent protein binding	Zfand2b	0.0420369773841987
20	GO:0017048	0.0231247211149658	5.23732517482518	0.611480660261148	3	146	Rho GTPase binding	Akap13;Arhgef28;Dvl1	0.0420369773841987
21	GO:0003847	0.0248727422149532	48.484	0.0251293422025129	1	6	1-alkyl-2-acetylglycerophosphocholine esterase activity	Aspg	0.0420369773841987
22	GO:0004679	0.0248727422149532	48.484	0.0251293422025129	1	6	AMP-activated protein kinase activity	Prkab1	0.0420369773841987
23	GO:0004690	0.0248727422149532	48.484	0.0251293422025129	1	6	cyclic nucleotide-dependent protein kinase activity	Akap13	0.0420369773841987
24	GO:0061133	0.0248727422149532	48.484	0.0251293422025129	1	6	endopeptidase activator activity	Psme3	0.0420369773841987
25	GO:0090554	0.0248727422149532	48.484	0.0251293422025129	1	6	phosphatidylcholine floppase activity	Abca7	0.0420369773841987
26	GO:0004888	0.0266419788516772	3.18641304347826	1.69623059866962	5	405	transmembrane signaling receptor activity	Abca7;Gpr61;Il10rb;Nmbr;Tmem63b	0.0420369773841987
27	GO:0004620	0.0268945053990509	8.34797647872708	0.255481645725548	2	61	phospholipase activity	Aspg;Plcd1	0.0420369773841987
28	GO:0030911	0.028958806642448	40.4	0.0293175659029318	1	7	TPR domain binding	Stub1	0.0420369773841987
29	GO:0097371	0.028958806642448	40.4	0.0293175659029318	1	7	MDM2/MDM4 family protein binding	Psme3	0.0420369773841987
30	GO:0140299	0.028958806642448	40.4	0.0293175659029318	1	7	small molecule sensor activity	Tmem63b	0.0420369773841987
31	GO:0140328	0.028958806642448	40.4	0.0293175659029318	1	7	floppase activity	Abca7	0.0420369773841987
32	GO:0005089	0.0302474306860039	7.8153547133139	0.272234540527223	2	65	Rho guanyl-nucleotide exchange factor activity	Akap13;Arhgef28	0.042535449402193
33	GO:1901612	0.0330280836236502	34.6257142857143	0.0335057896033506	1	8	cardiolipin binding	Uqcc3	0.0450382958504321
34	GO:0016298	0.0346589823667607	7.23769507803121	0.293175659029318	2	70	lipase activity	Aspg;Plcd1	0.0450980765942988
35	GO:0015929	0.0370806407553124	30.295	0.0376940133037694	1	9	hexosaminidase activity	Nagpa	0.0450980765942988
36	GO:1901611	0.0370806407553124	30.295	0.0376940133037694	1	9	phosphatidylglycerol binding	Uqcc3	0.0450980765942988
37	GO:1990763	0.0370806407553124	30.295	0.0376940133037694	1	9	arrestin family protein binding	Gpr61	0.0450980765942988
38	GO:0001094	0.0411165453675316	26.9266666666667	0.0418822370041882	1	10	TFIID-class transcription factor complex binding	Edf1	0.0472737036825951
39	GO:0140036	0.0411165453675316	26.9266666666667	0.0418822370041882	1	10	ubiquitin-dependent protein binding	Ankrd13d	0.0472737036825951
40	GO:0008381	0.0451358645247808	24.232	0.046070460704607	1	11	mechanosensitive ion channel activity	Tmem63b	0.0472737036825951
41	GO:0034450	0.0451358645247808	24.232	0.046070460704607	1	11	ubiquitin-ubiquitin ligase activity	Stub1	0.0472737036825951
42	GO:0140326	0.0451358645247808	24.232	0.046070460704607	1	11	ATPase-coupled intramembrane lipid transporter activity	Abca7	0.0472737036825951
43	GO:0061135	0.0451726501855909	6.22423146473779	0.339246119733925	2	81	endopeptidase regulator activity	Psme3;Tfpi	0.0472737036825951
44	GO:0005078	0.0491386650269376	22.0272727272727	0.0502586844050259	1	12	MAP-kinase scaffold activity	Akap13	0.0491386650269376
45	GO:0140035	0.0491386650269376	22.0272727272727	0.0502586844050259	1	12	ubiquitination-like modification-dependent protein binding	Ankrd13d	0.0491386650269376
