GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0017048	0.000432977793929816	4.34831460674157	2.25449028130895	9	147	Rho GTPase binding	Arhgef25;Cdc42ep5;Cdc42se1;Dock9;Dvl3;Elmo2;Plekhg5;Srgap3;Strip1	0.0264472173057552
2	GO:0001161	0.000705259128153471	21.7336956521739	0.184040022963996	3	12	intronic transcription regulatory region sequence-specific DNA binding	Bcl6;Emx2;Thra	0.0264472173057552
3	GO:0051721	0.0019343929857055	8.44350431870263	0.536783400311654	4	35	protein phosphatase 2A binding	Bod1;Eif4ebp1;Mfhas1;Rps6kb1	0.0439029265297189
4	GO:0005509	0.00497769569867618	2.32995309743399	6.39539079799885	14	417	calcium ion binding	Anxa11;Asph;Ccbe1;Cdh1;Cdh11;Clstn2;Dlk2;Ehd3;Fat4;Mgp;Pla2g5;Plch2;S100a10;Smoc2	0.0439029265297189
5	GO:0005515	0.00538351758906319	1.48839453790981	102.402936110883	120	6677	protein binding	Adam11;Agap3;Alas1;Anxa11;Ap2a2;Aqp11;Arhgef25;Asph;Atg101;Bcl6;Bhlha9;Bhlhe22;Bmyc;Bod1;Brf2;Ccbe1;Cdc42ep5;Cdc42se1;Cdh1;Cdh11;Cdsn;Cenpu;Chrd;Cpeb1;Cpne4;Cpne6;Csnk2b;Dab1;Ddx54;Dgkd;Dlk2;Dock9;Dvl3;Ehd3;Eif4e2;Eif4ebp1;Elmo2;Ephb2;Erc1;Evc2;Fam220a;Fat4;Fgf13;Gabra5;Gadd45b;Glyr1;Gna11;Golph3;Grhl1;Grp;Gstm2;Hars;Hmgb1;Hsd11b1;Hspa1b;Htr3a;Islr2;Itga4;Itgbl1;Kcnab2;Kcnn2;Kctd6;Lrp3;Map3k12;Map4k3;Mark4;Mfap4;Mfhas1;Mgp;Mmp24;Mpc2;Mpp3;Msln;Napepld;Nck2;Nefl;Neurod1;Nfu1;Npas1;Npr3;Nsmf;Olfml2b;Osgin2;Parp1;Pcyt1b;Pdha1;Pfkl;Piezo1;Pla2g5;Plekhg5;Ppfia2;Prkca;Psmc3;Psmd8;Ptgs2;Rab3ip;Rab5if;Rnf146;Rps6kb1;S100a10;Sgta;Sh3bp5;Sh3rf1;Src;Srgap3;Strip1;Tbata;Thra;Tmed9;Tmem109;Tnks1bp1;Topbp1;Trafd1;Trim2;Vgll3;Wrap73;Zdhhc16;Zeb2;Zfpm2;Zranb3	0.0439029265297189
6	GO:0043022	0.00932713870356171	5.22666666666667	0.828180103337981	4	54	ribosome binding	Cpeb1;Eif6;Mtif3;Ythdf1	0.0439029265297189
7	GO:0017016	0.00957137786601394	2.29714285714286	5.52120068891987	12	360	Ras GTPase binding	Arhgef25;Cdc42ep5;Cdc42se1;Dock9;Dvl3;Elmo2;Erc1;Plekhg5;Rab3ip;Sh3bp5;Srgap3;Strip1	0.0439029265297189
8	GO:0098918	0.00967535623092133	7.51254180602007	0.444763388829656	3	29	structural constituent of synapse	Erc1;Nefl;Ppfia2	0.0439029265297189
9	GO:0008484	0.0117485134801713	14.4108108108108	0.168703354383663	2	11	sulfuric ester hydrolase activity	Arsb;Arsj	0.0439029265297189
10	GO:0102991	0.0117485134801713	14.4108108108108	0.168703354383663	2	11	myristoyl-CoA hydrolase activity	Acot3;Acot5	0.0439029265297189
11	GO:0031267	0.0124284354925777	2.21195092995647	5.7205773804642	12	373	small GTPase binding	Arhgef25;Cdc42ep5;Cdc42se1;Dock9;Dvl3;Elmo2;Erc1;Plekhg5;Rab3ip;Sh3bp5;Srgap3;Strip1	0.0439029265297189
12	GO:0004620	0.014173209452083	4.58211101524303	0.935536783400312	4	61	phospholipase activity	Lypla2;Napepld;Pla2g5;Plch2	0.0439029265297189
13	GO:0000401	0.015336668580333	Inf	0.015336668580333	1	1	open form four-way junction DNA binding	Hmgb1	0.0439029265297189
14	GO:0000402	0.015336668580333	Inf	0.015336668580333	1	1	crossed form four-way junction DNA binding	Hmgb1	0.0439029265297189
15	GO:0003845	0.015336668580333	Inf	0.015336668580333	1	1	11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity	Hsd11b1	0.0439029265297189
16	GO:0003943	0.015336668580333	Inf	0.015336668580333	1	1	N-acetylgalactosamine-4-sulfatase activity	Arsb	0.0439029265297189
17	GO:0004597	0.015336668580333	Inf	0.015336668580333	1	1	peptide-aspartate beta-dioxygenase activity	Asph	0.0439029265297189
18	GO:0008890	0.015336668580333	Inf	0.015336668580333	1	1	glycine C-acetyltransferase activity	Gcat	0.0439029265297189
19	GO:0015254	0.015336668580333	Inf	0.015336668580333	1	1	glycerol channel activity	Aqp11	0.0439029265297189
20	GO:0022850	0.015336668580333	Inf	0.015336668580333	1	1	serotonin-gated cation-selective channel activity	Htr3a	0.0439029265297189
21	GO:0070524	0.015336668580333	Inf	0.015336668580333	1	1	11-beta-hydroxysteroid dehydrogenase (NADP+) activity	Hsd11b1	0.0439029265297189
22	GO:0071885	0.015336668580333	Inf	0.015336668580333	1	1	N-terminal protein N-methyltransferase activity	Ntmt1	0.0439029265297189
23	GO:0072572	0.015336668580333	Inf	0.015336668580333	1	1	poly-ADP-D-ribose binding	Rnf146	0.0439029265297189
24	GO:0016290	0.0163300081243831	11.7886977886978	0.199376691544329	2	13	palmitoyl-CoA hydrolase activity	Acot3;Acot5	0.0439029265297189
25	GO:0015267	0.0173546940518392	2.28248587570621	4.60100057409989	10	300	channel activity	Aqp11;Erc1;Gabra5;Htr3a;Kcnab2;Kcnn2;Orai3;Panx2;Piezo1;Tmem109	0.0439029265297189
26	GO:0022803	0.0173546940518392	2.28248587570621	4.60100057409989	10	300	passive transmembrane transporter activity	Aqp11;Erc1;Gabra5;Htr3a;Kcnab2;Kcnn2;Orai3;Panx2;Piezo1;Tmem109	0.0439029265297189
27	GO:0016790	0.0174871914065921	5.91551383399209	0.552120068891987	3	36	thiolester hydrolase activity	Acot3;Acot5;Lypla2	0.0439029265297189
28	GO:0048306	0.0184585612035682	4.21082319760268	1.01222012630198	4	66	calcium-dependent protein binding	Anxa11;Mgp;Nsmf;S100a10	0.0439029265297189
29	GO:0030506	0.0188615447545745	10.8054054054054	0.214713360124662	2	14	ankyrin binding	Cdh1;Kctd6	0.0439029265297189
30	GO:0047617	0.021546402705494	9.97338877338877	0.230050028704995	2	15	acyl-CoA hydrolase activity	Acot3;Acot5	0.0439029265297189
31	GO:0016298	0.0224084518536267	3.95429706905117	1.07356680062331	4	70	lipase activity	Lypla2;Napepld;Pla2g5;Plch2	0.0439029265297189
