GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0046933	5.39847090428183e-06	16.2641242937853	0.818010950396339	7	14	proton-transporting ATP synthase activity, rotational mechanism	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o	0.000410283788725419
2	GO:0003735	1.08402368858194e-05	3.10575191888563	8.47225627196208	23	145	structural constituent of ribosome	Mrpl13;Mrpl18;Mrpl21;Mrpl41;Mrpl9;Mrps14;Mrps2;Mrps22;Mrps31;Mrps6;Rpl15;Rpl18;Rpl23;Rpl27;Rpl32;Rpl35;Rpl4;Rpl5;Rplp0;Rps10;Rps16;Rps28;Rps7	0.000411929001661136
3	GO:0015252	2.62010522502009e-05	11.3819209039548	0.993299011195554	7	17	proton channel activity	Atp5a1;Atp5b;Atp5g3;Atp5h;Atp5j;Atp5l;Atp5o	0.000663759990338423
4	GO:0019843	8.07680677743953e-05	4.08475783475784	3.797907983983	13	65	rRNA binding	Cirbp;Ddx28;Emg1;Fastkd2;Mrpl18;Mrps6;Nop53;Ptcd3;Rpf2;Rpl23;Rpl4;Rpl5;Rplp0	0.00153459328771351
5	GO:0016491	0.00018106115840167	1.81012857399748	30.383263871864	51	520	oxidoreductase activity	4833439L19Rik;Acadl;Acadvl;Adh5;Akr1b10;Akr1b3;Aldh3a2;Cbr1;Chdh;Coil;Cox5a;Ctbp2;Cybrd1;Cyp4f39;Decr1;Dio3;Duox2;Etfb;Etfdh;Fads1;Gfer;Glrx5;Gsto1;Idh2;Impdh2;L2hgdh;Ndufa13;Ndufa5;Ndufb7;Ndufc2;Ndufs2;Ndufs8;Ogfod3;Pdhb;Pdia4;Pdia6;Plod2;Prdx1;Prdx2;Pycrl;Rdh13;Retsat;Sardh;Sc5d;Sdhd;Smox;Suox;Tmem189;Txndc12;Uqcrh;Vcam1	0.00275212960770539
6	GO:0005198	0.000230169664724117	1.89163745737022	24.5403285118902	43	420	structural molecule activity	Arpc5;Cldn2;Cltb;Col16a1;Col18a1;Col4a5;Creld2;Csrp2;Ctbp2;Gfap;Hspg2;Krt18;Lamb2;Lor;Mfap2;Mrpl13;Mrpl18;Mrpl21;Mrpl41;Mrpl9;Mrps14;Mrps2;Mrps22;Mrps31;Mrps6;Ndc1;Nid1;Rpl15;Rpl18;Rpl23;Rpl27;Rpl32;Rpl35;Rpl4;Rpl5;Rplp0;Rps10;Rps16;Rps28;Rps7;Snta1;Sntg2;Vim	0.00291548241983882
7	GO:0008137	0.000548039353399487	7.49202560486058	1.11015771839503	6	19	NADH dehydrogenase (ubiquinone) activity	Ndufa13;Ndufa5;Ndufb7;Ndufc2;Ndufs2;Ndufs8	0.0049225502264467
8	GO:0050136	0.000548039353399487	7.49202560486058	1.11015771839503	6	19	NADH dehydrogenase (quinone) activity	Ndufa13;Ndufa5;Ndufb7;Ndufc2;Ndufs2;Ndufs8	0.0049225502264467
9	GO:0008097	0.000582933579447636	10.1355633802817	0.7595815967966	5	13	5S rRNA binding	Mrpl18;Nop53;Rpf2;Rpl4;Rpl5	0.0049225502264467
10	GO:0003954	0.000744562228111514	6.95627644569817	1.16858707199477	6	20	NADH dehydrogenase activity	Ndufa13;Ndufa5;Ndufb7;Ndufc2;Ndufs2;Ndufs8	0.00525138265553151
11	GO:1990948	0.000760068542247982	48.5435393258427	0.233717414398954	3	4	ubiquitin ligase inhibitor activity	Rpl23;Rpl5;Rps7	0.00525138265553151
12	GO:0016655	0.000907142753460926	5.41478342749529	1.63602190079268	7	28	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	Cbr1;Ndufa13;Ndufa5;Ndufb7;Ndufc2;Ndufs2;Ndufs8	0.00574523743858587
13	GO:0055106	0.00123330998119097	8.10704225352113	0.876440303996077	5	15	ubiquitin-protein transferase regulator activity	Cbx8;Fzr1;Rpl23;Rpl5;Rps7	0.00704535691505509
14	GO:0003723	0.00129782890540489	1.49180404427217	55.624744626951	78	952	RNA binding	Auh;Bicc1;Calr;Cbx8;Cirbp;Cnbp;Coil;Cpsf4;Csdc2;Ddx28;Ddx31;Ddx47;Eef1d;Eif3d;Eif3l;Eif3m;Eif4a3;Emg1;Exosc8;Fastkd2;Gnl3;Gpatch1;Gpkow;Grsf1;Hnrnpab;Hnrnpf;Impdh2;Lrrc47;Lsm10;Mrm3;Mrpl13;Mrpl18;Mrpl21;Mrps6;Nelfcd;Nop53;Nudt16;Pnpt1;Pop4;Prpf40b;Psma6;Pstk;Ptcd3;Puf60;Rbm17;Rbmxl1;Rpf2;Rpl15;Rpl18;Rpl23;Rpl35;Rpl4;Rpl5;Rpl7a;Rplp0;Rpp30;Rps10;Rps16;Rps7;Rsl1d1;Rtraf;Snrpa1;Snrpg;Sox2;Sox9;Srp14;Srp19;Srsf10;Tdrd3;Tent4b;Thoc3;Thumpd3;Vim;Wbp4;Yars;Zfp36l1;Zfp36l2;Zrsr1	0.00704535691505509
15	GO:0051059	0.00172897945180031	4.73669962335217	1.81130996159189	7	31	NF-kappaB binding	Anxa4;Commd7;Hdac1;Hdac3;Nfkbid;Psma6;Rnf25	0.00863302092632666
16	GO:0055105	0.00181747808975298	24.2696629213483	0.292146767998692	3	5	ubiquitin-protein transferase inhibitor activity	Rpl23;Rpl5;Rps7	0.00863302092632666
17	GO:0015037	0.00273996058825063	9.25457102672292	0.642722889597123	4	11	peptide disulfide oxidoreductase activity	Gsto1;Pdia4;Pdia6;Txndc12	0.0107967283825604
18	GO:0015036	0.00303706844875275	4.20930110901862	1.98659802239111	7	34	disulfide oxidoreductase activity	Coil;Gfer;Glrx5;Gsto1;Pdia4;Pdia6;Txndc12	0.0107967283825604
19	GO:0004298	0.00303993192309865	6.23456121343445	1.05172836479529	5	18	threonine-type endopeptidase activity	Psma6;Psma7;Psmb1;Psmb4;Psmb6	0.0107967283825604
20	GO:0000825	0.00340949317344012	Inf	0.116858707199477	2	2	inositol tetrakisphosphate 6-kinase activity	Ipmk;Itpk1	0.0107967283825604
21	GO:0004560	0.00340949317344012	Inf	0.116858707199477	2	2	alpha-L-fucosidase activity	Fuca1;Fuca2	0.0107967283825604
22	GO:0015928	0.00340949317344012	Inf	0.116858707199477	2	2	fucosidase activity	Fuca1;Fuca2	0.0107967283825604
