GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0008266	0.00320659706219763	26.9111111111111	0.0849141824751581	2	22	poly(U) RNA binding	Rbm11;Rbms2	0.0268042865053842
2	GO:0042802	0.00321180669273712	2.68515975464616	6.44189866141086	14	1669	identical protein binding	Adarb1;Adcy8;Anks6;B4galt1;Banf1;Cidea;Eif4g1;Foxp4;Hook2;Ntsr1;Ralyl;Rbm11;Usp15;Zfp212	0.0268042865053842
3	GO:0004825	0.00385973556705266	Inf	0.00385973556705264	1	1	methionine-tRNA ligase activity	Mars2	0.0268042865053842
4	GO:0097726	0.00385973556705266	Inf	0.00385973556705264	1	1	LEM domain binding	Banf1	0.0268042865053842
5	GO:0098638	0.00385973556705266	Inf	0.00385973556705264	1	1	laminin binding involved in cell-matrix adhesion	B4galt1	0.0268042865053842
6	GO:1990439	0.00385973556705266	Inf	0.00385973556705264	1	1	MAP kinase serine/threonine phosphatase activity	Dusp4	0.0268042865053842
7	GO:0008187	0.0044673810842307	22.4185185185185	0.100353124743369	2	26	poly-pyrimidine tract binding	Rbm11;Rbms2	0.0268042865053842
8	GO:0003896	0.00770488934730462	263.673913043478	0.00771947113410528	1	2	DNA primase activity	Prim2	0.0294186684169813
9	GO:0004461	0.00770488934730462	263.673913043478	0.00771947113410528	1	2	lactose synthase activity	B4galt1	0.0294186684169813
10	GO:0016492	0.00770488934730462	263.673913043478	0.00771947113410528	1	2	G protein-coupled neurotensin receptor activity	Ntsr1	0.0294186684169813
11	GO:0072570	0.00770488934730462	263.673913043478	0.00771947113410528	1	2	ADP-D-ribose binding	Parp9	0.0294186684169813
12	GO:0047485	0.0103105461872473	7.1866028708134	0.451589061345159	3	117	protein N-terminus binding	Adcy8;Banf1;Ntsr1	0.0346065457094313
13	GO:0003726	0.0115355152364771	131.826086956522	0.0115792067011579	1	3	double-stranded RNA adenosine deaminase activity	Adarb1	0.0346065457094313
14	GO:0061649	0.0115355152364771	131.826086956522	0.0115792067011579	1	3	ubiquitin modification-dependent histone binding	Usp15	0.0346065457094313
15	GO:0003831	0.0191533979511916	65.9021739130435	0.0192986778352632	1	5	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	B4galt1	0.0431530792971459
16	GO:0003945	0.0191533979511916	65.9021739130435	0.0192986778352632	1	5	N-acetyllactosamine synthase activity	B4galt1	0.0431530792971459
17	GO:0008294	0.0191533979511916	65.9021739130435	0.0192986778352632	1	5	calcium- and calmodulin-responsive adenylate cyclase activity	Adcy8	0.0431530792971459
18	GO:0098634	0.0191533979511916	65.9021739130435	0.0192986778352632	1	5	cell-matrix adhesion mediator activity	B4galt1	0.0431530792971459
19	GO:0005344	0.02294076159696	52.7173913043478	0.0231584134023158	1	6	oxygen carrier activity	Hbq1a	0.0431530792971459
20	GO:0008251	0.02294076159696	52.7173913043478	0.0231584134023158	1	6	tRNA-specific adenosine deaminase activity	Adarb1	0.0431530792971459
21	GO:0017128	0.02294076159696	52.7173913043478	0.0231584134023158	1	6	phospholipid scramblase activity	Plscr1	0.0431530792971459
22	GO:0031720	0.02294076159696	52.7173913043478	0.0231584134023158	1	6	haptoglobin binding	Hbq1a	0.0431530792971459
23	GO:0003689	0.0267138109934713	43.9275362318841	0.0270181489693685	1	7	DNA clamp loader activity	Rfc2	0.0431530792971459
24	GO:0033170	0.0267138109934713	43.9275362318841	0.0270181489693685	1	7	protein-DNA loading ATPase activity	Rfc2	0.0431530792971459
25	GO:0042609	0.0267138109934713	43.9275362318841	0.0270181489693685	1	7	CD4 receptor binding	Plscr1	0.0431530792971459
26	GO:0097677	0.0267138109934713	43.9275362318841	0.0270181489693685	1	7	STAT family protein binding	Parp9	0.0431530792971459
27	GO:0097159	0.0312144605858932	1.80944318468128	15.4042046481071	22	3991	organic cyclic compound binding	Adarb1;Adcy8;Banf1;Eif4g1;Flt3;Foxp4;Hbq1a;Mars2;Myo16;Osbpl6;Parp9;Plscr1;Prim2;Ralyl;Rbm11;Rbms2;Rfc2;Ss18l1;Swsap1;Trio;Zfp212;Zfp768	0.0442722023536179
28	GO:0046332	0.0330281143349691	7.44320987654321	0.285620431961895	2	74	SMAD binding	Ipo7;Usp15	0.0442722023536179
29	GO:0004000	0.034217178561799	32.9402173913044	0.0347376201034738	1	9	adenosine deaminase activity	Adarb1	0.0442722023536179
30	GO:0004016	0.034217178561799	32.9402173913044	0.0347376201034738	1	9	adenylate cyclase activity	Adcy8	0.0442722023536179
31	GO:0008190	0.034217178561799	32.9402173913044	0.0347376201034738	1	9	eukaryotic initiation factor 4E binding	Eif4g1	0.0442722023536179
32	GO:0008330	0.034217178561799	32.9402173913044	0.0347376201034738	1	9	protein tyrosine/threonine phosphatase activity	Dusp4	0.0442722023536179
33	GO:0003727	0.0355205127076702	7.1437037037037	0.297199638663053	2	77	single-stranded RNA binding	Rbm11;Rbms2	0.0442722023536179
34	GO:0042393	0.0376988033079368	4.30772005772006	0.741069228874107	3	192	histone binding	Ipo7;Parp9;Usp15	0.0442722023536179
35	GO:0017017	0.0379476020173868	29.2777777777778	0.0385973556705264	1	10	MAP kinase tyrosine/serine/threonine phosphatase activity	Dusp4	0.0442722023536179
36	GO:0140036	0.0379476020173868	29.2777777777778	0.0385973556705264	1	10	ubiquitin-dependent protein binding	Usp15	0.0442722023536179
37	GO:0033549	0.0416639217926135	26.3478260869565	0.042457091237579	1	11	MAP kinase phosphatase activity	Dusp4	0.0464726824949912
38	GO:0005319	0.045251501392558	6.22428940568475	0.339656729900632	2	88	lipid transporter activity	Osbpl6;Plscr1	0.0464726824949912
39	GO:0005078	0.0453661900546343	23.9505928853755	0.0463168268046317	1	12	MAP-kinase scaffold activity	Mapk8ip2	0.0464726824949912
40	GO:0140035	0.0453661900546343	23.9505928853755	0.0463168268046317	1	12	ubiquitination-like modification-dependent protein binding	Usp15	0.0464726824949912
