GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0030234	0.000142977429392885	3.8254029658285	4.00755150619716	13	718	enzyme regulator activity	A2ml1;Als2;Cd55;Cdc37;Cyb5b;Dtx3l;Furin;Inka1;Jun;Ngf;Pcolce;Sipa1l2;Tbc1d14	0.0110092620632522
2	GO:0004857	0.0010717850260572	5.67869060861274	1.16654354428302	6	209	enzyme inhibitor activity	A2ml1;Cd55;Dtx3l;Furin;Inka1;Ngf	0.0323702422089534
3	GO:0008047	0.0012611782678813	4.17422222222222	2.13773290650907	8	383	enzyme activator activity	Als2;Cyb5b;Dtx3l;Jun;Ngf;Pcolce;Sipa1l2;Tbc1d14	0.0323702422089534
4	GO:0061134	0.00277944795276017	7.43440594059406	0.586062546170894	4	105	peptidase regulator activity	A2ml1;Furin;Ngf;Pcolce	0.0346556529203952
5	GO:0047617	0.00307551461244176	28.2097902097902	0.0837232208815563	2	15	acyl-CoA hydrolase activity	Acot13;Acot2	0.0346556529203952
6	GO:0016289	0.00395494995653608	24.4444444444444	0.0948863169990971	2	17	CoA hydrolase activity	Acot13;Acot2	0.0346556529203952
7	GO:0030676	0.00443334213901497	22.9147727272727	0.100467865057868	2	18	Rac guanyl-nucleotide exchange factor activity	Als2;Arhgef4	0.0346556529203952
8	GO:0004607	0.00558154805877042	Inf	0.00558154805877042	1	1	phosphatidylcholine-sterol O-acyltransferase activity	Lcat	0.0346556529203952
9	GO:0008111	0.00558154805877042	Inf	0.00558154805877042	1	1	alpha-methylacyl-CoA racemase activity	Amacr	0.0346556529203952
10	GO:0031249	0.00558154805877042	Inf	0.00558154805877042	1	1	denatured protein binding	Hspa1a	0.0346556529203952
11	GO:0019887	0.00644785620302193	5.80717054263566	0.742345891816466	4	133	protein kinase regulator activity	Als2;Cdc37;Inka1;Ngf	0.0346556529203952
12	GO:0008083	0.00782881634630666	7.94175824175824	0.407453008290241	3	73	growth factor activity	Bmp7;Fgf10;Ngf	0.0346556529203952
13	GO:0004866	0.00843271267013533	7.71987179487179	0.418616104407781	3	75	endopeptidase inhibitor activity	A2ml1;Furin;Ngf	0.0346556529203952
14	GO:0030414	0.0090633274794123	7.50997920997921	0.429779200525322	3	77	peptidase inhibitor activity	A2ml1;Furin;Ngf	0.0346556529203952
15	GO:0061135	0.010758319534679	7.0317429406037	0.457686940819174	3	82	endopeptidase regulator activity	A2ml1;Furin;Ngf	0.0346556529203952
16	GO:0004822	0.0111323980613977	180.805970149254	0.0111630961175408	1	2	isoleucine-tRNA ligase activity	Iars2	0.0346556529203952
17	GO:0005111	0.0111323980613977	180.805970149254	0.0111630961175408	1	2	type 2 fibroblast growth factor receptor binding	Fgf10	0.0346556529203952
18	GO:0015665	0.0111323980613977	180.805970149254	0.0111630961175408	1	2	alcohol transmembrane transporter activity	Stra6	0.0346556529203952
19	GO:0034632	0.0111323980613977	180.805970149254	0.0111630961175408	1	2	retinol transmembrane transporter activity	Stra6	0.0346556529203952
