GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0046977	0.00234426494927028	17.0043604651163	0.297250859106529	3	7	TAP binding	H2-D1;H2-K1;Tap2	0.0433088035245118
2	GO:0050699	0.00294276868280003	5.98197829203359	1.01914580265096	5	24	WW domain binding	Enah;Scnn1a;Tceal1;Tceal3;Tceal9	0.0433088035245118
3	GO:0042605	0.00301805538149632	8.25560458958517	0.636966126656848	4	15	peptide antigen binding	H2-D1;H2-K1;H2-T22;Tap2	0.0433088035245118
4	GO:0051879	0.00563435174340944	4.13609782030835	1.65611192930781	6	39	Hsp90 protein binding	Ahsa2;Chordc1;Pacrg;Ppid;Ptges3;Stip1	0.0433088035245118
5	GO:0048403	0.0101998436721644	22.6324951644101	0.16985763377516	2	4	brain-derived neurotrophic factor binding	A2m;Ntrk2	0.0433088035245118
6	GO:0062061	0.0101998436721644	22.6324951644101	0.16985763377516	2	4	TAP complex binding	H2-D1;H2-K1	0.0433088035245118
7	GO:0051018	0.0139532420712075	3.32677221509057	1.99582719685812	6	47	protein kinase A binding	Acbd3;Akap12;Prkaca;Prkar1a;Prkar2a;Prrc1	0.0433088035245118
8	GO:0005112	0.0149685747359461	4.77629024016352	0.976681394207167	4	23	Notch binding	Dll3;Dner;Dtx1;Jag2	0.0433088035245118
9	GO:0005042	0.0165236909353531	15.0870406189555	0.212322042218949	2	5	netrin receptor activity	Unc5c;Unc5d	0.0433088035245118
10	GO:0031625	0.0201223557351776	1.748	11.3804614629357	19	268	ubiquitin protein ligase binding	Cacybp;Cct2;Cul2;Dnm1l;Dtx1;Fancl;Mul1;Pacrg;Prkaca;Prkar1a;Prkar2a;Psmd1;Smad2;Smad9;Sqstm1;Srprb;Tsg101;Ube2l3;Washc1	0.0433088035245118
11	GO:0033764	0.02365825126673	5.66424418604651	0.636966126656848	3	15	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	Hsd17b12;Nsdhl;Rdh5	0.0433088035245118
12	GO:0003847	0.0240939836605832	11.3143133462282	0.254786450662739	2	6	1-alkyl-2-acetylglycerophosphocholine esterase activity	Pafah1b2;Pla2g7	0.0433088035245118
13	GO:0005527	0.0240939836605832	11.3143133462282	0.254786450662739	2	6	macrolide binding	Fkbp4;Ppid	0.0433088035245118
14	GO:0005528	0.0240939836605832	11.3143133462282	0.254786450662739	2	6	FK506 binding	Fkbp4;Ppid	0.0433088035245118
15	GO:0042610	0.0240939836605832	11.3143133462282	0.254786450662739	2	6	CD8 receptor binding	H2-D1;H2-K1	0.0433088035245118
16	GO:0071617	0.0282200322768869	5.22808586762075	0.679430535100638	3	16	lysophospholipid acyltransferase activity	Agpat4;Agpat5;Mboat7	0.0433088035245118
17	GO:0003823	0.0293169409324246	3.77961165048544	1.18900343642612	4	28	antigen binding	H2-D1;H2-K1;H2-T22;Tap2	0.0433088035245118
18	GO:0004571	0.0327938711451083	9.05067698259188	0.297250859106529	2	7	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	Edem3;Man1b1	0.0433088035245118
19	GO:0030881	0.0327938711451083	9.05067698259188	0.297250859106529	2	7	beta-2-microglobulin binding	H2-D1;H2-K1	0.0433088035245118
20	GO:0061665	0.0327938711451083	9.05067698259188	0.297250859106529	2	7	SUMO ligase activity	Nsmce2;Pias3	0.0433088035245118
21	GO:0070410	0.0327938711451083	9.05067698259188	0.297250859106529	2	7	co-SMAD binding	Cited1;Smad2	0.0433088035245118
22	GO:0044389	0.0328783864220702	1.64652272727273	12.0174275895925	19	283	ubiquitin-like protein ligase binding	Cacybp;Cct2;Cul2;Dnm1l;Dtx1;Fancl;Mul1;Pacrg;Prkaca;Prkar1a;Prkar2a;Psmd1;Smad2;Smad9;Sqstm1;Srprb;Tsg101;Ube2l3;Washc1	0.0433088035245118
23	GO:0016229	0.0332131007920185	4.85423588039867	0.721894943544428	3	17	steroid dehydrogenase activity	Hsd17b12;Nsdhl;Rdh5	0.0433088035245118
24	GO:0019789	0.0332131007920185	4.85423588039867	0.721894943544428	3	17	SUMO transferase activity	Mul1;Nsmce2;Pias3	0.0433088035245118
25	GO:0042975	0.0332131007920185	4.85423588039867	0.721894943544428	3	17	peroxisome proliferator activated receptor binding	Asxl1;Asxl3;Hmga1	0.0433088035245118
26	GO:0051082	0.0395721828950731	2.33929802389706	3.18483063328424	7	75	unfolded protein binding	Cct2;Cct4;Cct5;Cct7;Cct8;Nudcd2;Ptges3	0.0433088035245118
27	GO:0000009	0.0424644084437907	Inf	0.0424644084437899	1	1	alpha-1,6-mannosyltransferase activity	Alg12	0.0433088035245118
28	GO:0000210	0.0424644084437907	Inf	0.0424644084437899	1	1	NAD+ diphosphatase activity	Nudt12	0.0433088035245118
29	GO:0001155	0.0424644084437907	Inf	0.0424644084437899	1	1	TFIIIA-class transcription factor binding	Optn	0.0433088035245118
30	GO:0001512	0.0424644084437907	Inf	0.0424644084437899	1	1	dihydronicotinamide riboside quinone reductase activity	Nqo2	0.0433088035245118
31	GO:0001626	0.0424644084437907	Inf	0.0424644084437899	1	1	nociceptin receptor activity	Oprl1	0.0433088035245118
32	GO:0003921	0.0424644084437907	Inf	0.0424644084437899	1	1	GMP synthase activity	Gmps	0.0433088035245118
33	GO:0003922	0.0424644084437907	Inf	0.0424644084437899	1	1	GMP synthase (glutamine-hydrolyzing) activity	Gmps	0.0433088035245118
34	GO:0003972	0.0424644084437907	Inf	0.0424644084437899	1	1	RNA ligase (ATP) activity	Rtcb	0.0433088035245118
35	GO:0004057	0.0424644084437907	Inf	0.0424644084437899	1	1	arginyltransferase activity	Ate1	0.0433088035245118
36	GO:0004333	0.0424644084437907	Inf	0.0424644084437899	1	1	fumarate hydratase activity	Fh1	0.0433088035245118
