GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0003743	6.18311940703324e-05	10.0837078651685	0.694339622641509	6	46	translation initiation factor activity	Eif1a;Eif2s2;Eif2s3x;Eif3e;Eif4a2;Eif5	0.00264212422682799
2	GO:0090079	7.30817709736936e-05	6.4512987012987	1.38867924528302	8	92	translation regulator activity, nucleic acid binding	Efl1;Eif1a;Eif2s2;Eif2s3x;Eif3e;Eif4a2;Eif5;Paip1	0.00264212422682799
3	GO:0045182	7.77095360831762e-05	5.56176623376623	1.79622641509434	9	119	translation regulator activity	Efl1;Eif1a;Eif2s2;Eif2s3x;Eif3e;Eif4a2;Eif5;Paip1;Samd4b	0.00264212422682799
4	GO:0008135	0.00012216781757433	7.04722151952104	1.11698113207547	7	74	translation factor activity, RNA binding	Efl1;Eif1a;Eif2s2;Eif2s3x;Eif3e;Eif4a2;Eif5	0.00311527934814541
5	GO:0003723	0.00101401939812394	2.06742473437694	14.3245283018868	27	949	RNA binding	Alkbh8;Cstf2t;Ddx3x;Ddx52;Efl1;Eif1a;Eif2s2;Eif2s3x;Eif3e;Eif4a2;Eif5;Frg1;Nudt21;Paip1;Rbm43;Rbmx2;Rbpms2;Samd4b;Slc4a1ap;Ssb;Stau1;Strap;Thoc6;Trnt1;Ythdf2;Zc3h14;Zrsr2	0.0206859957217283
6	GO:0003924	0.0022705714213343	3.13697318007663	3.41132075471698	10	226	GTPase activity	Arhgap5;Arl4a;Ddx3x;Efl1;Eif2s3x;Gpn2;Rab22a;Rab4a;Rab5a;Rab9	0.02654521795706
7	GO:0070530	0.00274367474039413	12.4205801104972	0.286792452830189	3	19	K63-linked polyubiquitin modification-dependent protein binding	Ikbkg;Rnf168;Zranb1	0.02654521795706
8	GO:0005525	0.0030512939690592	2.82803468208092	4.15094339622642	11	275	GTP binding	Arhgap5;Arl4a;Efl1;Eif2s3x;Eif5;Gpn2;Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
9	GO:0031593	0.00329026306948992	7.18858858858859	0.618867924528302	4	41	polyubiquitin modification-dependent protein binding	Brcc3;Ikbkg;Rnf168;Zranb1	0.02654521795706
10	GO:0019003	0.00336464608492293	5.38114975671292	1.01132075471698	5	67	GDP binding	Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
11	GO:0032550	0.00359568031910291	2.76377649325626	4.24150943396226	11	281	purine ribonucleoside binding	Arhgap5;Arl4a;Efl1;Eif2s3x;Eif5;Gpn2;Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
12	GO:0001883	0.00389567830512257	2.73270659975862	4.28679245283019	11	284	purine nucleoside binding	Arhgap5;Arl4a;Efl1;Eif2s3x;Eif5;Gpn2;Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
13	GO:0032549	0.00389567830512257	2.73270659975862	4.28679245283019	11	284	ribonucleoside binding	Arhgap5;Arl4a;Efl1;Eif2s3x;Eif5;Gpn2;Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
14	GO:0019001	0.00432648648547047	2.69232695477974	4.34716981132075	11	288	guanyl nucleotide binding	Arhgap5;Arl4a;Efl1;Eif2s3x;Eif5;Gpn2;Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
15	GO:0032561	0.00432648648547047	2.69232695477974	4.34716981132075	11	288	guanyl ribonucleotide binding	Arhgap5;Arl4a;Efl1;Eif2s3x;Eif5;Gpn2;Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
16	GO:0001882	0.00491753787767613	2.64346328864838	4.42264150943396	11	293	nucleoside binding	Arhgap5;Arl4a;Efl1;Eif2s3x;Eif5;Gpn2;Rab22a;Rab4a;Rab5a;Rab9;Suclg2	0.02654521795706
