GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0003677	2.61917818510497e-05	2.88691053141725	11.2981448038089	26	1582	DNA binding	0610010K14Rik;Akap8l;Arnt;Map1s;Mier2;Mterf1b;Mysm1;Mzf1;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Rcor1;Rpap1;Setdb2;Taf1c;Ttc5;Ubp1;Xrcc1;Zbtb3;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.00107386305589304
2	GO:0003676	0.0006819877090786	2.17480934916754	17.7470858643901	31	2485	nucleic acid binding	0610010K14Rik;Akap8l;Ankzf1;Arnt;Khdc4;Map1s;Mier2;Mterf1b;Mysm1;Mzf1;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Rcor1;Rpap1;Setdb2;Taf1c;Tefm;Trub1;Ttc14;Ttc5;Ubp1;Xrcc1;Zbtb3;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.0139807480361113
3	GO:0004657	0.00714168445247132	Inf	0.00714168445247086	1	1	proline dehydrogenase activity	Prodh	0.0366000440632332
4	GO:0052593	0.00714168445247132	Inf	0.00714168445247086	1	1	tryptamine:oxygen oxidoreductase (deaminating) activity	Aoc2	0.0366000440632332
5	GO:0052594	0.00714168445247132	Inf	0.00714168445247086	1	1	aminoacetone:oxygen oxidoreductase(deaminating) activity	Aoc2	0.0366000440632332
6	GO:0052595	0.00714168445247132	Inf	0.00714168445247086	1	1	aliphatic-amine oxidase activity	Aoc2	0.0366000440632332
7	GO:0052596	0.00714168445247132	Inf	0.00714168445247086	1	1	phenethylamine:oxygen oxidoreductase (deaminating) activity	Aoc2	0.0366000440632332
8	GO:0004553	0.0085756721532829	7.67793367346939	0.421359382695781	3	59	hydrolase activity, hydrolyzing O-glycosyl compounds	Adprhl2;Hexdc;Man2c1	0.0366000440632332
9	GO:0004709	0.00969479736551809	14.9547987616099	0.149975373501888	2	21	MAP kinase kinase kinase activity	Map3k20;Map3k3	0.0366000440632332
10	GO:0097159	0.0123716127483351	1.6728787303996	28.5167460187161	39	3993	organic cyclic compound binding	0610010K14Rik;Abcb4;Akap8l;Ankzf1;Arnt;Clk2;Khdc4;Map1s;Map3k20;Map3k3;Mier2;Mknk1;Mterf1b;Mysm1;Mzf1;Orc4;Pcgf2;Polb;Polrmt;Prdm10;Prodh;Rcor1;Rpap1;Rps6kb2;Scap;Setdb2;Taf1c;Tefm;Trub1;Ttc14;Ttc5;Ubp1;Xrcc1;Zbtb3;Zfat;Zfp112;Zfp12;Zfp653;Zfp746	0.0366000440632332
11	GO:0003829	0.0142329473580319	140.627906976744	0.0142833689049417	1	2	beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity	Gcnt1	0.0366000440632332
12	GO:0004649	0.0142329473580319	140.627906976744	0.0142833689049417	1	2	poly(ADP-ribose) glycohydrolase activity	Adprhl2	0.0366000440632332
13	GO:0004946	0.0142329473580319	140.627906976744	0.0142833689049417	1	2	bombesin receptor activity	Brs3	0.0366000440632332
14	GO:0050682	0.0142329473580319	140.627906976744	0.0142833689049417	1	2	AF-2 domain binding	Zfp653	0.0366000440632332
15	GO:0061463	0.0142329473580319	140.627906976744	0.0142833689049417	1	2	O-acetyl-ADP-ribose deacetylase activity	Adprhl2	0.0366000440632332
