GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:0001848	0.00212861177568293	35.0753623188406	0.0699392546379905	2	12	complement binding	Cfh;Serping1	0.0393408307338704
2	GO:0005178	0.00262911472819835	7.55129615082482	0.576998850763421	4	99	integrin binding	Col3a1;Itga7;Kdr;Vwf	0.0393408307338704
3	GO:0004474	0.00582827121983265	Inf	0.00582827121983254	1	1	malate synthase activity	Clybl	0.0393408307338704
4	GO:0004483	0.00582827121983265	Inf	0.00582827121983254	1	1	mRNA (nucleoside-2'-O-)-methyltransferase activity	Cmtr1	0.0393408307338704
5	GO:0005090	0.00582827121983265	Inf	0.00582827121983254	1	1	Sar guanyl-nucleotide exchange factor activity	Preb	0.0393408307338704
6	GO:0015362	0.00582827121983265	Inf	0.00582827121983254	1	1	high-affinity sodium:dicarboxylate symporter activity	Slc13a3	0.0393408307338704
7	GO:0047777	0.00582827121983265	Inf	0.00582827121983254	1	1	(S)-citramalyl-CoA lyase activity	Clybl	0.0393408307338704
8	GO:0072545	0.00582827121983265	Inf	0.00582827121983254	1	1	tyrosine binding	Yars2	0.0393408307338704
9	GO:0050839	0.00782376525929619	4.35660957400088	1.2355934986045	5	212	cell adhesion molecule binding	Cdh5;Col3a1;Itga7;Kdr;Vwf	0.0408158394571148
10	GO:0030020	0.00994461772970335	14.5978260869565	0.151535051715646	2	26	extracellular matrix structural constituent conferring tensile strength	Col3a1;Col5a2	0.0408158394571148
11	GO:0004831	0.0116230493778975	173	0.0116565424396651	1	2	tyrosine-tRNA ligase activity	Yars2	0.0408158394571148
12	GO:0015139	0.0116230493778975	173	0.0116565424396651	1	2	alpha-ketoglutarate transmembrane transporter activity	Slc13a3	0.0408158394571148
13	GO:0030284	0.0116230493778975	173	0.0116565424396651	1	2	estrogen receptor activity	Gper1	0.0408158394571148
14	GO:0035651	0.0116230493778975	173	0.0116565424396651	1	2	AP-3 adaptor complex binding	Pi4k2a	0.0408158394571148
15	GO:1990889	0.0116230493778975	173	0.0116565424396651	1	2	H4K20me3 modified histone binding	Ttll12	0.0408158394571148
16	GO:0001227	0.0135683606976689	3.77928444104915	1.41626990641931	5	243	DNA-binding transcription repressor activity, RNA polymerase II-specific	Aebp1;Foxq1;Hic1;Lrrfip1;Msx1	0.0408158394571148
17	GO:0001217	0.0137908340657666	3.76315455813364	1.42209817763914	5	244	DNA-binding transcription repressor activity	Aebp1;Foxq1;Hic1;Lrrfip1;Msx1	0.0408158394571148
18	GO:0004809	0.0173845242132156	86.4928571428571	0.0174848136594976	1	3	tRNA (guanine-N2-)-methyltransferase activity	Trmt1	0.0408158394571148
19	GO:0015137	0.0173845242132156	86.4928571428571	0.0174848136594976	1	3	citrate transmembrane transporter activity	Slc13a3	0.0408158394571148
20	GO:0015142	0.0173845242132156	86.4928571428571	0.0174848136594976	1	3	tricarboxylic acid transmembrane transporter activity	Slc13a3	0.0408158394571148
21	GO:0034634	0.0173845242132156	86.4928571428571	0.0174848136594976	1	3	glutathione transmembrane transporter activity	Slc13a3	0.0408158394571148
22	GO:0035516	0.0173845242132156	86.4928571428571	0.0174848136594976	1	3	oxidative DNA demethylase activity	Alkbh4	0.0408158394571148
23	GO:0042937	0.0173845242132156	86.4928571428571	0.0174848136594976	1	3	tripeptide transmembrane transporter activity	Slc13a3	0.0408158394571148
24	GO:0005201	0.0210534592747041	5.40801320528211	0.588655393203087	3	101	extracellular matrix structural constituent	Col3a1;Col5a2;Vwf	0.0456989155828265
25	GO:0001851	0.0231128844054203	57.6571428571429	0.0233130848793302	1	4	complement component C3b binding	Cfh	0.0456989155828265
26	GO:0004430	0.0231128844054203	57.6571428571429	0.0233130848793302	1	4	1-phosphatidylinositol 4-kinase activity	Pi4k2a	0.0456989155828265
27	GO:0016833	0.0231128844054203	57.6571428571429	0.0233130848793302	1	4	oxo-acid-lyase activity	Clybl	0.0456989155828265
28	GO:0019705	0.0288083175805898	43.2392857142857	0.0291413560991627	1	5	protein-cysteine S-myristoyltransferase activity	Zdhhc7	0.0456989155828265
29	GO:0035514	0.0288083175805898	43.2392857142857	0.0291413560991627	1	5	DNA demethylase activity	Alkbh4	0.0456989155828265
30	GO:0035673	0.0288083175805898	43.2392857142857	0.0291413560991627	1	5	oligopeptide transmembrane transporter activity	Slc13a3	0.0456989155828265
31	GO:0038085	0.0288083175805898	43.2392857142857	0.0291413560991627	1	5	vascular endothelial growth factor binding	Kdr	0.0456989155828265
32	GO:0070051	0.0288083175805898	43.2392857142857	0.0291413560991627	1	5	fibrinogen binding	Cdh5	0.0456989155828265
33	GO:1990239	0.0288083175805898	43.2392857142857	0.0291413560991627	1	5	steroid hormone binding	Gper1	0.0456989155828265
34	GO:0016597	0.0342761762146571	7.28442028985507	0.291413560991627	2	50	amino acid binding	Sesn2;Yars2	0.0456989155828265
35	GO:0003847	0.0344710103170418	34.5885714285714	0.0349696273189952	1	6	1-alkyl-2-acetylglycerophosphocholine esterase activity	Pafah2	0.0456989155828265
36	GO:0005021	0.0344710103170418	34.5885714285714	0.0349696273189952	1	6	vascular endothelial growth factor-activated receptor activity	Kdr	0.0456989155828265
37	GO:0015141	0.0344710103170418	34.5885714285714	0.0349696273189952	1	6	succinate transmembrane transporter activity	Slc13a3	0.0456989155828265
38	GO:0017153	0.0344710103170418	34.5885714285714	0.0349696273189952	1	6	sodium:dicarboxylate symporter activity	Slc13a3	0.0456989155828265
39	GO:0046912	0.0344710103170418	34.5885714285714	0.0349696273189952	1	6	transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer	Clybl	0.0456989155828265
40	GO:0070728	0.0344710103170418	34.5885714285714	0.0349696273189952	1	6	leucine binding	Sesn2	0.0456989155828265
41	GO:0051287	0.038131002389766	6.8542199488491	0.308898374651125	2	53	NAD binding	Ctbp1;Ndufv1	0.0456989155828265
42	GO:0005127	0.0401011481510999	28.8214285714286	0.0407978985388278	1	7	ciliary neurotrophic factor receptor binding	Crlf1	0.0456989155828265
