GOMFID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	IDs	adj
1	GO:1990756	0.00377294121922837	25.9784946236559	0.0935576528518671	2	12	ubiquitin ligase-substrate adaptor activity	Arrdc1;Pef1	0.0467251652843306
2	GO:0019894	0.00482497507918718	9.58297985153765	0.343044727123513	3	44	kinesin binding	Kcnc1;Kif3a;Mapk8ip3	0.0467251652843306
3	GO:0070851	0.00596572825891649	5.92715150018521	0.72507180960197	4	93	growth factor receptor binding	Atxn2;Erbb4;Fgf22;Il1r1	0.0467251652843306
4	GO:0004500	0.00779647107098902	Inf	0.00779647107098892	1	1	dopamine beta-monooxygenase activity	Moxd1	0.0467251652843306
5	GO:0004909	0.00779647107098902	Inf	0.00779647107098892	1	1	interleukin-1, type I, activating receptor activity	Il1r1	0.0467251652843306
6	GO:0030627	0.00779647107098902	Inf	0.00779647107098892	1	1	pre-mRNA 5'-splice site binding	Snrpc	0.0467251652843306
7	GO:0034512	0.00779647107098902	Inf	0.00779647107098892	1	1	box C/D snoRNA binding	Snu13	0.0467251652843306
8	GO:0036326	0.00779647107098902	Inf	0.00779647107098892	1	1	VEGF-A-activated receptor activity	Flt1	0.0467251652843306
9	GO:0036327	0.00779647107098902	Inf	0.00779647107098892	1	1	VEGF-B-activated receptor activity	Flt1	0.0467251652843306
10	GO:0036332	0.00779647107098902	Inf	0.00779647107098892	1	1	placental growth factor-activated receptor activity	Flt1	0.0467251652843306
11	GO:0050571	0.00779647107098902	Inf	0.00779647107098892	1	1	1,5-anhydro-D-fructose reductase activity	Akr1e1	0.0467251652843306
12	GO:0005515	0.00826812646775009	1.71100951005411	52.041444398851	64	6675	protein binding	2310057M21Rik;Acaca;Angptl4;Ankrd42;Appl1;Arrdc1;Astn1;Astn2;Atxn2;Cc2d2a;Ccdc91;Chga;Chil1;Cntn6;Copa;Cpeb3;Dcun1d4;Edil3;Erbb4;Fgf22;Flt1;Gab2;Golga3;Hdgfl3;Hsf4;Hspa4;Ifit3;Ifit3b;Ift81;Il1r1;Il4ra;Insig1;Intu;Itpkc;Kat5;Katnal1;Kcnc1;Kif1a;Kif3a;Map1b;Mapk8ip3;Msh2;Mtmr9;N4bp3;Nsd2;Pcdh9;Pef1;Plcb4;Plekha7;Plk3;Prkg1;Rassf2;Slc41a3;Smarcc2;Snu13;Stn1;Syne2;Thoc5;Tmem266;Trim66;Tspyl1;Ttc3;Usp13;Wwox	0.0467251652843306
13	GO:0015631	0.00832091984515477	3.24815193457062	2.30775543701272	7	296	tubulin binding	Appl1;Hdgfl3;Ift81;Katnal1;Kif1a;Kif3a;Map1b	0.0467251652843306
14	GO:0005154	0.013680342484655	12.3594470046083	0.179318834632745	2	23	epidermal growth factor receptor binding	Atxn2;Erbb4	0.0471782620683846
15	GO:0005251	0.0148489958107862	11.7966764418377	0.187115305703734	2	24	delayed rectifier potassium channel activity	Kcna3;Kcnc1	0.0471782620683846
16	GO:0000406	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	double-strand/single-strand DNA junction binding	Msh2	0.0471782620683846
17	GO:0003989	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	acetyl-CoA carboxylase activity	Acaca	0.0471782620683846
18	GO:0004081	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	bis(5'-nucleosyl)-tetraphosphatase (asymmetrical) activity	Nudt2	0.0471782620683846
19	GO:0004692	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	cGMP-dependent protein kinase activity	Prkg1	0.0471782620683846
20	GO:0008796	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	bis(5'-nucleosyl)-tetraphosphatase activity	Nudt2	0.0471782620683846
21	GO:0016715	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced ascorbate as one donor, and incorporation of one atom of oxygen	Moxd1	0.0471782620683846
22	GO:0032143	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	single thymine insertion binding	Msh2	0.0471782620683846
23	GO:0032181	0.0155327920861117	128.606382978723	0.0155929421419778	1	2	dinucleotide repeat insertion binding	Msh2	0.0471782620683846
24	GO:0005488	0.017529203443591	1.84733740724574	72.0783750512926	81	9245	binding	2310057M21Rik;Acaca;Acad8;Ahdc1;Angptl4;Ankrd42;Appl1;Arrdc1;Astn1;Astn2;Atp8a2;Atxn2;Cc2d2a;Ccdc91;Cdk18;Chga;Chil1;Cntn6;Copa;Cpeb3;Cramp1l;Dcun1d4;Edil3;Erbb4;Fen1;Fgf22;Flt1;Foxred2;Gab2;Golga3;Hdgfl3;Hsf4;Hspa4;Ifit3;Ifit3b;Ift81;Il1r1;Il4ra;Insig1;Intu;Itpkc;Kat5;Katnal1;Kcnc1;Kif1a;Kif3a;Larp7;Map1b;Mapk8ip3;Moxd1;Msh2;Mtmr9;Myl6b;N4bp3;Nsd2;Nsun4;Nudt2;Pcdh9;Pef1;Pitrm1;Plcb4;Plekha7;Plk3;Prkg1;Rassf2;Slc41a3;Smarcc2;Snrpc;Snu13;Stn1;Syne2;Thoc5;Tmem266;Trim66;Tspyl1;Ttc3;Usp13;Wwox;Zc3h10;Zfp607b;Zfp655	0.0471782620683846
25	GO:0030159	0.019931466649675	9.97849462365591	0.21830118998769	2	28	signaling receptor complex adaptor activity	Gab2;Mapk8ip3	0.0471782620683846
26	GO:0008017	0.0223849186782238	3.28606965174129	1.60607304062372	5	206	microtubule binding	Hdgfl3;Katnal1;Kif1a;Kif3a;Map1b	0.0471782620683846
27	GO:0004605	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	phosphatidate cytidylyltransferase activity	Cds2	0.0471782620683846
28	GO:0004908	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	interleukin-1 receptor activity	Il1r1	0.0471782620683846
29	GO:0009383	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	rRNA (cytosine-C5-)-methyltransferase activity	Nsun4	0.0471782620683846
30	GO:0015247	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	aminophospholipid flippase activity	Atp8a2	0.0471782620683846
31	GO:0019966	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	interleukin-1 binding	Il1r1	0.0471782620683846
32	GO:0030622	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	U4atac snRNA binding	Snu13	0.0471782620683846
33	GO:0032137	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	guanine/thymine mispair binding	Msh2	0.0471782620683846
34	GO:0032139	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	dinucleotide insertion or deletion binding	Msh2	0.0471782620683846
35	GO:0032142	0.0232094222060998	64.2978723404255	0.0233894132129668	1	3	single guanine insertion binding	Msh2	0.0471782620683846
36	GO:0004523	0.0308268171240467	42.8617021276596	0.0311858842839557	1	4	RNA-DNA hybrid ribonuclease activity	Fen1	0.0471782620683846
37	GO:0005519	0.0308268171240467	42.8617021276596	0.0311858842839557	1	4	cytoskeletal regulatory protein binding	Map1b	0.0471782620683846
38	GO:0008142	0.0308268171240467	42.8617021276596	0.0311858842839557	1	4	oxysterol binding	Insig1	0.0471782620683846
39	GO:0008440	0.0308268171240467	42.8617021276596	0.0311858842839557	1	4	inositol-1,4,5-trisphosphate 3-kinase activity	Itpkc	0.0471782620683846
40	GO:0009374	0.0308268171240467	42.8617021276596	0.0311858842839557	1	4	biotin binding	Acaca	0.0471782620683846
