Gene	ModuleColor	kWithin	ModuleName
1700123O20Rik	black	23.236237969072	AdhdM1
2610001J05Rik	black	11.670042396659	AdhdM1
Aaas	black	6.29204682408378	AdhdM1
Abcb1a	black	21.7640141434269	AdhdM1
Abce1	black	6.73228200571453	AdhdM1
Abhd17c	black	3.94633225215898	AdhdM1
Ace2	black	12.4692382883823	AdhdM1
Adcy4	black	7.86479186538052	AdhdM1
Adgra2	black	12.131409445704	AdhdM1
Adgrl4	black	10.2049033517514	AdhdM1
Adora2b	black	13.5044911937432	AdhdM1
Aen	black	18.28020689978	AdhdM1
Afg3l2	black	6.1342019085168	AdhdM1
Agpat3	black	12.4931463461364	AdhdM1
Akain1	black	9.23471763355996	AdhdM1
Ankrd13c	black	5.66381508265853	AdhdM1
Apcdd1	black	39.1427079191785	AdhdM1
Apoo	black	13.8322393229097	AdhdM1
Arhgap29	black	12.830313094989	AdhdM1
Arhgef10l	black	10.4205453732446	AdhdM1
Arrb2	black	12.4453770449194	AdhdM1
Aspn	black	8.00367776818679	AdhdM1
Asprv1	black	3.71490418009792	AdhdM1
Atf4	black	2.87372766758793	AdhdM1
Atf6b	black	7.46934473238938	AdhdM1
Atg12	black	10.9300411837737	AdhdM1
Atg3	black	10.2935218221389	AdhdM1
Atp2c2	black	5.00865214553698	AdhdM1
Atp5g1	black	31.4967994786219	AdhdM1
Atp5mpl	black	7.71621241015238	AdhdM1
Atp5pb	black	6.54375837763071	AdhdM1
Bax	black	22.4516795667489	AdhdM1
BC031181	black	28.3907478592388	AdhdM1
Bcat2	black	9.80724966506351	AdhdM1
Bloc1s2	black	14.0204083182704	AdhdM1
Bola2	black	16.2414413280966	AdhdM1
Bsg	black	33.2078818581997	AdhdM1
Btbd1	black	4.86106070654445	AdhdM1
Btbd17	black	7.48748904946028	AdhdM1
Castor2	black	10.0034684024886	AdhdM1
Cd248	black	26.6926314466385	AdhdM1
Cd93	black	8.66789785256134	AdhdM1
Cdc42	black	10.0688774764902	AdhdM1
Cdk5	black	15.8353398787304	AdhdM1
Cend1	black	16.6064790626401	AdhdM1
Chac2	black	18.6214979646634	AdhdM1
Chpf2	black	16.5203194073912	AdhdM1
Cldn5	black	25.5798150664119	AdhdM1
Clec2d	black	6.08215160492457	AdhdM1
Clns1a	black	2.77367279298676	AdhdM1
Clvs2	black	16.7697794172691	AdhdM1
Cops5	black	7.59476477219316	AdhdM1
Cops9	black	14.6628880007226	AdhdM1
Coq10a	black	4.64852459038673	AdhdM1
Cox14	black	4.0091956683387	AdhdM1
Cox5b	black	3.18468206000494	AdhdM1
Cox6b1	black	20.3128488622496	AdhdM1
Cox7c	black	14.5813082073225	AdhdM1
Ctla2a	black	13.9021537740021	AdhdM1
Ctnnb1	black	36.4304801736658	AdhdM1
Ctnnbip1	black	32.8770366047232	AdhdM1
Cycs	black	19.6636164029333	AdhdM1
Dcaf7	black	6.17981869652934	AdhdM1
Dcakd	black	11.0077988478101	AdhdM1
Deaf1	black	32.3461862956746	AdhdM1
Dipk1b	black	12.9813361748884	AdhdM1
Dld	black	5.06069272163688	AdhdM1
Dnaja1	black	9.54219483303024	AdhdM1
Dnajb11	black	15.1168586722302	AdhdM1
Drap1	black	13.4649059471737	AdhdM1
Dstn	black	10.9683494844658	AdhdM1
Dus1l	black	6.39494784620105	AdhdM1
E130208F15Rik	black	4.68622212899415	AdhdM1
Egln2	black	6.36151990639241	AdhdM1
Eif1ad	black	1.60704351458474	AdhdM1
Eif1b	black	31.5136790350511	AdhdM1
Eif2b1	black	17.3393482552795	AdhdM1
Eif2b2	black	20.8704512695545	AdhdM1
Eif2b5	black	15.6711205783107	AdhdM1
Eif3j1	black	14.4362694924875	AdhdM1
Eif4a1	black	9.21423158937812	AdhdM1
Eif4g2	black	8.51971463925824	AdhdM1
Eln	black	27.1120858279385	AdhdM1
Elovl2	black	17.2763528074846	AdhdM1
Emc6	black	16.9436714157655	AdhdM1
Eng	black	22.8303666115344	AdhdM1
Erg	black	10.1252354258331	AdhdM1
Ets1	black	19.7900905809037	AdhdM1
Eva1a	black	1.99530601757641	AdhdM1
Fbl	black	4.22958048481306	AdhdM1
Fbln1	black	12.3112888819121	AdhdM1
Fbrsl1	black	15.3039763531869	AdhdM1
Fbxl15	black	8.73241958252766	AdhdM1
Fbxo22	black	17.2878668530463	AdhdM1
Fbxo9	black	32.6953020006776	AdhdM1
Fcf1	black	21.4969513042746	AdhdM1
Fcgrt	black	6.94935770623022	AdhdM1
Fgd4	black	3.80090621135837	AdhdM1
Foxc1	black	19.9798051011545	AdhdM1
Fut11	black	27.6353933639051	AdhdM1
Fzd6	black	11.8393399245031	AdhdM1
Gas1	black	20.3080219570266	AdhdM1
Gatd3a	black	7.51175319861788	AdhdM1
Gbp9	black	4.13293436013737	AdhdM1
Gk	black	14.1406485260118	AdhdM1
Glipr1	black	10.3107628947761	AdhdM1
Glrx	black	31.3713183645073	AdhdM1
Gm527	black	12.3862202617203	AdhdM1
Gpr180	black	11.2339577770313	AdhdM1
Grk6	black	17.5418270990174	AdhdM1
Grn	black	29.2106235991148	AdhdM1
Grpel2	black	9.51664867987081	AdhdM1
Gtf2b	black	18.8588079224283	AdhdM1
Hacd2	black	9.3326393742479	AdhdM1
Hbs1l	black	8.06590318863821	AdhdM1
Hdgf	black	11.6778065730842	AdhdM1
Hmgn3	black	18.7029984938651	AdhdM1
Hs3st1	black	8.24849842112138	AdhdM1
Hsp90ab1	black	14.7161782394802	AdhdM1
Hspa2	black	15.7514108713273	AdhdM1
Htra1	black	23.8635520218838	AdhdM1
Htra2	black	13.6837400405233	AdhdM1
Ide	black	19.6658289259346	AdhdM1
Ifi35	black	5.07732116485798	AdhdM1
Ifnar1	black	6.9432907589149	AdhdM1
Kctd14	black	13.7347119930897	AdhdM1
Kctd15	black	10.5480884158964	AdhdM1
Kdelr1	black	5.88182300536975	AdhdM1
Kdm1a	black	4.72197950599894	AdhdM1
Lamc3	black	16.1171409648967	AdhdM1
