SampleADHD_CT	SampleADHD_STR	SampleControl_CT	SampleControl_STR	GenotypeControl	RegionSTR
MEblack	-0.250872603002127	-0.752617809006382	0.585369407004964	0.418121005003545	0.869048189253482	-0.289682729751161
MEblue	0.362371537669739	-0.752617809006382	0.64111887433877	-0.250872603002127	0.337963184709687	-0.869048189253482
MEbrown	-0.585369407004964	-0.0836242010007091	-0.0836242010007091	0.752617809006382	0.579365459502321	0.579365459502321
MEcyan	-0.529619939671158	-0.139373668334515	0.027874733666903	0.64111887433877	0.579365459502321	0.434524094626741
MEdarkgreen	-0.362371537669739	0.529619939671158	-0.473870472337351	0.306622070335933	-0.14484136487558	0.724206824377901
MEdarkgrey	-0.696868341672576	-0.0836242010007091	0.027874733666903	0.752617809006382	0.675926369419375	0.579365459502321
MEdarkorange	-0.0836242010007091	-0.752617809006382	0.0836242010007091	0.752617809006382	0.724206824377901	0
MEdarkred	0.250872603002127	-0.0836242010007091	-0.585369407004964	0.418121005003545	-0.14484136487558	0.289682729751161
MEdarkturquoise	-0.473870472337351	0.752617809006382	-0.473870472337351	0.195123135668321	-0.241402274792634	0.820767734294955
MEgreen	-0.585369407004964	0.418121005003545	-0.418121005003545	0.585369407004964	0.14484136487558	0.869048189253482
MEgreenyellow	-0.473870472337351	-0.529619939671158	0.250872603002127	0.752617809006382	0.869048189253482	0.193121819834107
MEgrey60	0.0836242010007091	0.362371537669739	-0.752617809006382	0.306622070335933	-0.386243639668214	0.579365459502321
MElightcyan	0.027874733666903	-0.752617809006382	0.696868341672576	0.027874733666903	0.627645914460848	-0.627645914460848
MElightgreen	0.752617809006382	0.195123135668321	-0.195123135668321	-0.752617809006382	-0.820767734294955	-0.482804549585268
MElightyellow	-0.585369407004964	0.752617809006382	-0.0836242010007091	-0.0836242010007091	-0.14484136487558	0.579365459502321
MEmagenta	0.585369407004964	0.0836242010007091	0.0836242010007091	-0.752617809006382	-0.579365459502321	-0.579365459502321
MEmidnightblue	0.250872603002127	0.752617809006382	-0.250872603002127	-0.752617809006382	-0.869048189253482	0
MEorange	0.0836242010007091	-0.529619939671158	0.250872603002127	0.195123135668321	0.386243639668214	-0.289682729751161
MEpaleturquoise	0.250872603002127	0.195123135668321	-0.306622070335933	-0.139373668334515	-0.386243639668214	0.0482804549585268
MEpink	-0.418121005003545	0.64111887433877	-0.585369407004964	0.362371537669739	-0.193121819834107	0.869048189253482
MEpurple	0.752617809006382	-0.362371537669739	0.250872603002127	-0.64111887433877	-0.337963184709687	-0.869048189253482
MEred	-0.0836242010007091	0.752617809006382	-0.752617809006382	0.0836242010007091	-0.579365459502321	0.724206824377901
MEroyalblue	-0.195123135668321	0.250872603002127	-0.0836242010007091	0.027874733666903	-0.0482804549585268	0.241402274792634
MEsaddlebrown	-0.418121005003545	0.0836242010007091	-0.250872603002127	0.585369407004964	0.289682729751161	0.579365459502321
MEsalmon	-0.752617809006382	0.306622070335933	-0.250872603002127	0.696868341672576	0.386243639668214	0.869048189253482
MEskyblue	-0.362371537669739	-0.250872603002127	0.250872603002127	0.362371537669739	0.531085004543794	0.0965609099170535
MEsteelblue	0.250872603002127	-0.752617809006382	0.418121005003545	0.0836242010007091	0.434524094626741	-0.579365459502321
MEtan	0.0836242010007091	-0.752617809006382	0.585369407004964	0.0836242010007091	0.579365459502321	-0.579365459502321
MEturquoise	-0.529619939671158	0.529619939671158	-0.473870472337351	0.473870472337351	0	0.869048189253482
MEviolet	0.418121005003545	-0.529619939671158	-0.473870472337351	0.585369407004964	0.0965609099170535	0.0482804549585268
MEwhite	0.585369407004964	-0.752617809006382	0.0836242010007091	0.0836242010007091	0.14484136487558	-0.579365459502321
MEyellow	-0.306622070335933	-0.027874733666903	-0.362371537669739	0.696868341672576	0.289682729751161	0.579365459502321
