SampleADHD_CT	SampleADHD_STR	SampleControl_CT	SampleControl_STR	GenotypeControl	RegionSTR
MEblack	0.431578745848417	0.00473274291802688	0.0455412841054626	0.176179271617018	0.000242430824432248	0.361085605292127
MEblue	0.247033751929594	0.00473274291802688	0.0246593998455477	0.431578745848417	0.282627988916489	0.000242430824432248
MEbrown	0.0455412841054626	0.796112856034076	0.796112856034076	0.00473274291802688	0.048359411764394	0.048359411764394
MEcyan	0.0765748993715139	0.665739686167717	0.931473040513023	0.0246593998455477	0.048359411764394	0.158083204917077
MEdarkgreen	0.247033751929594	0.0765748993715139	0.119641798501222	0.33236112488115	0.653338577124354	0.00773367003655209
MEdarkgrey	0.0117877358628378	0.796112856034076	0.931473040513023	0.00473274291802688	0.0158241703809608	0.048359411764394
MEdarkorange	0.796112856034076	0.00473274291802688	0.796112856034076	0.00473274291802688	0.00773367003655209	1
MEdarkred	0.431578745848417	0.796112856034076	0.0455412841054626	0.176179271617018	0.653338577124354	0.361085605292127
MEdarkturquoise	0.119641798501222	0.00473274291802688	0.119641798501222	0.543370100416294	0.449729288784222	0.00106902799124997
MEgreen	0.0455412841054626	0.176179271617018	0.176179271617018	0.0455412841054626	0.653338577124354	0.000242430824432248
MEgreenyellow	0.119641798501222	0.0765748993715139	0.431578745848417	0.00473274291802688	0.000242430824432248	0.547593745513323
MEgrey60	0.796112856034076	0.247033751929594	0.00473274291802688	0.33236112488115	0.214914278050361	0.048359411764394
MElightcyan	0.931473040513023	0.00473274291802688	0.0117877358628378	0.931473040513023	0.028888231483396	0.028888231483396
MElightgreen	0.00473274291802688	0.543370100416294	0.543370100416294	0.00473274291802688	0.00106902799124997	0.111864750139852
MElightyellow	0.0455412841054626	0.00473274291802688	0.796112856034076	0.796112856034076	0.653338577124354	0.048359411764394
MEmagenta	0.0455412841054626	0.796112856034076	0.796112856034076	0.00473274291802688	0.048359411764394	0.048359411764394
MEmidnightblue	0.431578745848417	0.00473274291802688	0.431578745848417	0.00473274291802688	0.000242430824432248	1
MEorange	0.796112856034076	0.0765748993715139	0.431578745848417	0.543370100416294	0.214914278050361	0.361085605292127
MEpaleturquoise	0.431578745848417	0.543370100416294	0.33236112488115	0.665739686167717	0.214914278050361	0.881553321981362
MEpink	0.176179271617018	0.0246593998455477	0.0455412841054626	0.247033751929594	0.547593745513323	0.000242430824432248
MEpurple	0.00473274291802688	0.247033751929594	0.431578745848417	0.0246593998455477	0.282627988916489	0.000242430824432248
MEred	0.796112856034076	0.00473274291802688	0.00473274291802688	0.796112856034076	0.048359411764394	0.00773367003655209
MEroyalblue	0.543370100416294	0.431578745848417	0.796112856034076	0.931473040513023	0.881553321981362	0.449729288784222
MEsaddlebrown	0.176179271617018	0.796112856034076	0.431578745848417	0.0455412841054626	0.361085605292127	0.048359411764394
MEsalmon	0.00473274291802688	0.33236112488115	0.431578745848417	0.0117877358628378	0.214914278050361	0.000242430824432248
MEskyblue	0.247033751929594	0.431578745848417	0.431578745848417	0.247033751929594	0.0756128174302021	0.765299178576865
MEsteelblue	0.431578745848417	0.00473274291802688	0.176179271617018	0.796112856034076	0.158083204917077	0.048359411764394
MEtan	0.796112856034076	0.00473274291802688	0.0455412841054626	0.796112856034076	0.048359411764394	0.048359411764394
MEturquoise	0.0765748993715139	0.0765748993715139	0.119641798501222	0.119641798501222	1	0.000242430824432248
MEviolet	0.176179271617018	0.0765748993715139	0.119641798501222	0.0455412841054626	0.765299178576865	0.881553321981362
MEwhite	0.0455412841054626	0.00473274291802688	0.796112856034076	0.796112856034076	0.653338577124354	0.048359411764394
MEyellow	0.33236112488115	0.931473040513023	0.247033751929594	0.0117877358628378	0.361085605292127	0.048359411764394
